"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E02001369",2898,1,1,181,44,5,10,14,28,41,39,4,23,174,483,173,273,72,102,51,134,198,167,253,431,177,0,0
"E02001370",1724,0,1,101,32,6,4,3,11,15,30,4,17,123,277,100,164,38,41,27,46,142,90,124,319,107,3,0
"E02001371",2936,2,0,207,40,8,3,28,28,58,42,11,23,236,463,219,154,64,84,40,96,182,176,209,651,119,0,0
"E02001372",2688,4,3,180,35,5,8,21,25,54,32,6,21,207,376,202,126,60,113,51,103,119,200,268,507,140,2,0
"E02001373",4003,2,1,227,47,6,7,25,23,62,57,18,44,284,614,239,274,100,155,53,138,205,277,366,780,223,3,0
"E02001374",3372,0,1,234,46,9,2,34,25,59,59,20,25,225,507,208,325,93,124,57,108,239,177,299,549,177,1,3
"E02001375",2983,0,1,151,27,8,3,12,21,44,36,7,18,244,471,190,147,73,134,46,105,152,201,280,647,116,0,0
"E02001376",2997,4,0,186,45,9,5,19,23,45,40,7,31,182,462,147,377,45,108,33,82,263,108,201,576,180,2,3
"E02001377",3305,5,0,119,27,1,2,13,15,33,28,6,8,111,674,98,611,84,35,20,139,217,105,344,513,206,4,6
"E02001378",3509,1,0,194,26,11,3,25,28,65,36,3,25,250,521,210,227,95,165,69,144,149,254,370,676,154,2,0
"E02001380",3718,3,0,236,29,8,2,42,39,68,48,10,24,305,510,206,150,95,184,72,189,130,341,458,630,171,3,1
"E02001381",3907,4,0,185,48,8,2,18,17,51,41,6,18,197,663,205,445,94,125,61,173,209,235,446,641,200,0,0
"E02001382",3635,1,4,221,31,6,3,35,24,67,55,14,21,264,486,194,149,128,182,73,193,129,329,523,569,153,2,0
"E02001383",2950,1,2,81,16,5,0,12,10,17,21,3,18,68,417,71,396,143,66,76,194,143,140,361,489,278,1,2
"E02001384",4086,8,2,149,17,6,4,25,27,48,22,4,10,137,745,131,671,148,116,44,196,162,201,445,606,309,2,0
"E02001385",2156,3,0,82,24,5,1,16,2,12,22,4,8,81,350,105,301,49,40,49,87,140,107,233,368,144,4,1
"E02001386",2764,1,1,193,20,3,4,28,20,77,41,10,18,206,555,172,167,43,85,57,68,151,186,237,480,133,1,0
"E02001387",4074,0,4,185,26,6,2,43,19,46,43,11,16,202,465,169,172,154,143,107,353,111,330,790,675,183,3,1
"E02001388",4217,9,3,161,21,5,0,35,20,42,38,9,16,159,580,130,384,187,127,80,274,130,297,695,742,232,1,1
"E02001389",3079,3,0,156,37,6,5,36,16,21,35,5,9,105,335,91,305,183,62,67,218,121,149,472,565,231,1,1
"E02001390",2887,1,1,165,23,11,7,14,17,46,47,8,16,173,429,158,356,52,63,47,99,209,169,322,471,146,2,0
"E02001391",2269,1,0,179,30,11,7,14,15,74,28,9,12,166,455,183,137,32,74,38,55,123,141,189,367,107,0,1
"E02001392",2605,3,6,171,24,6,3,38,19,38,43,9,8,195,347,127,88,91,97,59,195,98,213,381,394,123,0,0
"E02001393",3663,5,3,188,21,7,1,50,15,57,37,14,23,228,503,111,184,121,141,93,348,116,253,579,564,186,2,1
"E02001394",4419,7,2,191,20,3,6,49,28,45,40,12,13,150,490,134,358,190,134,86,353,154,278,770,796,296,4,1
"E02001395",3161,3,1,180,19,5,4,35,24,52,41,8,14,184,358,131,119,88,129,56,223,111,306,600,504,146,0,0
"E02001396",3885,0,3,251,44,11,5,45,18,77,51,12,13,203,525,220,290,145,146,60,217,200,271,533,576,219,1,0
"E02001397",3431,3,2,251,17,9,6,59,24,88,48,5,11,226,490,187,148,116,126,83,215,142,272,470,545,139,0,0
"E02001398",3866,0,6,196,24,2,3,53,16,51,47,10,19,153,457,137,235,168,107,85,291,132,268,647,728,225,2,0
"E02001399",3540,1,2,206,17,4,5,31,27,74,48,22,13,198,421,169,185,110,146,69,243,87,376,596,518,175,1,2
"E02001400",2929,0,2,193,22,2,2,39,23,70,35,11,13,168,504,198,179,76,89,31,132,128,241,347,494,122,1,0
"E02001401",3609,1,2,353,38,5,8,77,25,128,72,17,25,224,547,213,180,112,129,63,192,139,306,451,505,148,1,1
"E02001402",4277,0,2,288,24,13,4,59,29,78,81,18,16,221,468,183,188,142,154,75,382,139,374,733,677,215,2,0
"E02001403",2704,2,2,200,14,2,5,41,24,62,52,4,10,177,498,206,165,69,74,48,113,134,168,314,403,116,0,1
"E02001404",2905,2,3,327,27,4,7,68,19,119,83,6,20,187,522,271,198,51,85,43,98,182,144,251,375,137,1,2
"E02001405",3284,6,1,370,38,4,12,66,19,155,76,5,16,214,688,291,259,35,73,42,61,270,126,184,509,134,0,0
"E02006932",3788,7,2,106,9,3,4,24,10,18,38,4,6,56,821,74,766,157,121,57,278,141,150,397,335,309,0,1
"E02006933",3169,2,4,137,14,10,6,20,5,51,31,11,14,131,421,115,356,160,158,39,290,109,194,350,466,201,4,7
"E02006934",3312,7,8,125,26,9,4,29,5,24,28,15,11,74,471,139,330,195,231,38,448,143,210,281,372,209,0,5
