"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00033084",148,8,2,3,3,59,13,10,36,30,16,14,0,51,28,23,0
"E00033085",143,9,2,1,6,47,12,11,24,48,16,28,4,39,21,18,0
"E00033086",122,7,0,4,3,27,4,6,17,21,2,16,3,67,29,38,0
"E00033087",149,21,6,7,8,77,13,11,53,31,10,17,4,20,7,13,0
"E00033088",101,11,3,5,3,37,4,14,19,16,1,14,1,37,18,18,1
"E00033089",124,12,2,3,7,60,9,14,37,20,8,11,1,32,23,8,1
"E00033090",139,14,1,3,10,61,10,22,29,25,2,19,4,39,13,25,1
"E00033091",126,12,1,10,1,52,4,17,31,24,7,14,3,38,16,22,0
"E00033092",127,7,2,1,4,47,5,15,27,27,6,19,2,46,19,27,0
"E00033093",158,18,7,4,7,72,12,21,39,24,7,16,1,44,22,22,0
"E00033094",136,12,3,3,6,46,7,14,25,27,7,16,4,51,18,33,0
"E00033095",164,21,7,9,5,57,5,21,31,45,6,30,9,41,17,23,1
"E00033096",110,4,0,0,4,30,5,5,20,19,4,13,2,57,21,36,0
"E00033097",119,11,2,1,8,60,17,15,28,17,3,11,3,31,13,18,0
"E00033098",113,9,0,7,2,34,2,13,19,22,5,15,2,48,14,34,0
"E00033099",94,1,0,0,1,11,0,4,7,13,2,8,3,69,55,14,0
"E00033100",138,11,0,4,7,48,16,10,22,30,9,19,2,49,27,22,0
"E00033101",96,5,1,3,1,27,4,10,13,20,7,12,1,44,22,22,0
"E00033102",207,50,18,16,16,93,35,20,38,30,13,14,3,34,16,18,0
"E00033103",117,9,5,1,3,50,7,15,28,19,3,15,1,39,17,21,1
"E00033104",109,8,2,0,6,52,11,14,27,15,7,6,2,34,14,19,1
"E00033105",118,3,1,1,1,44,5,12,27,23,2,18,3,48,23,25,0
"E00033106",125,13,1,5,7,49,11,14,24,22,9,13,0,41,16,23,2
"E00033107",121,9,0,1,8,54,2,24,28,36,7,23,6,22,8,14,0
"E00033108",119,18,2,5,11,54,5,15,34,16,2,11,3,31,13,16,2
"E00033109",123,12,4,3,5,45,5,8,32,24,2,22,0,42,17,24,1
"E00033110",142,27,10,7,10,47,8,15,24,24,3,20,1,44,12,31,1
"E00033112",115,5,1,2,2,46,6,11,29,32,3,25,4,32,13,17,2
"E00033113",117,8,5,2,1,31,9,4,18,41,6,31,4,37,18,19,0
"E00033114",113,6,0,2,4,44,6,8,30,30,7,19,4,33,5,28,0
"E00033115",92,5,4,1,0,28,19,5,4,18,13,3,2,41,26,15,0
"E00033116",101,2,2,0,0,27,19,6,2,24,18,6,0,48,34,14,0
"E00033117",154,5,0,1,4,48,1,6,41,39,6,29,4,62,37,25,0
"E00033118",129,9,3,2,4,51,3,16,32,29,3,23,3,40,15,25,0
"E00033119",109,4,0,1,3,42,7,7,28,19,3,15,1,44,20,24,0
"E00033120",132,13,3,2,8,52,8,10,34,28,10,16,2,39,21,17,1
"E00033121",119,6,0,3,3,33,14,5,14,16,8,8,0,64,31,33,0
"E00033122",121,6,1,0,5,43,9,14,20,23,4,18,1,49,22,26,1
"E00033123",123,6,0,3,3,27,3,7,17,19,4,15,0,71,33,37,1
"E00033124",120,8,5,3,0,61,11,16,34,22,4,16,2,29,14,15,0
"E00033125",111,21,17,0,4,54,29,10,15,14,5,9,0,22,13,9,0
"E00033126",111,7,2,1,4,32,4,14,14,24,6,17,1,48,18,30,0
"E00033127",194,21,1,10,10,97,33,27,37,28,10,15,3,48,29,19,0
"E00033128",111,9,0,1,8,53,11,15,27,17,6,8,3,32,19,13,0
"E00033129",108,9,1,4,4,25,3,8,14,19,7,10,2,55,19,35,1
"E00033130",126,6,2,1,3,59,7,16,36,30,3,24,3,31,11,20,0
"E00033131",130,7,2,1,4,56,12,11,33,14,8,5,1,53,42,11,0
"E00033132",158,29,7,8,14,76,12,20,44,27,9,16,2,26,12,14,0
"E00033133",144,15,1,0,14,56,3,13,40,25,6,12,7,48,25,21,2
"E00033134",111,31,14,2,15,51,29,11,11,9,7,2,0,20,12,8,0
"E00033135",183,57,15,7,35,65,17,10,38,23,4,15,4,38,18,20,0
"E00033136",99,22,7,1,14,37,11,9,17,12,4,7,1,28,15,12,1
"E00033137",167,59,34,0,25,56,31,10,15,25,17,8,0,27,15,11,1
"E00033138",113,29,13,4,12,46,34,7,5,20,15,5,0,18,14,4,0
"E00033139",149,19,10,5,4,50,27,12,11,26,14,11,1,54,32,20,2
"E00033140",94,14,7,1,6,45,12,14,19,9,1,6,2,26,14,11,1
"E00033141",85,22,8,6,8,31,5,7,19,8,2,6,0,24,13,11,0
"E00033142",117,26,12,4,10,44,8,8,28,25,7,15,3,22,12,10,0
"E00033143",127,58,26,5,27,46,27,6,13,9,7,2,0,14,8,5,1
"E00033144",126,43,19,8,16,44,27,9,8,17,7,10,0,22,17,5,0
"E00033145",122,37,10,6,21,40,7,9,24,21,5,13,3,24,12,11,1
"E00033146",124,38,13,6,19,43,12,11,20,17,5,9,3,26,11,14,1
"E00033147",127,16,7,2,7,51,9,18,24,30,8,16,6,30,20,9,1
"E00033148",116,25,5,3,17,52,14,15,23,10,3,5,2,29,16,13,0
"E00033149",98,21,8,2,11,36,10,11,15,17,5,11,1,24,9,15,0
"E00033150",146,53,18,6,29,63,21,16,26,19,9,10,0,11,7,4,0
"E00033151",125,31,12,3,16,48,24,5,19,20,14,4,2,26,15,10,1
"E00033152",146,57,26,13,18,59,27,14,18,11,3,8,0,19,6,11,2
"E00033153",167,35,16,7,12,68,24,14,30,23,12,9,2,41,21,20,0
"E00033154",102,48,34,4,10,25,16,3,6,13,8,3,2,16,10,5,1
"E00033155",155,46,23,5,18,52,20,9,23,13,8,4,1,44,30,14,0
"E00033156",122,36,22,4,10,38,14,12,12,24,13,8,3,24,12,11,1
"E00033157",140,48,17,9,22,54,12,13,29,16,12,4,0,22,14,8,0
"E00033158",130,50,11,5,34,54,13,10,31,15,8,7,0,11,8,3,0
"E00033159",87,25,6,3,16,41,15,3,23,8,2,5,1,13,8,5,0
"E00033160",167,45,24,7,14,71,35,6,30,23,13,9,1,28,13,15,0
"E00033161",137,35,10,11,14,31,5,11,15,15,6,7,2,56,50,6,0
"E00033162",131,48,23,8,17,54,31,4,19,16,9,5,2,13,7,6,0
"E00033163",136,60,31,12,17,48,23,13,12,19,10,8,1,9,6,2,1
"E00033164",152,41,13,9,19,60,10,18,32,36,9,25,2,15,10,5,0
"E00033165",117,12,9,1,2,33,19,2,12,16,13,3,0,56,49,7,0
"E00033166",113,14,11,0,3,36,30,1,5,18,13,5,0,45,27,18,0
"E00033167",130,35,9,11,15,53,13,11,29,11,2,9,0,31,7,24,0
"E00033168",122,8,1,2,5,44,7,16,21,21,4,15,2,49,23,26,0
"E00033169",122,14,2,3,9,49,7,17,25,28,8,18,2,31,17,14,0
"E00033170",142,21,6,4,11,67,11,22,34,26,4,17,5,28,14,14,0
"E00033171",136,12,2,3,7,68,10,21,37,25,10,12,3,31,15,15,1
"E00033172",122,37,31,4,2,61,44,7,10,14,12,2,0,10,3,5,2
"E00033173",129,19,8,0,11,49,11,16,22,22,5,15,2,39,18,21,0
"E00033174",114,19,4,0,15,53,11,11,31,17,4,10,3,25,13,11,1
"E00033175",107,10,2,1,7,48,12,7,29,24,4,18,2,25,8,17,0
"E00033176",99,28,9,7,12,40,8,8,24,16,3,9,4,15,8,7,0
"E00033177",130,20,6,1,13,57,14,13,30,17,4,12,1,36,16,20,0
"E00033178",88,23,11,4,8,36,21,5,10,5,2,3,0,24,11,13,0
"E00033179",136,33,12,1,20,53,11,13,29,20,6,13,1,30,10,19,1
"E00033181",155,69,26,37,6,44,23,5,16,28,9,16,3,14,7,6,1
"E00033182",184,78,49,19,10,61,31,12,18,24,13,11,0,21,16,5,0
"E00033183",207,126,47,76,3,49,27,10,12,19,9,9,1,13,8,3,2
"E00033185",117,57,11,43,3,37,12,8,17,16,13,3,0,7,2,5,0
"E00033186",105,71,18,50,3,18,5,3,10,11,3,7,1,5,3,2,0
"E00033187",129,57,37,20,0,48,31,12,5,14,7,6,1,10,5,5,0
"E00033188",113,43,5,36,2,39,8,15,16,15,4,11,0,16,7,9,0
"E00033189",208,53,18,14,21,90,30,18,42,33,12,13,8,32,19,13,0
"E00033190",226,79,21,7,51,104,35,20,49,20,10,6,4,23,13,10,0
"E00033191",128,72,2,67,3,30,6,12,12,12,5,5,2,14,5,9,0
"E00033192",118,74,6,65,3,22,7,6,9,7,2,5,0,15,10,5,0
"E00033193",114,36,2,33,1,46,17,9,20,14,6,7,1,18,6,11,1
"E00033194",117,61,8,52,1,31,8,7,16,11,6,3,2,14,8,6,0
"E00033195",105,49,6,40,3,30,5,11,14,8,6,1,1,18,7,11,0
"E00033196",137,81,59,19,3,42,34,3,5,7,6,1,0,7,3,4,0
"E00033197",236,42,28,11,3,67,36,21,10,37,22,14,1,90,60,30,0
"E00033198",135,53,2,48,3,44,14,7,23,18,3,10,5,20,9,11,0
"E00033199",137,6,2,3,1,40,28,9,3,33,25,7,1,58,47,11,0
"E00033200",126,21,6,12,3,35,24,4,7,17,15,1,1,53,40,13,0
"E00033201",91,43,4,35,4,26,6,8,12,10,2,8,0,12,7,5,0
"E00033202",98,50,4,43,3,29,8,6,15,12,5,6,1,7,3,4,0
"E00033203",101,37,11,19,7,32,6,9,17,13,1,11,1,19,11,8,0
"E00033204",105,44,9,31,4,34,9,11,14,17,6,10,1,10,3,7,0
"E00033206",117,27,15,8,4,62,41,10,11,18,9,9,0,10,6,4,0
"E00033207",179,76,39,12,25,66,39,12,15,23,18,4,1,14,7,6,1
"E00033208",143,72,43,10,19,54,30,5,19,9,4,5,0,8,2,5,1
"E00033209",208,72,50,14,8,59,35,6,18,29,24,4,1,48,40,8,0
"E00033210",133,64,36,10,18,48,26,6,16,6,3,2,1,15,13,2,0
"E00033211",145,41,10,13,18,66,21,15,30,17,8,8,1,21,11,8,2
"E00033212",123,35,4,8,23,48,11,10,27,14,4,9,1,26,11,14,1
"E00033213",136,77,10,61,6,24,6,4,14,15,7,7,1,20,15,5,0
"E00033214",223,104,35,40,29,82,27,12,43,18,8,5,5,19,10,7,2
"E00033215",147,56,23,15,18,58,29,6,23,18,9,6,3,15,8,5,2
"E00033216",150,69,38,17,14,58,34,10,14,15,10,5,0,8,6,2,0
"E00033217",158,70,36,29,5,58,36,6,16,16,4,11,1,14,11,3,0
"E00033218",106,8,2,6,0,55,12,9,34,27,5,18,4,16,6,10,0
"E00033219",181,69,25,39,5,69,50,9,10,25,11,12,2,18,13,5,0
"E00033220",135,83,14,63,6,30,15,7,8,10,5,5,0,12,8,4,0
"E00033221",170,92,66,21,5,64,55,6,3,10,9,1,0,4,4,0,0
"E00033222",135,7,2,2,3,27,19,3,5,31,30,1,0,70,56,13,1
"E00033223",171,102,65,32,5,48,42,4,2,11,8,2,1,10,9,1,0
"E00033224",148,20,5,2,13,40,8,12,20,26,14,10,2,62,35,25,2
"E00033225",160,52,23,2,27,68,50,3,15,25,18,5,2,15,9,6,0
"E00033226",187,40,12,0,28,72,23,21,28,39,17,20,2,36,21,13,2
"E00033227",136,21,5,5,11,39,16,9,14,24,12,10,2,52,43,9,0
"E00033228",208,33,19,3,11,60,32,10,18,53,42,10,1,62,45,17,0
"E00033229",128,12,2,7,3,28,7,6,15,45,13,26,6,43,25,18,0
"E00033230",114,4,0,1,3,38,7,10,21,33,5,24,4,39,14,25,0
"E00033231",113,22,11,3,8,48,29,5,14,20,7,12,1,23,17,6,0
"E00033235",122,28,14,5,9,45,25,6,14,20,6,12,2,29,19,9,1
"E00033237",146,10,6,1,3,54,23,3,28,33,20,12,1,49,24,20,5
"E00033238",182,31,5,2,24,74,18,16,40,28,10,16,2,49,20,29,0
"E00033242",104,6,0,0,6,36,9,11,16,26,8,15,3,36,18,17,1
"E00033245",167,30,18,2,10,49,18,9,22,30,13,17,0,58,41,17,0
"E00033246",121,22,13,3,6,57,23,10,24,22,8,14,0,20,13,6,1
"E00033247",148,33,8,2,23,52,11,12,29,37,13,21,3,26,16,10,0
"E00033248",250,69,51,10,8,98,85,6,7,36,32,4,0,47,44,3,0
"E00033249",132,40,13,0,27,50,18,9,23,20,10,10,0,22,14,7,1
"E00033250",126,35,15,1,19,49,24,7,18,18,9,7,2,24,13,11,0
"E00033251",106,37,12,4,21,40,15,10,15,12,8,4,0,17,9,8,0
"E00033252",169,19,7,1,11,54,14,7,33,31,17,11,3,65,43,19,3
"E00033253",132,31,13,5,13,28,9,5,14,25,18,6,1,48,37,9,2
"E00033254",152,28,6,8,14,52,10,10,32,34,12,20,2,38,15,22,1
"E00033255",126,12,3,3,6,33,11,6,16,37,17,17,3,44,18,26,0
"E00033256",100,11,4,0,7,25,2,5,18,28,7,19,2,36,21,14,1
"E00033257",180,37,18,11,8,58,35,12,11,37,20,15,2,48,28,20,0
"E00033258",157,18,2,0,16,42,14,5,23,23,14,7,2,74,31,39,4
"E00033259",80,22,8,2,12,33,21,4,8,13,8,5,0,12,6,6,0
"E00033260",129,29,13,3,13,49,18,15,16,20,9,11,0,31,23,8,0
"E00033261",110,25,9,3,13,46,13,10,23,21,8,12,1,18,9,9,0
"E00033262",96,34,13,6,15,35,23,8,4,9,5,3,1,18,11,7,0
"E00033263",89,33,20,3,10,30,18,4,8,15,9,5,1,11,8,3,0
"E00033264",147,23,7,3,13,40,19,3,18,39,17,19,3,45,30,14,1
"E00033265",126,16,6,2,8,49,12,15,22,28,12,12,4,33,17,16,0
"E00033266",147,13,3,3,7,64,26,11,27,30,18,11,1,40,18,22,0
"E00033267",141,20,6,1,13,42,20,5,17,20,11,8,1,59,45,13,1
"E00033268",121,13,5,4,4,46,10,11,25,26,3,22,1,36,21,15,0
"E00033269",92,16,13,1,2,25,7,5,13,12,3,8,1,39,32,7,0
"E00033270",128,12,4,3,5,57,2,16,39,24,9,11,4,35,16,18,1
"E00033271",126,7,0,3,4,71,2,24,45,22,2,15,5,26,14,12,0
"E00033272",120,10,4,3,3,48,6,12,30,24,6,17,1,38,11,26,1
"E00033274",122,12,4,1,7,71,38,8,25,16,4,9,3,23,15,8,0
"E00033275",142,11,4,3,4,45,10,14,21,20,8,12,0,66,48,17,1
"E00033276",127,34,14,6,14,59,32,13,14,16,9,5,2,18,13,3,2
"E00033277",99,11,2,1,8,40,9,8,23,12,2,9,1,36,20,15,1
"E00033278",107,19,6,2,11,44,17,8,19,17,2,13,2,27,14,13,0
"E00033279",139,34,10,1,23,49,16,13,20,29,14,11,4,27,13,13,1
"E00033281",136,40,14,7,19,53,18,11,24,17,3,13,1,26,12,14,0
"E00033282",125,17,4,6,7,46,6,16,24,17,5,10,2,45,20,25,0
"E00033283",118,9,0,4,5,39,6,13,20,23,9,14,0,47,23,24,0
"E00033284",182,65,52,3,10,74,54,8,12,18,14,3,1,25,23,2,0
"E00033285",135,16,5,3,8,61,18,18,25,17,10,6,1,41,21,20,0
"E00033286",128,14,7,2,5,30,13,6,11,15,7,7,1,69,52,17,0
"E00033287",115,21,4,7,10,56,12,11,33,19,4,14,1,19,10,9,0
"E00033288",121,20,1,6,13,57,8,13,36,23,7,14,2,21,13,8,0
"E00033289",105,13,5,3,5,49,14,16,19,23,7,14,2,20,11,8,1
"E00033290",88,12,4,4,4,46,11,7,28,19,2,16,1,11,5,6,0
"E00033291",185,44,6,9,29,91,8,28,55,22,4,16,2,28,13,15,0
"E00033292",106,16,7,3,6,40,18,9,13,30,15,15,0,20,7,13,0
"E00033293",145,30,7,7,16,42,5,11,26,24,8,13,3,49,34,13,2
"E00033294",130,29,10,9,10,57,29,7,21,18,10,6,2,26,19,7,0
"E00033295",108,12,1,4,7,49,2,15,32,15,3,10,2,32,15,17,0
"E00033296",111,8,3,5,0,40,6,11,23,21,3,17,1,42,19,23,0
"E00033297",143,20,5,5,10,56,20,11,25,25,6,17,2,42,27,15,0
"E00033298",129,13,5,1,7,51,14,15,22,16,9,7,0,49,23,26,0
"E00033299",117,8,3,4,1,36,3,8,25,23,4,16,3,50,28,21,1
"E00033300",112,17,11,3,3,41,12,10,19,20,7,13,0,34,15,18,1
"E00033301",120,23,2,1,20,51,9,13,29,17,4,11,2,29,17,12,0
"E00033302",105,18,0,1,17,40,8,13,19,14,4,9,1,33,24,9,0
"E00033304",102,11,1,2,8,35,4,13,18,25,9,16,0,31,8,23,0
"E00033305",121,11,4,0,7,49,16,11,22,24,10,13,1,37,15,22,0
"E00033306",122,18,4,4,10,42,9,11,22,23,12,9,2,39,22,14,3
"E00033307",124,25,3,1,21,51,8,17,26,18,3,10,5,30,16,13,1
"E00033308",122,23,4,2,17,48,11,12,25,18,4,13,1,33,23,10,0
"E00033309",135,29,7,3,19,50,8,17,25,22,11,10,1,34,14,18,2
"E00033310",127,27,3,3,21,58,8,13,37,11,2,9,0,31,12,19,0
"E00033312",133,12,6,3,3,47,18,10,19,28,13,14,1,46,18,26,2
"E00033313",137,23,2,2,19,55,5,22,28,28,7,21,0,31,13,16,2
"E00033314",130,13,3,2,8,56,10,17,29,23,6,13,4,38,21,17,0
"E00033315",130,12,1,1,10,52,5,16,31,23,4,18,1,43,20,23,0
"E00033316",144,20,5,6,9,56,8,15,33,23,3,18,2,45,26,19,0
"E00033317",152,15,2,9,4,67,10,23,34,31,9,21,1,39,14,25,0
"E00033318",153,21,6,5,10,64,10,25,29,26,11,12,3,42,19,23,0
"E00033319",164,12,1,8,3,68,11,15,42,37,7,26,4,47,19,28,0
"E00033320",130,5,2,1,2,51,7,13,31,30,4,26,0,44,23,21,0
"E00033322",118,9,1,3,5,46,8,13,25,25,4,17,4,38,10,28,0
"E00033323",107,2,0,0,2,43,1,9,33,22,1,17,4,40,12,27,1
"E00033324",113,15,2,7,6,46,3,13,30,23,3,16,4,29,12,17,0
"E00033326",106,3,1,1,1,44,2,9,33,24,2,19,3,35,9,26,0
"E00033327",124,5,2,1,2,44,1,9,34,34,9,23,2,41,27,14,0
"E00033328",119,11,6,1,4,44,13,9,22,22,12,8,2,42,22,19,1
"E00033329",131,9,4,2,3,54,9,11,34,30,5,19,6,38,17,21,0
"E00033330",130,7,2,4,1,56,8,11,37,24,2,20,2,43,19,24,0
"E00033331",134,11,0,0,11,41,4,12,25,23,3,15,5,59,28,31,0
"E00033332",108,11,2,2,7,59,5,14,40,15,1,13,1,23,8,15,0
"E00033333",121,6,2,0,4,51,5,12,34,25,4,15,6,39,15,24,0
"E00033334",108,14,5,4,5,43,5,11,27,24,1,21,2,27,6,19,2
"E00033335",108,7,2,2,3,38,7,7,24,27,6,19,2,36,16,20,0
"E00033336",121,11,0,2,9,51,3,16,32,28,5,21,2,31,15,15,1
"E00033337",85,4,0,1,3,33,7,6,20,19,6,12,1,29,14,14,1
"E00033338",90,6,0,3,3,47,3,6,38,17,3,13,1,20,2,18,0
"E00033339",132,16,6,1,9,52,14,7,31,32,5,21,6,32,13,19,0
"E00033340",103,6,1,1,4,48,1,15,32,25,1,20,4,24,6,18,0
"E00033341",115,5,1,4,0,53,2,13,38,24,2,20,2,33,14,18,1
"E00033342",126,3,1,1,1,48,7,5,36,30,6,21,3,45,15,30,0
"E00033343",96,9,4,1,4,47,2,17,28,20,2,16,2,20,8,12,0
"E00033344",139,11,3,4,4,66,10,19,37,23,7,14,2,39,16,22,1
"E00033345",129,9,1,4,4,61,4,8,49,24,2,19,3,35,11,24,0
"E00033346",124,23,5,11,7,43,11,7,25,24,8,14,2,34,21,13,0
"E00033347",121,10,2,3,5,54,5,15,34,23,4,17,2,34,15,19,0
"E00033348",112,2,1,0,1,42,3,10,29,23,2,17,4,45,23,21,1
"E00033349",154,22,9,3,10,65,39,11,15,40,29,10,1,27,13,14,0
"E00033350",122,7,1,2,4,49,5,9,35,26,4,20,2,40,13,27,0
"E00033351",124,15,4,2,9,47,9,11,27,22,8,10,4,40,13,27,0
"E00033352",108,22,10,5,7,39,6,5,28,21,7,12,2,26,11,15,0
"E00033353",103,12,3,4,5,44,3,18,23,16,0,14,2,31,13,18,0
"E00033354",150,13,6,3,4,62,40,13,9,32,24,8,0,43,37,6,0
"E00033355",113,15,4,6,5,55,12,15,28,23,5,14,4,20,12,8,0
"E00033356",137,11,0,4,7,57,10,19,28,25,6,16,3,44,20,24,0
"E00033357",125,14,5,2,7,47,9,16,22,19,3,16,0,45,30,15,0
"E00033358",95,11,1,5,5,38,9,8,21,19,7,12,0,27,11,16,0
