"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E02001390",8756,6284,108,1,173,186,188,60,110,76,72,50,136,93,433,78,188,360,160
"E02001391",5970,5666,44,0,41,39,20,17,28,12,5,0,13,14,39,17,10,1,4
"E02001392",5717,5221,55,0,77,11,19,36,22,96,12,5,62,28,28,5,2,23,15
"E02001393",7753,6748,159,1,161,21,16,33,40,168,82,8,109,38,31,9,10,80,39
"E02001394",10143,8391,246,2,340,94,100,92,94,130,43,59,116,95,108,53,38,90,52
"E02001395",6056,5405,97,1,98,51,30,40,24,35,55,12,74,19,37,10,20,23,25
"E02001396",8035,6855,158,0,315,75,70,28,64,71,37,11,76,50,72,17,20,87,29
"E02001397",7631,7070,100,1,95,27,29,40,38,61,8,0,74,13,11,9,11,8,36
"E02001398",7758,6377,213,2,254,77,80,67,62,64,61,2,119,39,146,35,55,70,35
"E02001399",7276,6673,108,0,101,36,38,49,33,22,19,33,76,12,18,12,8,25,13
"E02001400",6614,5901,70,0,110,54,43,38,41,47,32,22,111,35,34,16,14,31,15
"E02001401",7872,7228,71,5,196,28,25,39,26,84,30,5,58,19,38,2,2,3,13
"E02001402",8384,7459,163,0,226,32,46,57,38,72,17,24,82,39,76,15,15,12,11
"E02001403",6035,5377,79,0,237,58,43,22,23,28,17,0,39,21,13,9,16,36,17
"E02001404",7260,6727,49,1,133,48,32,29,16,15,3,11,46,24,66,25,14,11,10
"E02001405",9609,8729,58,1,313,95,48,35,48,1,10,9,42,21,130,13,30,15,11
"E02006932",9949,6178,401,2,738,53,32,89,70,249,114,21,1152,214,189,46,13,317,71
"E02006933",5436,3879,171,1,389,55,49,47,56,139,36,1,174,59,93,48,20,183,36
"E02006934",5202,3599,208,32,421,30,18,38,42,171,67,16,113,79,95,19,22,193,39
