"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E00033015",69,3,0,0,0,0,0,0,0,0,0,3,0,2,0,1,29,14,10,3,1,0,0,4,3,0,1,6,6,5,1,2,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,10,7,2,0,4,1,0,3,3,6,0,0,3,1,0,0,2,0,0,0,0,0,3,0,2,1,0,3,2,2,0,0,1,0,0,0,1,9,8,8,0,0,1,0,1,2,0,0,0,0,0,2,2,0,0,4,1,0,0,1,3,0,1,0,0,0,2
"E00033016",128,9,6,0,2,2,0,0,0,2,0,3,0,2,1,0,43,11,9,0,1,1,0,16,11,0,5,11,11,5,0,4,0,0,0,0,1,18,7,3,1,3,0,0,0,0,0,5,5,0,0,6,0,0,1,4,0,1,12,11,2,0,4,5,0,1,1,10,0,0,2,0,0,0,2,0,1,0,1,0,7,0,0,7,0,7,4,2,0,2,3,2,0,1,0,10,9,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,4,0,0,0,15
"E00033018",124,7,5,0,0,1,1,2,0,0,1,2,0,0,0,2,18,4,4,0,0,0,0,3,2,0,1,5,5,6,2,1,0,1,2,0,0,20,5,3,1,1,3,0,3,0,0,3,2,1,0,9,2,0,1,4,0,2,11,6,1,1,0,2,2,5,5,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,4,2,2,0,0,2,1,1,0,0,25,23,18,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,2,1,0,2,31
"E00033019",137,8,3,0,0,0,0,0,0,1,2,5,0,1,0,4,34,7,4,0,3,0,0,10,6,0,4,10,10,7,0,2,1,4,0,0,0,25,3,0,2,1,5,0,5,1,1,11,8,2,1,5,0,0,0,2,0,3,8,7,4,0,1,1,1,1,1,7,0,0,4,1,1,0,2,0,0,0,0,0,3,0,0,3,0,15,13,4,0,9,2,2,0,0,0,25,22,20,1,1,3,3,0,2,1,0,1,0,0,1,1,0,0,13,0,0,0,0,13,0,1,1,1,2,8
"E00033020",128,8,3,0,0,1,1,0,0,0,1,5,0,2,1,2,32,6,2,1,2,1,0,5,3,2,0,12,12,9,1,2,2,0,0,1,3,20,4,3,0,1,2,0,2,0,0,9,7,1,1,5,0,0,3,0,0,2,15,12,5,1,3,3,0,3,3,5,1,1,2,0,0,0,2,0,1,1,0,0,1,0,0,1,0,11,8,2,0,6,3,0,1,2,0,19,17,15,0,2,2,1,1,2,1,0,0,1,0,1,1,0,0,16,0,0,0,0,16,0,1,2,0,0,13
"E00033021",110,10,3,0,0,1,0,0,0,1,1,7,0,5,1,1,29,8,2,1,5,0,0,11,3,1,7,4,4,6,1,1,2,2,0,0,0,9,1,1,0,0,5,2,3,0,0,1,1,0,0,2,0,0,0,0,0,2,14,12,5,2,3,2,0,2,2,14,0,0,1,0,1,0,0,0,0,0,0,0,13,0,0,13,0,7,4,2,0,2,3,0,2,1,0,11,7,7,0,0,4,4,0,4,1,0,0,1,0,3,1,1,1,12,1,0,0,1,11,0,0,2,0,0,9
"E00033023",178,11,5,1,0,4,0,0,0,0,0,6,0,2,0,4,29,4,0,3,1,0,0,5,2,1,2,10,10,10,0,2,2,6,0,0,0,33,4,3,0,1,5,1,4,0,0,21,19,1,1,3,0,0,0,3,0,0,18,11,5,2,0,4,0,7,7,7,0,0,3,1,0,1,1,0,0,0,0,0,4,0,0,4,0,15,10,2,0,8,5,4,1,0,0,29,27,25,2,0,2,1,1,4,1,0,1,0,0,3,3,0,0,32,1,0,0,1,31,0,1,0,1,1,28
"E00033024",55,4,1,0,0,0,0,0,0,0,1,3,0,1,0,2,9,1,0,1,0,0,0,2,2,0,0,3,3,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,2,1,0,2,6,5,3,0,0,2,0,1,1,6,0,0,0,0,0,0,0,0,5,4,1,0,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,8,4,4,0,0,4,3,1,5,0,0,0,0,0,5,3,0,2,9,0,0,0,0,9,0,4,2,0,0,3
"E00033025",163,13,6,0,0,0,1,1,0,0,4,7,0,2,0,5,55,5,3,2,0,0,0,20,4,4,12,14,14,16,5,2,1,1,2,0,5,25,4,2,0,2,5,1,4,2,2,6,5,0,1,8,0,1,2,1,0,4,19,16,3,7,4,2,0,3,3,6,2,2,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,18,14,6,0,8,4,2,1,1,0,7,6,6,0,0,1,1,0,7,2,1,0,0,1,5,5,0,0,13,2,0,0,2,11,2,0,3,0,2,4
"E00033026",106,6,4,0,0,1,1,1,0,1,0,2,0,0,0,2,44,6,0,3,3,0,0,8,3,2,3,15,15,15,1,8,1,4,0,0,1,10,1,0,0,1,1,0,1,0,0,5,2,3,0,3,0,1,0,1,0,1,18,16,7,1,3,4,1,2,2,5,0,0,1,0,0,0,1,0,3,3,0,0,1,0,0,1,0,9,7,5,0,2,2,1,1,0,0,9,8,7,0,1,1,1,0,4,2,0,2,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
"E00033027",207,18,7,0,0,3,1,0,0,0,3,11,0,1,1,9,81,12,5,6,1,0,0,28,21,3,4,21,21,20,5,4,4,1,3,1,2,37,4,1,0,3,3,0,3,6,6,10,5,1,4,14,0,0,6,8,0,0,19,15,3,2,4,6,0,4,4,10,0,0,3,0,2,1,0,0,3,3,0,0,4,0,1,3,0,14,10,1,0,9,4,1,2,1,0,15,12,11,1,0,3,3,0,2,2,1,0,1,0,0,0,0,0,11,1,0,0,1,10,0,3,1,0,0,6
"E00033029",141,17,11,2,2,5,0,1,0,0,1,6,0,1,0,5,43,8,4,4,0,0,0,14,8,0,6,12,12,9,1,2,2,3,1,0,0,14,1,0,0,1,2,0,2,0,0,4,2,2,0,7,0,0,0,3,0,4,23,18,9,3,1,4,1,5,5,8,1,1,3,0,0,0,2,1,3,2,1,0,1,0,0,0,1,6,3,0,0,3,3,1,1,0,1,9,6,5,0,1,3,3,0,4,1,0,1,0,0,3,2,0,1,17,0,0,0,0,17,0,3,3,0,1,10
"E00033030",124,18,12,2,3,3,1,0,0,1,2,6,0,2,0,4,30,2,0,0,2,0,0,5,3,1,1,14,14,9,2,5,1,0,0,1,0,19,0,0,0,0,0,0,0,0,0,8,2,1,5,11,0,0,3,5,0,3,16,8,1,2,2,2,1,8,8,8,1,1,2,1,0,1,0,0,0,0,0,0,5,1,0,2,2,10,3,1,0,2,7,3,4,0,0,13,12,11,0,1,1,1,0,2,1,0,0,1,0,1,1,0,0,8,0,0,0,0,8,0,1,0,0,0,7
"E00033031",174,11,6,0,0,3,0,0,0,0,3,5,0,1,0,4,55,4,0,1,2,0,1,18,7,2,9,23,23,10,5,0,0,2,1,2,0,20,1,1,0,0,4,0,4,1,1,4,3,0,1,10,0,0,2,5,0,3,21,18,3,8,4,3,0,3,3,8,0,0,0,0,0,0,0,0,2,1,1,0,6,1,1,3,1,20,13,8,1,4,7,2,1,4,0,10,8,4,2,2,2,2,0,8,4,2,2,0,0,4,4,0,0,21,0,0,0,0,21,0,2,4,0,2,13
"E00033032",227,18,14,0,2,1,2,0,0,3,6,4,0,2,0,2,100,18,11,3,4,0,0,30,18,3,9,28,28,24,6,8,5,2,1,0,2,42,1,0,0,1,3,0,3,2,2,17,13,1,3,19,1,0,1,12,0,5,21,21,5,2,6,7,1,0,0,8,0,0,3,0,2,0,1,0,1,1,0,0,4,0,0,3,1,8,5,1,0,4,3,1,2,0,0,12,10,8,1,1,2,2,0,7,3,0,1,1,1,4,4,0,0,11,0,0,0,0,11,2,0,2,0,0,7
"E00033033",198,14,7,0,2,0,0,1,0,2,2,7,0,5,1,1,87,18,8,3,6,1,0,23,15,4,4,24,24,22,6,5,1,5,1,1,3,31,7,4,0,3,3,0,3,1,1,7,5,2,0,13,0,1,2,8,0,2,22,20,5,5,6,4,0,2,2,7,1,1,2,0,0,0,2,0,1,1,0,0,3,0,0,3,0,11,8,3,0,5,3,2,1,0,0,11,4,4,0,0,7,6,1,5,2,0,0,0,2,3,3,0,0,10,0,0,0,0,10,0,1,2,1,1,5
"E00033034",235,16,10,1,0,4,0,1,0,1,3,6,0,3,1,2,106,23,7,1,13,1,1,26,16,7,3,39,39,18,4,7,4,0,2,0,1,55,6,2,0,4,6,2,4,2,2,15,9,3,3,26,1,0,8,10,0,7,19,16,7,0,2,7,0,3,3,6,0,0,0,0,0,0,0,0,4,3,1,0,2,0,0,2,0,10,9,2,0,7,1,0,0,1,0,11,7,5,2,0,4,4,0,5,1,0,0,0,1,4,3,1,0,7,0,0,0,0,7,1,2,0,0,0,4
"E00033035",178,13,4,0,1,0,0,1,0,1,1,9,0,4,1,4,81,8,4,0,4,0,0,36,27,5,4,31,31,6,0,3,1,1,1,0,0,24,7,4,0,3,2,1,1,0,0,5,4,1,0,10,0,0,2,6,0,2,17,15,3,2,4,5,1,2,2,9,0,0,1,0,0,0,1,0,4,2,2,0,4,0,0,3,1,7,5,2,1,2,2,0,1,0,1,9,6,5,1,0,3,3,0,7,2,0,0,1,1,5,5,0,0,11,1,0,0,1,10,0,3,2,1,0,4
"E00033036",125,11,6,0,1,2,1,1,0,0,1,5,0,4,0,1,48,8,1,1,5,1,0,19,13,3,3,14,14,7,1,2,0,3,0,0,1,22,1,0,1,0,4,0,4,0,0,8,7,0,1,9,0,0,2,4,0,3,10,9,6,0,1,1,1,1,1,7,1,1,3,0,0,2,0,1,2,2,0,0,1,0,0,1,0,14,10,2,1,7,4,2,2,0,0,7,2,1,0,1,5,4,1,4,1,0,0,0,1,3,3,0,0,2,0,0,0,0,2,1,0,0,0,0,1
"E00033037",130,24,14,1,3,4,1,0,1,1,3,10,0,3,0,7,49,1,0,1,0,0,0,17,12,0,5,18,18,13,1,3,6,1,1,0,1,13,2,0,1,1,0,0,0,2,2,3,3,0,0,6,0,1,2,3,0,0,17,14,7,2,3,1,1,3,3,9,0,0,0,0,0,0,0,0,8,6,2,0,1,0,0,1,0,8,8,5,0,3,0,0,0,0,0,2,2,2,0,0,0,0,0,3,1,0,1,0,0,2,2,0,0,5,1,0,0,1,4,0,0,2,0,1,1
"E00033038",103,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,51,7,3,2,2,0,0,22,19,2,1,17,17,5,0,1,3,0,0,0,1,18,2,1,1,0,2,1,1,1,1,1,1,0,0,12,0,0,3,6,0,3,17,16,7,2,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,3,1,0,2,0,0,0,0,0,2,1,1,0,0,1,1,0,4,2,0,1,0,1,2,2,0,0,4,0,0,0,0,4,1,0,0,0,0,3
"E00033040",124,16,9,0,1,6,0,0,0,0,2,7,0,2,0,5,44,9,0,2,6,1,0,13,6,5,2,10,10,12,2,3,3,2,0,0,2,23,3,0,0,3,3,1,2,1,1,6,4,1,1,10,0,0,5,4,1,0,12,12,6,2,2,2,0,0,0,5,0,0,1,0,1,0,0,0,2,2,0,0,2,0,0,1,1,10,8,5,0,3,2,0,1,1,0,5,4,2,1,1,1,1,0,4,1,1,0,0,0,3,3,0,0,5,0,0,0,0,5,1,0,1,1,0,2
"E00033041",134,17,10,0,2,3,0,1,0,0,4,7,0,1,0,6,32,3,1,1,1,0,0,7,2,1,4,14,14,8,0,4,2,2,0,0,0,17,3,3,0,0,0,0,0,0,0,5,2,1,2,9,0,0,2,3,0,4,14,12,3,3,0,6,0,2,2,14,0,0,1,0,0,1,0,0,9,7,2,0,4,1,2,1,0,11,9,5,1,3,2,1,1,0,0,11,10,8,0,2,1,0,1,11,4,1,1,0,2,7,4,0,3,7,1,1,0,0,6,0,3,0,0,1,2
"E00033042",125,12,9,0,6,0,0,1,0,2,0,3,0,0,0,3,26,10,3,3,4,0,0,6,0,2,4,8,8,2,0,1,0,0,1,0,0,23,1,0,0,1,1,0,1,2,2,4,2,2,0,15,3,1,3,7,0,1,17,13,2,5,3,2,1,4,4,9,3,3,1,0,1,0,0,0,2,2,0,0,3,0,0,2,1,12,7,2,1,4,5,2,2,1,0,12,10,8,1,1,2,2,0,8,2,1,0,0,1,6,6,0,0,6,0,0,0,0,6,0,1,1,0,1,3
