"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E00032997",211,3,3,2,2,2,2,4,1,2,1,0,5,3,3,3,2,1,1,2,2,2,10,7,6,5,6,3,1,4,1,4,5,5,2,4,4,2,3,1,2,5,8,4,5,1,1,1,3,0,5,2,2,1,1,4,2,2,1,3,3,2,3,2,5,0,0,2,3,0,1,0,1,0,0,1,1,1,2,2,2,0,1,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"E00032998",337,6,6,5,3,6,0,9,4,2,2,0,4,3,3,3,4,1,1,4,1,5,10,5,17,7,9,16,8,10,6,5,4,8,2,2,6,7,4,5,5,3,3,4,6,0,2,2,3,2,6,3,6,7,5,0,2,7,4,4,6,2,5,3,4,2,6,1,2,2,2,2,4,1,2,1,1,1,3,1,2,0,2,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"E00032999",359,2,1,1,2,2,2,2,1,0,3,1,1,1,5,3,1,2,1,3,5,11,17,13,20,15,10,15,16,7,5,16,9,19,5,5,5,6,3,7,7,7,7,4,10,7,6,1,4,3,7,6,2,3,2,3,4,2,2,4,5,6,2,0,1,2,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00033000",177,0,0,0,2,1,3,2,3,0,0,2,2,6,4,2,4,3,2,2,8,3,1,0,0,3,1,1,2,2,0,1,0,0,1,0,0,1,2,0,3,6,3,3,4,2,2,2,1,0,4,1,2,1,2,2,1,3,0,1,0,2,0,1,1,2,3,0,0,2,1,2,4,3,6,0,7,2,6,2,2,0,5,2,4,0,1,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0
"E00033002",227,2,4,3,1,5,1,0,2,0,1,2,2,0,3,4,3,1,2,5,7,1,3,3,4,2,7,0,4,5,2,3,6,2,6,7,3,0,5,5,4,5,8,4,4,7,7,6,2,5,3,5,5,3,0,3,1,2,2,1,1,0,3,2,2,6,2,1,1,2,3,2,0,1,1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00033004",252,1,2,1,0,1,1,0,1,1,0,1,1,0,0,2,0,2,1,0,4,1,3,1,5,5,3,3,7,7,3,3,8,10,8,2,5,4,4,7,5,3,5,5,9,9,2,9,7,7,9,5,5,2,11,2,1,6,3,4,2,4,1,1,7,1,6,2,0,0,2,0,2,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00033005",402,0,4,4,1,6,6,4,0,2,4,4,4,3,7,4,1,5,10,5,2,2,7,0,3,7,2,3,6,4,3,6,4,3,8,4,3,3,2,3,5,1,5,2,6,1,10,9,6,6,11,7,2,5,10,7,5,1,4,3,3,3,4,5,5,5,3,3,5,4,3,2,6,4,3,9,5,5,3,7,5,6,6,5,4,4,7,6,2,5,0,3,3,1,1,0,1,1,0,0,0,0
"E00033006",271,3,4,3,4,2,2,1,2,0,1,6,4,1,2,0,6,5,2,7,0,3,4,4,5,6,2,8,3,5,6,3,3,3,4,3,0,0,3,1,3,0,2,4,3,5,5,6,1,6,6,3,6,3,5,4,4,1,2,5,5,6,7,0,3,5,5,1,0,2,1,3,0,3,2,2,5,1,5,5,1,2,1,2,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"E00033007",317,3,4,3,7,4,2,5,5,5,6,4,5,4,3,4,2,6,6,5,3,2,4,2,6,3,3,4,0,6,3,0,3,3,6,5,4,3,4,2,2,7,3,2,4,3,2,6,6,2,4,8,1,6,6,5,1,3,6,6,10,2,4,4,4,4,4,2,5,4,2,7,1,4,3,2,4,3,5,0,2,1,0,1,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"E00033008",345,4,5,7,7,5,4,5,5,1,10,8,7,7,8,7,6,8,6,5,3,2,7,7,5,3,3,5,6,3,5,7,4,4,2,3,4,4,3,3,1,7,6,7,9,5,7,1,2,5,10,2,3,3,9,2,2,4,8,6,1,5,3,3,4,4,0,4,0,3,1,2,1,4,3,1,0,0,2,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033012",149,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8,1,0,3,0,0,2,3,5,4,1,1,6,3,1,2,2,6,4,2,4,1,2,0,2,2,2,2,5,2,1,1,0,1,3,0,1,4,7,2,4,5,2,7,8,3,3,3,3,1,1,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033013",202,3,2,5,4,0,2,0,1,0,0,2,0,2,1,3,2,3,0,3,2,5,5,9,2,7,12,4,8,3,2,1,5,4,4,5,2,3,2,9,3,1,3,1,0,4,3,2,0,5,0,1,2,3,9,3,3,2,1,2,5,2,2,1,0,2,0,1,0,0,0,2,2,1,1,1,1,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033015",209,4,1,2,5,4,1,3,2,0,0,0,0,0,0,0,0,0,0,2,2,6,8,8,4,16,13,21,13,4,4,16,3,8,1,4,3,1,1,7,4,3,2,0,2,0,2,1,1,0,2,0,2,2,3,2,0,1,2,0,1,2,1,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033016",597,12,6,7,7,12,8,13,4,6,5,4,2,1,6,1,1,3,14,29,31,29,22,46,52,42,15,23,17,10,10,9,17,5,10,8,5,2,10,8,11,2,1,1,4,2,3,3,2,1,2,4,2,1,7,5,2,2,4,4,2,3,4,1,0,3,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00033018",270,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,35,61,50,36,16,10,11,5,3,2,5,1,6,1,5,0,1,3,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033019",350,3,3,2,1,3,0,3,2,1,1,1,2,1,0,3,2,1,1,1,19,24,21,7,11,11,20,12,5,8,5,9,7,12,4,5,1,6,6,6,5,5,7,5,4,3,6,5,5,10,3,2,5,1,4,8,5,1,4,3,2,2,2,2,0,1,1,3,0,0,2,0,7,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00033020",231,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,11,25,18,19,21,9,11,7,10,2,3,13,5,3,3,2,2,4,1,4,5,6,2,2,4,1,2,0,1,0,0,0,6,0,2,2,3,3,0,1,1,1,0,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033021",262,9,5,3,2,0,5,0,4,4,2,0,1,1,4,1,1,0,1,1,3,2,6,8,7,8,5,7,12,7,6,8,7,4,7,4,3,6,2,5,0,4,1,1,0,2,3,0,1,4,4,6,2,4,2,1,5,3,4,2,1,1,3,2,5,6,1,1,3,0,2,0,1,3,0,1,6,0,1,3,3,1,2,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"E00033023",433,2,2,3,1,1,0,0,2,0,1,0,3,0,3,5,1,1,1,2,31,67,69,29,9,6,9,8,5,4,5,4,2,2,2,4,3,1,5,3,2,3,4,5,5,4,4,3,3,5,0,1,1,2,4,5,3,5,6,1,6,2,3,1,6,1,3,5,4,0,2,5,7,4,3,1,1,0,2,1,3,2,0,0,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
"E00033024",178,1,1,2,2,1,2,1,0,2,2,0,0,2,2,1,2,3,1,1,1,1,2,5,1,1,1,3,3,1,3,7,2,3,4,4,3,1,2,1,3,1,5,2,0,2,1,3,4,5,3,2,4,3,0,3,2,6,5,3,1,5,2,3,1,5,1,5,0,1,0,0,3,3,1,0,2,0,1,1,0,1,2,1,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"E00033025",265,5,1,5,0,4,0,4,2,3,3,2,1,2,0,1,4,2,0,1,3,7,0,3,3,1,2,5,4,7,5,11,7,5,6,6,11,5,2,6,6,5,4,3,1,6,1,5,6,3,7,6,3,1,4,2,7,1,1,1,0,3,2,5,1,4,0,2,1,2,2,5,2,2,3,2,1,0,0,0,1,4,0,1,1,2,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0
"E00033026",219,3,6,2,6,2,0,3,3,1,4,2,3,2,2,2,4,1,0,2,4,1,3,2,2,2,1,1,2,1,1,3,2,2,2,5,5,0,4,6,3,5,4,5,1,2,5,3,1,7,3,4,5,1,3,2,4,3,2,0,1,2,5,2,2,3,4,0,2,3,1,1,4,0,7,3,1,1,3,1,0,5,1,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
"E00033027",393,3,3,3,1,3,2,1,5,1,3,0,2,3,1,0,0,2,1,5,7,9,21,9,6,7,18,24,8,9,12,7,5,8,7,7,5,3,6,6,5,4,5,2,6,0,2,2,2,5,4,1,4,1,3,2,4,2,2,4,4,3,5,3,6,5,1,3,3,2,2,2,3,1,3,4,0,3,2,4,4,4,8,5,5,4,1,3,2,2,5,3,0,0,0,1,0,1,2,0,0,1
"E00033029",240,1,2,5,1,1,2,1,3,1,1,4,6,1,0,0,2,0,0,0,1,1,4,3,4,2,13,6,8,6,8,7,2,4,1,5,5,4,3,8,6,8,5,3,5,3,3,2,3,2,1,0,1,5,2,3,2,3,3,4,3,2,3,5,1,3,2,1,1,2,2,3,1,1,0,5,2,1,0,0,2,2,2,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00033030",321,3,1,1,1,2,2,1,3,2,3,2,0,1,2,4,5,6,5,28,38,15,11,2,7,2,2,5,3,2,2,0,3,2,1,0,3,1,1,3,5,1,1,3,1,4,2,4,4,6,3,3,3,3,6,5,4,1,5,3,4,5,0,1,5,5,0,2,3,5,4,6,4,6,0,2,4,2,0,5,4,1,3,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"E00033031",309,1,4,2,3,1,3,0,4,2,2,3,4,3,1,4,7,5,4,2,5,12,10,6,6,7,8,4,6,1,3,3,2,4,4,6,1,2,5,6,5,2,6,5,6,5,5,4,4,8,9,8,4,6,2,9,4,2,3,2,2,4,2,1,5,2,5,1,1,4,2,1,1,3,3,2,3,3,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"E00033032",347,3,1,3,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,6,7,5,9,8,15,17,19,18,14,16,21,15,6,11,9,8,4,6,9,4,4,5,3,2,5,6,5,4,3,2,2,2,3,1,8,0,2,3,0,8,1,4,3,3,1,1,0,3,3,0,5,0,1,1,0,1,0,1,1,0,1,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E00033033",288,4,3,1,0,2,2,0,0,2,2,0,0,1,0,1,0,2,0,0,0,1,2,7,5,8,21,8,16,12,23,11,24,8,12,7,3,10,9,2,6,11,4,6,4,2,3,1,2,4,2,5,4,1,2,0,3,1,2,2,1,0,0,1,1,2,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00033034",313,3,1,1,2,0,0,3,0,2,1,3,0,0,0,0,0,3,0,1,0,1,4,5,7,19,18,9,11,15,20,16,14,13,15,5,10,6,7,6,8,9,4,4,5,7,5,3,4,3,4,1,2,2,5,1,1,1,2,1,1,0,6,0,2,1,0,0,2,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033035",359,4,3,3,6,1,1,3,2,0,4,1,1,0,3,0,2,3,0,2,0,6,4,7,0,7,10,13,7,9,7,8,13,8,8,11,8,4,3,3,2,10,7,3,1,4,4,8,2,3,1,8,2,3,3,6,3,4,0,8,3,5,7,6,3,6,3,2,4,1,2,5,2,3,0,2,5,3,1,4,5,5,0,2,4,2,1,3,1,3,4,0,3,0,0,1,0,0,0,1,0,0
"E00033036",191,1,0,2,1,0,1,0,3,0,0,1,3,2,1,0,1,0,0,0,1,1,1,2,0,6,10,7,6,6,10,6,7,2,13,3,5,3,1,2,2,3,4,7,4,3,0,3,5,5,3,2,4,1,0,3,5,3,3,1,1,5,0,4,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033037",314,3,5,2,1,3,1,3,1,0,1,3,1,1,1,2,1,1,2,0,0,0,1,2,1,4,3,3,4,7,2,8,2,2,3,8,4,4,4,3,10,2,4,5,1,6,4,3,2,5,1,5,0,6,0,4,2,1,6,4,8,6,0,4,6,4,5,5,1,7,6,4,4,5,2,3,8,4,3,8,2,5,3,11,2,2,4,4,7,2,1,1,3,2,0,1,1,0,2,0,0,0
"E00033038",166,1,1,2,2,0,0,1,3,0,2,1,0,0,0,0,2,3,1,0,3,1,0,1,3,6,10,11,4,10,7,12,10,3,4,0,4,2,0,6,1,1,6,4,0,0,3,2,5,2,2,2,0,0,1,2,2,2,3,3,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033040",270,4,1,2,4,5,4,2,0,5,1,2,1,1,2,2,1,1,1,4,1,3,9,4,5,9,11,3,4,14,6,8,13,4,7,1,3,4,4,4,4,4,7,1,1,3,3,3,8,4,3,3,3,4,1,3,0,2,4,2,1,2,1,2,2,3,2,1,2,2,3,0,2,2,2,3,1,1,2,6,0,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"E00033041",262,3,5,1,2,5,1,3,1,1,4,5,3,2,8,5,3,6,2,4,2,1,2,1,3,4,2,2,1,1,2,3,3,3,3,2,1,2,2,1,5,2,7,3,7,5,5,2,6,7,3,4,2,5,4,4,4,7,6,4,4,1,3,4,4,2,6,1,5,1,0,2,0,1,2,0,6,0,3,1,2,5,1,3,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"E00033042",239,1,1,4,1,1,0,2,1,2,1,1,2,0,2,1,5,6,4,3,4,6,4,7,5,0,3,2,0,1,5,3,2,1,2,2,1,2,4,2,1,2,2,3,1,3,4,6,5,4,6,7,1,2,3,4,3,2,5,3,5,3,4,10,4,3,6,5,2,4,1,2,1,2,2,0,2,1,4,4,1,2,2,3,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
"E00033043",252,4,6,2,3,2,1,3,1,1,1,0,3,3,1,6,0,3,1,1,1,3,1,2,4,7,1,4,7,5,8,5,3,6,6,7,6,1,5,7,3,5,6,3,4,1,3,5,2,5,1,3,2,8,4,1,0,2,2,2,1,5,4,1,4,5,2,4,2,3,3,0,3,2,1,1,2,2,3,1,2,0,1,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"E00033044",239,3,1,3,2,3,1,3,0,2,0,3,1,2,1,3,3,2,5,2,0,2,7,4,3,3,8,2,6,1,3,3,2,1,3,4,5,1,1,1,3,1,3,6,4,1,0,1,6,5,5,4,2,3,5,4,3,1,7,4,3,1,2,2,7,6,4,2,4,4,0,1,1,1,4,1,4,5,3,2,1,1,3,0,1,1,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0
"E00033045",215,2,0,2,2,2,0,1,1,1,0,0,6,1,1,2,4,2,6,1,4,4,0,2,1,1,3,0,3,0,2,2,1,3,1,5,1,2,3,5,2,2,0,3,3,0,3,7,2,3,5,2,8,3,1,2,0,3,0,2,2,1,5,1,4,5,3,5,4,6,3,0,4,1,5,7,1,5,3,3,1,1,1,1,3,4,2,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0
"E00033046",180,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,4,3,2,2,3,2,0,3,0,0,0,0,1,0,0,2,0,0,1,1,0,1,1,1,1,0,2,3,2,1,3,1,1,1,1,8,1,3,6,3,3,6,2,2,0,6,0,10,2,9,1,5,7,3,7,5,4,2,6,2,4,1,4,0,2,2,1,2,1,2,2,0,0,0,0
"E00033047",328,3,2,6,5,1,1,4,3,2,7,3,3,2,3,4,2,3,4,2,4,4,1,1,6,2,3,1,2,1,3,0,3,1,2,6,5,4,4,1,6,5,6,7,3,3,2,8,4,9,1,7,3,7,3,6,0,6,7,3,5,5,4,3,10,7,4,2,3,4,2,3,2,3,4,4,1,3,2,5,5,2,4,4,3,0,3,3,1,4,1,3,4,1,0,0,1,1,0,1,0,1
"E00033048",252,1,1,4,2,4,1,2,3,4,1,4,2,1,3,2,4,2,1,9,4,4,1,3,0,0,0,1,3,2,1,1,4,2,2,3,3,3,2,0,8,4,2,3,1,1,3,4,2,1,4,5,5,5,6,6,2,3,4,6,7,2,3,12,4,4,5,4,6,4,6,2,0,2,3,5,1,1,0,3,2,1,2,3,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"E00033049",372,7,11,4,6,10,5,3,4,5,2,2,1,5,2,5,2,2,3,2,3,7,8,8,6,8,11,9,12,8,18,17,10,7,5,6,11,12,6,7,4,7,5,2,2,2,2,4,6,4,3,3,1,5,5,6,5,4,7,1,1,3,3,2,1,2,0,1,1,2,2,0,3,0,2,1,1,3,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00033050",227,1,3,2,1,4,0,3,1,2,1,2,2,0,2,3,1,4,2,4,0,1,4,5,4,5,7,5,2,3,0,3,0,2,7,3,1,1,3,3,2,4,2,2,4,2,5,4,3,2,8,2,3,4,4,7,4,7,5,6,1,4,2,1,4,4,3,1,2,0,0,1,1,2,2,3,1,1,5,4,2,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00033051",308,1,0,1,0,1,2,1,5,0,1,1,1,2,1,1,5,2,0,1,1,4,2,5,11,9,6,12,15,11,7,13,13,8,14,6,4,3,5,3,6,2,4,2,6,7,6,2,2,1,4,4,3,3,1,6,1,6,3,6,6,3,6,4,2,3,2,1,1,2,1,2,1,3,1,4,1,0,0,1,2,1,2,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"E00033052",379,4,1,3,5,3,4,3,0,1,3,3,1,3,0,2,0,5,1,3,12,22,20,17,12,12,10,15,7,8,10,16,6,12,9,6,2,9,2,1,5,5,4,2,3,3,3,5,12,2,2,6,4,5,3,5,3,2,2,0,2,1,2,4,2,2,3,3,2,3,1,1,0,1,2,1,3,1,1,0,0,0,5,0,4,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00033053",278,2,1,3,6,6,3,2,4,4,5,2,2,2,1,2,2,3,9,2,3,9,13,4,10,4,2,10,8,8,2,6,3,6,7,6,2,8,5,4,4,5,2,6,3,4,4,3,2,4,4,2,3,4,2,1,0,4,3,3,6,1,2,0,1,1,0,1,0,0,3,1,2,2,0,2,0,0,1,1,0,0,1,2,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00033054",158,2,1,2,1,2,1,2,1,1,2,1,2,3,3,1,1,2,2,3,2,2,2,0,2,1,0,2,1,2,4,4,4,2,2,2,1,5,4,0,5,2,2,3,4,4,0,1,2,2,1,1,3,1,2,2,2,5,3,0,1,1,2,0,2,3,1,1,0,3,1,1,1,0,2,5,2,0,0,0,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
