"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E01006719",1535,1464,10,0,16,10,2,3,8,4,0,1,7,3,1,0,0,0,6
"E01006720",2108,1000,72,3,259,40,48,21,47,33,33,53,48,56,162,21,43,146,23
"E01006721",1655,1212,47,1,48,25,37,20,21,22,11,18,27,14,48,15,16,29,44
"E01006722",1793,1180,73,6,65,14,24,12,21,57,28,88,32,16,64,7,30,64,12
"E01006723",1875,1290,95,5,79,38,23,21,18,63,29,27,15,30,59,20,25,33,5
"E01006724",1790,1400,54,1,47,11,20,26,14,30,25,14,29,23,44,18,10,11,13
"E01006725",1537,1248,56,0,22,23,19,14,14,15,3,4,31,15,27,9,14,21,2
"E01006726",1565,1062,61,1,76,29,30,9,18,23,23,22,43,20,77,19,13,31,8
"E01006727",1441,1183,25,2,66,15,13,16,13,9,4,9,15,15,33,5,7,2,9
"E01006728",1623,1260,33,1,57,36,19,6,25,9,36,9,25,12,29,17,14,28,7
"E01006729",1400,1331,7,0,15,4,4,1,1,5,0,0,0,1,28,1,0,1,1
"E01006730",1326,1254,5,0,14,9,7,0,6,1,0,4,6,3,13,0,0,1,3
"E01006731",1196,1124,7,0,17,0,1,2,3,12,0,3,8,0,13,0,3,0,3
"E01006732",1643,1541,3,0,32,7,4,4,3,5,0,0,9,6,10,1,6,2,10
"E01006734",1412,1274,5,0,63,3,12,1,4,8,0,1,6,0,19,0,2,10,4
"E01006735",1309,1234,5,0,3,3,7,1,3,27,0,0,3,4,15,1,3,0,0
"E01006736",1460,1352,5,0,43,7,7,4,0,8,0,0,3,2,21,2,4,1,1
"E01006737",1435,1366,13,0,6,7,6,2,4,6,0,0,0,0,21,1,0,0,3
"E01006738",1501,1462,4,0,5,1,1,7,1,0,3,0,1,1,11,2,1,0,1
"E01006739",1769,1622,13,0,20,25,7,10,5,5,0,1,11,7,27,9,0,5,2
"E01006740",1280,1099,13,0,77,1,5,2,3,2,10,0,20,3,2,5,4,30,4
"E01006741",1815,1736,9,0,19,5,11,9,3,0,0,0,1,4,7,5,5,0,1
"E01006742",1394,1302,13,0,29,17,6,3,0,2,0,0,3,2,4,2,1,5,5
"E01006743",2175,1907,23,1,89,17,13,3,7,10,0,10,33,12,21,9,8,6,6
"E01006744",1482,1357,25,0,36,15,7,6,9,4,7,0,0,4,2,0,2,1,7
"E01006745",1879,1619,28,0,95,25,25,11,11,20,0,0,16,12,5,2,9,0,1
"E01006746",1513,1160,29,1,42,19,8,7,9,64,1,9,45,39,51,5,10,12,2
"E01006747",3552,1933,146,8,134,31,12,35,12,187,121,19,514,141,162,14,6,45,32
"E01006748",1936,1318,72,1,87,15,15,10,12,83,16,6,101,79,64,7,0,5,45
"E01006751",2572,1410,41,0,85,50,44,24,37,115,30,4,348,39,132,25,31,117,40
"E01006752",1012,565,23,0,66,15,16,15,10,16,4,36,50,44,75,10,11,40,16
"E01006753",1557,1472,4,0,20,16,10,6,2,0,5,0,1,2,15,4,0,0,0
"E01006754",1627,1427,27,0,119,5,9,8,10,0,0,0,0,0,12,4,5,0,1
"E01006755",1587,1436,6,1,29,18,8,7,12,0,0,7,6,5,34,2,6,8,2
"E01006756",1820,1614,5,0,78,19,12,8,3,1,4,1,17,7,41,2,4,1,3
"E01006757",1491,1377,8,0,43,15,5,5,9,0,1,0,9,1,6,1,5,1,5
"E01006758",1527,1403,8,0,24,22,4,1,12,0,0,1,9,6,22,0,10,5,0
"E01006759",1095,924,9,1,42,0,12,11,7,4,6,0,8,3,27,2,12,18,9
"E01006760",1611,1226,39,1,123,12,12,3,14,3,9,4,24,4,57,3,6,50,21
"E01006761",1644,1445,24,0,32,9,11,9,8,29,4,1,28,18,8,2,4,5,7
"E01006762",1692,1592,12,0,21,3,2,4,6,4,4,0,13,9,3,0,1,8,10
"E01006763",1471,1394,24,0,3,8,0,5,3,5,1,1,6,3,10,2,0,6,0
"E01006764",1522,1307,9,0,51,15,14,2,7,9,1,6,8,26,31,10,2,19,5
"E01006765",1468,1367,21,1,34,3,4,5,7,4,0,0,6,5,6,0,0,3,2
"E01006766",1266,1048,14,0,56,8,12,1,9,17,5,0,11,9,44,4,14,9,5
"E01006767",1787,1548,21,3,47,9,10,3,12,12,1,0,22,5,63,3,11,15,2
"E01006768",1359,1162,25,1,35,5,9,4,13,6,6,6,15,14,19,1,6,19,13
"E01006769",1270,1181,9,1,17,7,9,8,5,0,0,0,4,1,6,3,1,15,3
"E01006770",1002,942,4,0,2,5,13,8,4,2,0,2,8,3,1,4,1,1,2
"E01006771",1425,1349,11,0,10,6,11,5,3,5,0,0,6,5,5,0,6,3,0
"E01006772",1091,1003,12,0,19,5,2,4,2,8,1,0,13,7,8,5,1,0,1
"E01006773",1379,1297,11,0,14,5,3,7,8,4,5,0,7,5,2,3,2,1,5
"E01006774",1445,1243,10,0,4,11,5,4,6,24,17,0,94,1,9,7,6,4,0
"E01006775",1319,1228,19,0,4,11,10,2,11,5,0,0,18,0,3,3,3,1,1
"E01006776",1677,1552,22,4,34,1,2,7,7,3,0,0,18,3,16,0,5,2,1
"E01006778",2205,1936,16,0,76,23,4,11,8,7,7,0,20,16,65,7,0,5,4
"E01006779",1968,1856,7,0,28,13,5,11,5,1,0,0,4,3,8,1,0,6,20
"E01006780",1465,1405,20,0,5,3,3,7,3,5,0,0,5,1,2,2,1,3,0
"E01006781",1470,1433,10,0,8,3,1,1,0,0,0,0,12,1,0,0,0,0,1
"E01006782",1560,1463,15,0,16,12,4,3,1,13,0,0,1,16,6,0,0,0,10
"E01006783",1548,1480,8,0,15,3,0,6,5,16,0,0,8,2,3,0,1,1,0
"E01006784",1347,1287,9,1,7,7,7,3,1,1,0,0,9,0,4,1,0,0,10
"E01006785",1769,1647,23,2,24,4,4,8,3,12,0,0,2,4,29,0,0,1,6
"E01006786",1820,1766,12,0,15,3,5,0,1,0,0,0,4,2,2,0,0,1,9
"E01006787",2330,2001,29,6,59,20,7,1,13,37,10,8,16,9,40,10,21,27,16
"E01006788",1825,1731,9,1,21,7,4,5,0,26,0,0,3,2,8,0,2,6,0
"E01006790",1587,1487,10,0,28,6,0,7,9,4,2,0,0,0,14,4,3,9,4
"E01006791",1674,1530,12,0,37,3,4,4,1,11,0,1,8,0,25,12,3,9,14
"E01006792",1368,1255,12,0,30,0,2,12,8,7,0,0,9,6,6,1,1,17,2
"E01006793",1494,1347,14,1,26,4,10,11,9,20,5,0,17,5,2,2,2,6,13
"E01006794",1593,1431,16,0,26,7,9,7,5,35,6,0,10,16,11,1,1,2,10
"E01006795",1407,1304,21,0,17,9,3,13,2,17,0,0,15,1,0,1,0,1,3
"E01006796",1591,1335,19,0,53,2,6,4,9,50,32,5,18,8,3,0,3,38,6
"E01006797",1499,1424,17,0,4,3,9,6,9,0,1,0,4,3,4,4,4,0,7
"E01006798",1410,1289,24,0,27,7,2,6,4,13,0,0,28,2,2,1,4,1,0
"E01006799",1821,1706,24,0,21,4,5,4,14,11,2,0,10,2,3,1,1,0,13
"E01006800",1401,1270,5,0,9,3,7,7,5,44,2,5,25,1,9,3,0,4,2
"E01006801",1355,1265,22,0,12,1,1,10,4,10,4,0,18,5,2,0,0,0,1
"E01032505",1317,1086,25,0,66,14,13,0,10,19,7,2,37,5,6,0,4,16,7
"E01032506",1403,1203,30,0,43,21,21,9,7,4,14,0,11,10,10,1,2,13,4
"E01032507",1539,1329,53,0,55,20,12,9,13,1,2,6,7,2,13,3,4,8,2
"E01032508",1723,1485,12,0,28,20,20,3,11,34,0,5,21,26,28,1,6,6,17
"E01032509",1434,1292,12,0,41,4,13,3,16,11,0,2,12,6,15,1,2,4,0
"E01032510",1809,1675,7,0,36,7,4,8,5,29,1,0,8,2,14,0,0,5,8
"E01032511",1378,1302,12,0,20,4,5,2,8,0,1,0,8,1,10,1,2,0,2
"E01033747",1043,877,12,0,18,11,4,5,2,0,0,5,9,14,29,4,4,30,19
"E01033748",1277,997,37,0,65,4,4,8,12,44,13,2,8,15,28,9,3,17,11
"E01033749",1153,885,31,0,58,8,3,11,13,28,7,2,25,10,30,4,3,25,10
"E01033750",1448,1049,45,0,88,6,5,17,18,62,14,0,24,15,33,13,2,44,13
"E01033751",1873,1399,76,28,51,10,9,15,7,93,28,9,22,31,44,4,11,30,6
"E01033752",1196,796,49,4,131,5,6,11,6,20,20,4,27,21,16,6,2,57,15
"E01033753",1051,699,15,0,115,8,2,2,18,30,8,2,35,6,18,3,8,76,6
"E01033754",1452,1010,47,0,126,23,15,17,26,37,11,0,37,14,21,15,12,30,11
"E01033755",1082,705,68,0,124,7,1,10,11,28,11,1,29,21,17,6,1,30,12
"E01033756",1185,698,44,0,135,4,6,8,8,33,4,1,93,22,21,14,3,88,3
"E01033757",1025,526,23,4,65,32,20,18,16,20,3,0,160,30,46,10,19,6,27
"E01033758",1730,824,47,1,111,8,4,20,6,62,54,5,394,66,31,7,2,77,11
"E01033759",1147,1041,4,0,21,3,2,5,5,4,0,0,5,7,40,1,0,6,3
"E01033760",2115,1320,88,0,202,10,6,15,21,57,18,5,238,24,38,23,5,30,15
"E01033761",1372,889,52,0,156,10,8,14,14,33,6,5,57,22,21,6,3,62,14
"E01033762",1791,1261,129,1,98,9,6,9,7,46,17,3,63,29,43,5,0,56,9
"E01033763",1527,1110,21,0,86,22,20,4,7,25,12,6,48,29,61,5,20,34,17
"E01033764",2202,1955,39,5,64,14,3,1,1,9,2,5,12,9,38,14,3,21,7
"E01033765",1351,1122,35,1,40,22,23,5,4,7,7,0,20,8,18,6,3,21,9
"E01033766",1075,917,32,1,19,7,6,15,17,3,3,0,8,8,12,6,2,3,16
"E01033767",1067,911,8,0,44,9,5,1,19,3,1,1,9,11,15,1,2,23,4
