"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E01006578",554,398,44,283,2,15,8,34,10,2,156,135,2,4,10,5
"E01006579",618,401,53,273,2,16,9,36,11,1,217,194,0,3,12,8
"E01006580",515,365,45,245,3,17,6,38,11,0,150,139,0,4,4,3
"E01006581",607,414,52,291,2,12,9,27,7,14,193,170,4,7,7,5
"E01006582",585,418,48,291,0,17,16,30,12,4,167,150,3,3,8,3
"E01006583",467,311,43,170,5,35,16,33,5,4,156,151,1,1,2,1
"E01006584",611,396,52,257,2,11,11,33,28,2,215,171,0,2,36,6
"E01006585",641,310,49,183,1,8,3,17,41,8,331,202,6,12,90,21
"E01006586",921,579,88,345,0,12,11,50,55,18,342,213,8,21,70,30
"E01006587",717,475,58,321,4,22,13,26,28,3,242,161,8,11,46,16
"E01006588",702,519,66,343,5,15,17,27,25,21,183,131,13,6,29,4
"E01006589",599,420,70,272,2,10,11,47,5,3,179,161,2,5,10,1
"E01006590",701,514,57,354,0,15,7,33,17,31,187,126,24,5,21,11
"E01006591",671,496,53,335,2,15,15,36,15,25,175,137,9,6,16,7
"E01006592",624,398,41,240,2,38,12,54,5,6,226,205,5,5,6,5
"E01006593",662,512,59,356,2,9,17,23,12,34,150,105,16,8,19,2
"E01006594",579,361,36,205,8,44,16,43,7,2,218,202,2,3,5,6
"E01006595",812,519,70,378,3,12,6,28,12,10,293,241,8,13,24,7
"E01006596",597,396,43,297,1,10,8,25,6,6,201,169,4,6,15,7
"E01006597",683,469,61,300,1,27,17,50,10,3,214,196,3,4,4,7
"E01006598",604,272,60,141,0,1,2,15,49,4,332,185,8,32,83,24
"E01006599",482,296,78,124,2,2,1,12,74,3,186,86,4,31,43,22
"E01006600",592,313,73,171,1,9,8,23,25,3,279,174,2,19,70,14
"E01006603",594,303,72,166,2,5,9,21,28,0,291,202,2,18,45,24
"E01006604",571,339,73,192,2,8,6,27,30,1,232,158,1,15,47,11
"E01006605",696,362,74,199,4,12,4,30,33,6,334,212,2,23,83,14
"E01006606",723,430,63,271,1,7,7,34,43,4,293,178,5,25,69,16
"E01006607",641,335,71,197,1,5,2,20,34,5,306,174,1,31,78,22
"E01006608",563,350,60,209,1,5,4,33,33,5,213,139,1,12,58,3
"E01006609",576,361,65,220,2,3,6,21,41,3,215,130,6,21,42,16
"E01006610",669,354,69,210,0,4,2,23,41,5,315,190,5,33,62,25
"E01006611",742,416,83,230,0,1,1,19,71,11,326,141,9,36,120,20
"E01006612",740,386,91,196,1,4,8,15,66,5,354,197,4,37,94,22
"E01006613",611,295,62,158,2,4,8,26,32,3,316,194,4,19,86,13
"E01006614",667,409,87,215,0,4,6,22,67,8,258,139,10,27,58,24
"E01006615",663,419,94,227,0,9,4,21,54,10,244,126,4,29,62,23
"E01006616",613,339,52,223,2,8,3,31,19,1,274,186,1,18,57,12
"E01006617",650,461,64,299,3,19,8,45,18,5,189,143,3,5,29,9
"E01006618",692,357,79,224,2,5,8,22,15,2,335,261,6,11,45,12
"E01006619",734,473,74,288,3,15,15,41,23,14,261,197,2,11,34,17
"E01006620",625,327,47,194,3,14,6,40,21,2,298,248,2,7,33,8
"E01006621",584,361,48,198,1,41,10,49,6,8,223,199,2,3,17,2
"E01006622",586,387,41,274,4,18,12,30,6,2,199,184,0,4,9,2
"E01006623",527,377,49,238,4,29,14,35,6,2,150,129,1,3,14,3
"E01006624",702,432,77,245,1,15,8,37,41,8,270,173,2,10,64,21
"E01006625",609,374,56,245,1,11,11,36,11,3,235,205,0,10,14,6
"E01006626",593,358,46,248,1,9,4,36,11,3,235,198,1,7,24,5
"E01006627",600,376,62,245,3,5,8,28,22,3,224,170,1,10,28,15
"E01006628",651,460,59,302,4,24,13,30,20,8,191,143,4,12,23,9
"E01006629",573,355,42,244,2,7,11,25,20,4,218,165,4,5,35,9
"E01006630",555,291,79,131,3,3,0,15,56,4,264,100,4,27,109,24
"E01006632",884,515,89,281,2,5,10,32,86,10,369,178,18,42,96,35
"E01006633",699,300,70,168,1,4,5,7,41,4,399,205,6,36,115,37
"E01006637",670,401,90,201,2,6,5,22,62,13,269,114,9,51,67,28
"E01006638",518,259,74,122,0,0,5,9,39,10,259,139,4,35,63,18
"E01006639",640,437,67,271,2,14,13,38,29,3,203,134,2,21,34,12
"E01006640",760,503,86,312,2,14,7,48,30,4,257,189,2,7,42,17
"E01006641",633,551,79,389,4,14,12,35,14,4,82,40,4,11,21,6
"E01006642",590,326,83,160,2,9,9,11,49,3,264,136,6,31,65,26
"E01006643",740,447,96,258,0,6,13,28,38,8,293,137,14,36,78,28
"E01006644",963,583,98,366,1,4,4,41,63,6,380,210,6,36,103,25
"E01006645",690,306,75,149,4,2,5,11,57,3,384,222,11,33,89,29
"E01006646",1006,571,71,357,2,17,9,17,63,35,435,167,58,22,134,54
"E01006647",636,262,70,121,0,1,5,8,50,7,374,166,6,45,123,34
"E01006648",1075,620,98,383,3,7,3,34,45,47,455,227,39,27,137,25
"E01006651",592,503,51,359,2,19,11,44,12,5,89,66,1,9,12,1
"E01006652",633,442,64,295,1,4,17,30,25,6,191,139,4,13,27,8
"E01006653",656,365,50,243,2,10,8,25,24,3,291,170,5,24,76,16
"E01006654",627,409,54,281,0,12,7,27,21,7,218,154,3,15,42,4
"E01006655",706,423,66,280,0,9,7,31,28,2,283,191,3,19,50,20
"E01006656",669,456,60,317,2,6,11,25,28,7,213,138,5,19,38,13
"E01006657",582,360,52,241,4,6,5,18,32,2,222,139,2,18,49,14
"E01006658",634,330,95,169,0,5,4,19,31,7,304,175,3,14,90,22
"E01006659",548,299,47,186,1,2,2,20,33,8,249,131,5,20,72,21
"E01006660",616,339,77,199,2,6,5,28,20,2,277,178,2,12,75,10
"E01006661",749,344,73,197,0,4,2,22,43,3,405,229,4,43,94,35
"E01006662",785,390,77,223,3,2,6,32,38,9,395,254,3,32,84,22
"E01006663",510,309,59,206,1,6,5,13,18,1,201,112,1,17,54,17
"E01006664",822,450,80,247,2,8,10,32,69,2,372,217,1,30,95,29
"E01006665",630,507,71,351,0,19,6,42,14,4,123,85,1,4,22,11
"E01006666",514,424,41,310,1,18,10,33,11,0,90,63,3,8,14,2
"E01006667",618,390,61,250,0,11,12,32,21,3,228,143,3,21,47,14
"E01006668",590,486,67,322,3,25,9,43,12,5,104,79,3,6,10,6
"E01006669",551,439,40,289,2,21,8,47,24,8,112,69,5,5,27,6
"E01006670",607,455,57,307,1,19,16,30,21,4,152,115,0,12,23,2
"E01006671",499,332,47,207,2,27,5,24,17,3,167,116,3,11,25,12
"E01006672",798,468,95,255,0,11,5,26,67,9,330,171,4,52,82,21
"E01006673",954,568,104,255,3,13,12,28,98,55,386,165,42,31,99,49
"E01006674",826,413,96,171,1,15,8,22,86,14,413,166,24,52,135,36
"E01006675",1132,818,119,431,6,12,23,65,114,48,314,94,34,9,128,49
"E01006676",761,406,86,175,5,13,10,27,69,21,355,145,22,40,105,43
"E01006677",477,239,70,84,3,7,7,13,42,13,238,81,10,33,82,32
"E01006678",1059,531,97,273,5,7,3,41,84,21,528,239,39,34,184,32
"E01006679",920,495,99,146,2,10,19,32,139,48,425,164,52,44,116,49
"E01006680",605,385,53,268,1,18,8,30,6,1,220,199,2,6,9,4
"E01006681",719,414,60,260,2,11,12,33,29,7,305,211,3,17,66,8
"E01006682",498,327,34,240,0,13,9,27,3,1,171,158,0,4,5,4
"E01006683",594,385,50,276,2,11,9,31,3,3,209,190,1,4,9,5
"E01006684",999,752,76,546,5,35,17,44,23,6,247,211,7,3,12,14
"E01006685",604,385,35,258,2,19,8,40,11,12,219,187,5,6,14,7
"E01006686",531,335,41,250,1,8,2,25,4,4,196,180,1,5,4,6
"E01006687",933,622,53,387,4,50,23,59,40,6,311,239,3,6,37,26
"E01006688",712,465,70,292,1,15,14,37,30,6,247,194,6,8,30,9
"E01006689",717,481,53,342,1,15,9,43,13,5,236,201,2,0,23,10
"E01006690",801,522,88,250,1,4,15,30,100,34,279,104,28,31,85,31
"E01006691",647,398,79,181,1,10,11,18,64,34,249,110,12,38,56,33
"E01006692",989,595,103,321,1,15,10,47,89,9,394,191,22,36,118,27
"E01006693",838,380,87,189,2,9,3,24,60,6,458,278,6,19,132,23
"E01006694",891,585,120,281,2,11,12,9,109,41,306,118,15,37,81,55
"E01006695",1029,637,111,288,4,8,4,35,155,32,392,95,55,17,182,43
"E01006696",768,427,78,241,3,5,6,20,45,29,341,151,22,34,104,30
"E01006697",828,499,101,234,3,13,12,27,84,25,329,131,17,44,71,66
"E01006698",725,468,84,293,0,8,9,25,40,9,257,141,3,42,60,11
"E01006699",777,404,104,188,3,7,5,14,78,5,373,167,9,39,118,40
"E01006700",653,380,72,206,1,9,8,30,47,7,273,133,1,27,85,27
"E01006701",671,384,86,215,0,10,3,21,42,7,287,158,5,17,86,21
"E01006702",740,402,101,199,3,5,7,19,56,12,338,162,3,46,97,30
"E01006703",818,408,74,236,3,3,5,9,69,9,410,210,6,27,130,37
"E01006705",689,468,79,267,1,4,4,36,69,8,221,108,11,23,59,20
"E01006706",582,270,83,124,0,8,10,7,33,5,312,177,4,23,87,21
"E01006707",553,239,57,132,1,4,3,8,32,2,314,202,5,20,64,23
"E01006708",754,439,74,290,1,5,10,38,17,4,315,189,9,22,71,24
"E01006709",685,368,66,228,1,5,5,24,35,4,317,197,7,15,86,12
"E01006710",592,386,88,237,1,5,1,20,32,2,206,137,6,25,32,6
"E01006711",685,423,81,241,3,11,4,29,47,7,262,141,6,25,60,30
"E01006712",569,386,61,246,0,6,8,21,41,3,183,122,5,14,36,6
"E01006713",604,388,80,257,0,8,3,18,22,0,216,164,2,10,28,12
"E01006716",701,461,83,283,1,11,7,33,35,8,240,109,3,31,72,25
"E01006717",576,392,67,241,2,10,7,28,33,4,184,140,3,9,27,5
"E01006718",678,423,72,279,3,2,5,24,35,3,255,169,7,15,55,9
"E01006719",638,415,90,256,0,8,15,25,19,2,223,156,11,17,30,9
"E01006720",905,594,101,268,6,12,16,30,95,66,311,112,54,42,79,24
"E01006721",912,538,106,263,1,5,8,25,84,46,374,169,37,36,97,35
"E01006722",608,444,54,183,3,8,7,30,22,137,164,75,42,6,29,12
"E01006723",749,467,67,212,0,7,8,20,56,97,282,122,69,8,68,15
"E01006724",554,406,54,176,1,7,5,24,18,121,148,78,44,5,13,8
"E01006725",739,462,73,268,3,5,15,23,46,29,277,162,10,17,67,21
"E01006726",659,437,77,224,2,4,6,26,36,62,222,93,26,31,56,16
"E01006727",665,472,70,289,1,5,14,39,37,17,193,109,8,19,41,16
"E01006728",855,504,95,281,3,2,4,26,63,30,351,159,22,36,95,39
"E01006729",539,312,102,144,1,2,5,15,38,5,227,130,6,29,45,17
"E01006730",542,275,56,162,1,2,5,14,29,6,267,158,4,38,53,14
"E01006731",486,265,53,148,0,3,5,13,41,2,221,130,4,23,46,18
"E01006732",644,320,106,144,1,3,3,10,48,5,324,152,10,59,76,27
"E01006734",625,340,96,146,2,7,5,9,66,9,285,158,6,44,63,14
"E01006735",571,293,74,153,1,5,4,13,37,6,278,153,4,31,75,15
"E01006736",582,333,63,199,2,2,2,15,47,3,249,135,4,33,56,21
"E01006737",562,320,65,191,1,1,5,17,37,3,242,144,7,26,53,12
"E01006738",662,361,91,200,1,3,8,19,35,4,301,158,3,44,75,21
"E01006739",707,397,86,233,1,2,3,15,51,6,310,156,4,38,99,13
"E01006740",604,299,63,153,2,2,1,13,63,2,305,151,3,28,113,10
"E01006741",778,418,86,264,0,2,3,14,47,2,360,211,3,30,94,22
"E01006742",591,382,74,255,1,6,2,24,16,4,209,138,8,11,43,9
"E01006743",1008,691,107,458,3,16,11,39,49,8,317,182,12,36,68,19
"E01006744",739,503,87,329,0,6,9,31,40,1,236,152,7,19,43,15
"E01006745",907,630,121,358,0,14,15,35,79,8,277,132,10,33,85,17
"E01006746",655,313,65,115,1,8,6,16,39,63,342,188,25,16,78,35
"E01006747",857,472,71,215,3,5,7,25,36,110,385,113,171,8,71,22
"E01006748",756,445,80,157,1,2,2,19,48,136,311,130,115,10,44,12
"E01006751",831,361,87,152,3,8,6,12,37,56,470,227,80,26,102,35
"E01006752",489,288,58,138,0,6,6,22,48,10,201,100,27,12,44,18
"E01006753",666,364,76,200,1,3,5,18,54,7,302,152,6,57,57,30
"E01006754",781,416,89,223,3,6,5,21,64,5,365,202,7,26,112,18
"E01006755",690,363,80,174,2,6,9,14,76,2,327,123,5,57,118,24
"E01006756",757,436,102,214,4,13,8,17,75,3,321,147,5,56,84,29
"E01006757",621,354,75,187,3,6,9,15,57,2,267,124,5,49,64,25
"E01006758",639,366,70,230,0,4,3,15,43,1,273,143,6,40,65,19
"E01006759",460,315,46,181,2,6,15,26,34,5,145,82,6,11,29,17
"E01006760",826,510,71,291,1,3,14,24,89,17,316,110,29,9,136,32
"E01006761",793,469,85,252,0,10,11,28,70,13,324,172,7,27,101,17
"E01006762",725,412,92,222,0,7,12,26,50,3,313,188,7,23,77,18
"E01006763",652,408,83,237,1,7,7,32,39,2,244,143,9,23,45,24
"E01006764",667,436,86,243,0,6,8,31,56,6,231,110,7,25,69,20
"E01006765",659,397,59,259,1,3,6,21,44,4,262,170,8,20,49,15
"E01006766",574,368,83,189,1,3,8,12,58,14,206,90,6,37,51,22
"E01006767",779,517,86,302,1,8,9,29,65,17,262,125,20,33,62,22
"E01006768",587,425,39,241,0,17,12,36,75,5,162,92,10,5,45,10
"E01006769",712,310,48,207,0,3,5,14,31,2,402,276,7,16,79,24
"E01006770",445,240,66,125,1,1,3,17,23,4,205,143,0,17,34,11
"E01006771",694,331,76,178,0,6,10,10,41,10,363,233,3,28,89,10
"E01006772",480,274,53,158,4,5,11,30,9,4,206,156,0,8,37,5
"E01006773",554,382,60,267,1,8,2,28,14,2,172,152,2,3,10,5
"E01006774",552,401,51,272,0,19,5,35,15,4,151,123,3,6,14,5
"E01006775",556,245,62,146,2,2,3,9,20,1,311,192,4,31,71,13
"E01006776",844,452,90,270,1,12,6,33,32,8,392,236,8,25,94,29
"E01006778",1124,608,150,314,3,10,5,28,79,19,516,234,11,50,174,47
"E01006779",902,387,110,196,0,10,3,12,52,4,515,263,3,60,147,42
"E01006780",619,408,63,268,3,8,6,37,20,3,211,168,2,10,25,6
"E01006781",600,431,56,298,1,13,4,45,9,5,169,133,1,6,21,8
"E01006782",691,480,58,314,0,8,14,25,47,14,211,136,5,12,43,15
"E01006783",645,446,75,293,0,6,4,23,39,6,199,134,1,18,32,14
"E01006784",586,439,52,310,0,4,7,38,21,7,147,106,2,9,20,10
"E01006785",781,500,47,340,1,11,7,37,47,10,281,180,10,21,57,13
"E01006786",764,544,80,360,4,11,11,40,31,7,220,163,0,9,40,8
"E01006787",691,469,52,266,0,12,13,44,61,21,222,89,14,20,79,20
"E01006788",681,471,76,307,0,7,9,39,32,1,210,150,4,20,30,6
"E01006790",801,451,104,223,1,7,13,25,74,4,350,151,9,31,127,32
"E01006791",873,479,101,245,0,6,13,21,85,8,394,227,5,29,105,28
"E01006792",557,334,38,197,2,37,16,38,3,3,223,216,0,0,3,4
"E01006793",759,445,74,265,1,18,17,33,30,7,314,238,10,9,47,10
"E01006794",711,471,65,286,5,31,10,52,17,5,240,200,3,6,22,9
"E01006795",628,431,52,271,3,33,17,35,16,4,197,167,1,5,12,12
"E01006796",581,386,42,214,3,54,22,47,3,1,195,179,3,5,5,3
"E01006797",707,400,73,230,2,15,7,34,34,5,307,184,2,19,87,15
"E01006798",609,379,39,266,3,15,7,39,9,1,230,196,4,8,13,9
"E01006799",1145,503,77,324,1,19,17,29,34,2,642,500,7,9,109,17
"E01006800",679,342,56,207,2,19,14,36,7,1,337,312,5,1,14,5
"E01006801",609,340,46,233,0,14,7,32,7,1,269,251,3,2,7,6
"E01032505",563,359,59,196,1,23,12,33,27,8,204,133,6,9,34,22
"E01032506",656,428,52,280,2,7,5,28,42,12,228,145,9,16,53,5
"E01032507",666,498,61,342,2,10,8,30,24,21,168,105,9,17,25,12
"E01032508",847,481,85,265,2,4,13,20,83,9,366,172,10,41,115,28
"E01032509",665,434,90,247,0,1,7,23,59,7,231,129,4,31,55,12
"E01032510",776,525,96,346,4,7,10,31,22,9,251,149,5,21,59,17
"E01032511",616,393,87,206,1,5,11,33,47,3,223,142,6,14,49,12
"E01033747",496,210,44,90,2,12,4,10,48,0,286,129,8,33,83,33
"E01033748",772,676,34,528,0,4,14,39,31,26,96,36,35,5,8,12
"E01033749",1039,284,19,42,1,0,1,4,9,208,755,13,737,1,3,1
"E01033750",905,773,47,555,3,25,18,72,22,31,132,43,62,1,13,13
"E01033751",603,438,30,292,5,21,10,34,21,25,165,74,34,8,35,14
"E01033752",790,680,22,502,0,20,6,45,27,58,110,9,85,2,11,3
"E01033753",714,610,25,467,1,19,7,41,21,29,104,5,86,1,6,6
"E01033754",838,621,40,439,6,17,6,40,25,48,217,97,63,9,37,11
"E01033755",675,595,27,449,4,7,4,39,10,55,80,8,58,3,4,7
"E01033756",733,552,28,379,0,18,9,40,24,54,181,25,137,2,8,9
"E01033757",715,341,42,120,3,2,8,11,36,119,374,29,277,8,53,7
"E01033758",475,238,40,123,3,3,2,9,21,37,237,26,158,6,40,7
"E01033759",480,283,46,174,0,6,8,18,24,7,197,127,2,19,39,10
"E01033760",529,374,26,211,1,7,2,18,24,85,155,9,122,2,16,6
"E01033761",832,677,40,463,3,8,11,32,19,101,155,2,128,1,18,6
"E01033762",456,291,21,191,0,7,2,4,20,46,165,51,76,2,27,9
"E01033763",820,408,89,161,3,6,6,16,74,53,412,208,31,17,119,37
"E01033764",1172,521,127,234,4,8,11,24,100,13,651,336,11,55,188,61
"E01033765",659,381,70,213,0,12,7,30,36,13,278,129,11,29,89,20
"E01033766",424,320,35,210,0,4,7,21,9,34,104,63,22,6,9,4
"E01033767",562,332,76,169,0,1,4,25,49,8,230,108,10,30,64,18
"E01033768",835,525,84,263,4,10,11,21,92,40,310,60,79,8,138,25
