"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E00033095",164,121,17,75,1,9,2,13,1,3,43,43,0,0,0,0
"E00033096",110,58,5,29,0,14,2,7,1,0,52,48,0,0,4,0
"E00033097",119,73,17,44,0,0,0,2,10,0,46,30,2,3,9,2
"E00033098",113,58,4,43,0,5,2,2,2,0,55,52,2,0,1,0
"E00033099",94,24,1,16,1,4,0,2,0,0,70,67,0,0,1,2
"E00033100",138,65,17,38,1,1,1,3,4,0,73,52,0,2,16,3
"E00033101",96,46,7,31,0,3,2,1,1,1,50,46,0,0,3,1
"E00033102",207,150,24,96,0,4,4,11,9,2,57,35,1,5,14,2
"E00033103",117,60,11,34,1,0,1,5,7,1,57,40,0,4,10,3
"E00033104",109,64,13,40,0,2,1,4,3,1,45,31,0,1,10,3
"E00033105",118,68,10,43,0,2,1,11,1,0,50,49,0,0,1,0
"E00033106",125,66,14,42,0,2,2,3,3,0,59,45,0,2,10,2
"E00033107",121,93,13,52,1,10,3,13,1,0,28,25,0,2,1,0
"E00033108",119,78,8,52,0,0,1,11,6,0,41,30,0,3,6,2
"E00033109",123,73,10,53,0,1,1,4,4,0,50,45,0,0,4,1
"E00033110",142,78,14,50,0,4,0,6,3,1,64,49,1,3,2,9
"E00033112",115,86,13,46,1,7,5,13,1,0,29,29,0,0,0,0
"E00033113",117,79,7,36,0,15,4,10,7,0,38,35,2,0,1,0
"E00033114",113,81,9,42,0,14,7,9,0,0,32,28,0,1,2,1
"E00033115",92,52,9,31,1,3,2,4,1,1,40,39,0,0,1,0
"E00033116",101,38,5,17,0,4,2,1,9,0,63,51,1,1,8,2
"E00033117",154,85,9,56,1,5,5,6,2,1,69,64,0,1,1,3
"E00033118",129,81,12,59,0,2,1,5,1,1,48,47,0,0,1,0
"E00033119",109,70,4,42,4,11,3,4,1,1,39,37,0,0,0,2
"E00033120",132,84,12,63,0,3,1,3,2,0,48,42,1,1,1,3
"E00033121",119,44,4,35,0,0,0,5,0,0,75,63,0,2,8,2
"E00033122",121,60,6,44,0,3,2,5,0,0,61,55,1,1,2,2
"E00033123",123,56,11,34,0,2,2,7,0,0,67,64,0,1,1,1
"E00033124",120,80,6,55,1,7,2,5,4,0,40,30,0,4,5,1
"E00033125",111,69,16,31,1,1,3,3,10,4,42,17,0,1,21,3
"E00033126",111,60,7,41,3,1,2,4,2,0,51,46,0,1,3,1
"E00033127",194,120,15,85,0,7,2,6,4,1,74,50,1,6,10,7
"E00033128",111,69,13,48,0,0,1,2,4,1,42,28,1,1,11,1
"E00033129",108,51,3,40,1,1,1,3,1,1,57,55,0,0,2,0
"E00033130",126,87,10,58,0,6,6,7,0,0,39,33,0,2,2,2
"E00033131",130,61,11,39,1,0,1,7,2,0,69,46,2,6,13,2
"E00033132",158,117,21,74,0,3,3,8,5,3,41,27,0,4,9,1
"E00033133",144,58,22,24,1,0,0,3,8,0,86,51,0,12,20,3
"E00033134",111,64,9,30,0,1,1,3,20,0,47,18,3,7,15,4
"E00033135",183,117,27,66,0,1,0,7,14,2,66,39,2,9,14,2
"E00033136",99,62,18,25,2,0,1,4,12,0,37,22,1,2,9,3
"E00033137",167,100,18,30,0,0,1,10,29,12,67,27,0,11,20,9
"E00033138",113,53,13,22,0,2,1,0,15,0,60,18,2,10,18,12
"E00033139",149,72,8,39,0,1,3,4,16,1,77,51,0,1,20,5
"E00033140",94,62,7,44,0,0,1,3,7,0,32,23,0,3,4,2
"E00033141",85,53,10,31,0,0,1,6,4,1,32,23,1,1,4,3
"E00033142",117,77,14,49,0,0,1,6,6,1,40,22,0,5,9,4
"E00033143",127,87,17,48,0,0,1,6,15,0,40,14,1,12,10,3
"E00033144",126,71,22,37,0,0,0,2,10,0,55,28,1,4,14,8
"E00033145",122,84,32,46,0,2,1,2,1,0,38,25,3,5,3,2
"E00033146",124,84,22,41,0,2,3,8,8,0,40,23,1,10,6,0
"E00033147",127,91,12,67,0,1,2,4,5,0,36,28,0,3,3,2
"E00033148",116,70,17,47,0,1,0,3,2,0,46,27,0,6,11,2
"E00033149",98,60,13,31,1,0,3,4,8,0,38,18,0,3,13,4
"E00033150",146,93,12,54,0,1,2,3,21,0,53,13,1,9,21,9
"E00033151",125,67,12,26,0,0,3,4,22,0,58,27,0,12,16,3
"E00033152",146,97,18,47,0,2,0,6,21,3,49,14,8,8,8,11
"E00033153",167,100,17,61,0,1,3,8,8,2,67,43,1,5,13,5
"E00033154",102,66,8,15,1,1,0,3,32,6,36,15,0,4,14,3
"E00033155",155,83,22,38,0,1,0,3,16,3,72,42,3,5,14,8
"E00033156",122,67,11,40,0,2,3,3,6,2,55,28,0,4,18,5
"E00033157",140,73,15,37,1,2,0,3,10,5,67,24,7,11,20,5
"E00033158",130,89,26,37,0,0,0,5,18,3,41,16,0,7,12,6
"E00033159",87,43,14,20,0,0,0,1,5,3,44,14,0,12,11,7
"E00033160",167,88,12,45,0,0,0,5,24,2,79,31,9,9,23,7
"E00033161",137,67,10,42,1,1,0,7,6,0,70,55,1,0,12,2
"E00033162",131,82,24,25,0,1,0,2,24,6,49,18,3,9,11,8
"E00033163",136,94,21,48,1,0,0,2,19,3,42,12,1,7,19,3
"E00033164",152,117,24,73,0,1,1,8,8,2,35,17,0,11,7,0
"E00033165",117,34,9,18,0,0,1,1,5,0,83,56,0,3,23,1
"E00033166",113,43,6,22,0,1,1,4,8,1,70,43,0,2,22,3
"E00033167",130,89,13,56,0,0,2,12,6,0,41,25,2,4,7,3
"E00033168",122,70,11,43,0,1,4,8,2,1,52,44,0,2,5,1
"E00033169",122,79,13,52,0,3,1,6,4,0,43,34,0,4,4,1
"E00033170",142,100,19,72,1,1,0,5,1,1,42,28,0,1,13,0
"E00033171",136,89,11,60,0,6,1,5,3,3,47,34,0,3,7,3
"E00033172",122,54,14,20,1,2,0,2,15,0,68,8,5,4,44,7
"E00033173",129,80,12,57,0,2,0,6,2,1,49,38,0,3,6,2
"E00033174",114,54,21,26,0,0,1,1,5,0,60,26,1,10,20,3
"E00033175",107,64,15,37,1,0,1,2,8,0,43,29,0,4,9,1
"E00033176",99,62,18,27,0,2,0,5,8,2,37,14,1,8,8,6
"E00033177",130,80,16,50,0,0,2,3,8,1,50,32,0,7,9,2
"E00033178",88,45,12,26,0,1,0,3,3,0,43,20,1,2,19,1
"E00033179",136,75,15,41,0,2,0,5,11,1,61,33,1,4,17,6
"E00033181",155,118,10,59,0,7,6,5,10,21,37,14,11,0,11,1
"E00033182",184,116,17,69,0,3,3,3,8,13,68,20,13,3,30,2
"E00033183",207,160,9,69,1,3,4,13,13,48,47,14,17,0,14,2
"E00033185",117,90,9,43,0,4,0,8,4,22,27,13,8,1,4,1
"E00033186",105,90,11,41,1,2,1,4,5,25,15,7,5,0,3,0
"E00033187",129,104,7,67,1,3,4,11,6,5,25,11,3,1,9,1
"E00033188",113,88,10,53,0,0,1,7,1,16,25,13,8,0,2,2
"E00033189",208,111,22,47,0,8,2,4,24,4,97,33,12,13,31,8
"E00033190",226,138,27,50,0,4,4,16,32,5,88,21,5,25,16,21
"E00033191",128,80,9,34,0,3,1,3,2,28,48,16,21,5,5,1
"E00033192",118,81,6,34,0,1,2,2,1,35,37,13,17,2,2,3
"E00033193",114,88,10,56,0,1,2,3,0,16,26,16,1,2,3,4
"E00033194",117,85,13,46,0,1,1,4,3,17,32,13,10,1,5,3
"E00033195",105,75,8,50,0,3,0,2,6,6,30,20,5,1,4,0
"E00033196",137,115,3,71,0,0,4,10,23,4,22,7,2,2,6,5
"E00033197",236,101,13,63,0,1,0,11,13,0,135,91,0,6,36,2
"E00033198",135,100,9,53,0,1,1,6,4,26,35,21,9,1,3,1
"E00033199",137,51,9,27,0,2,2,6,5,0,86,56,0,1,21,8
"E00033200",126,56,2,32,0,0,2,7,8,5,70,50,2,3,10,5
"E00033201",91,68,5,42,0,1,0,3,0,17,23,12,5,2,3,1
"E00033202",98,77,7,38,0,3,1,2,4,22,21,15,4,0,2,0
"E00033203",101,72,8,52,0,1,2,3,0,6,29,20,4,2,1,2
"E00033204",105,85,9,55,0,0,4,9,2,6,20,10,5,3,2,0
"E00033206",117,86,11,41,1,2,3,12,15,1,31,9,1,2,16,3
"E00033207",179,112,22,33,1,3,0,3,39,11,67,22,3,11,18,13
"E00033208",143,99,21,28,2,4,2,7,30,5,44,9,4,5,10,16
"E00033209",208,79,18,24,0,2,3,1,25,6,129,45,16,8,44,16
"E00033210",133,81,15,25,1,0,9,6,19,6,52,17,6,3,19,7
"E00033211",145,85,12,34,2,4,1,5,23,4,60,21,5,7,18,9
"E00033212",123,77,23,26,0,2,2,7,16,1,46,22,3,8,9,4
"E00033213",136,104,9,49,0,2,1,2,9,32,32,18,11,2,1,0
"E00033214",223,144,29,55,1,2,6,10,18,23,79,20,18,12,16,13
"E00033215",147,99,14,37,1,5,2,11,25,4,48,14,9,6,10,9
"E00033216",150,109,11,62,3,3,0,8,18,4,41,8,7,5,16,5
"E00033217",158,118,11,67,0,2,4,13,15,6,40,15,5,1,18,1
"E00033218",106,84,7,52,1,3,2,9,7,3,22,17,1,0,4,0
"E00033219",181,139,9,73,2,5,4,14,17,15,42,19,5,0,12,6
"E00033220",135,103,7,44,0,2,5,5,5,35,32,13,13,2,3,1
"E00033221",170,124,13,59,0,0,1,5,37,9,46,7,4,0,30,5
"E00033222",135,35,4,19,1,1,1,1,6,2,100,75,0,2,17,6
"E00033223",171,127,21,59,1,7,11,4,15,9,44,9,12,0,19,4
"E00033224",148,46,14,21,0,0,0,2,9,0,102,57,3,11,20,11
"E00033225",160,82,11,39,0,1,3,4,24,0,78,13,1,10,40,14
"E00033226",187,77,21,28,0,2,1,4,20,1,110,43,3,14,39,11
"E00033227",136,52,12,27,0,0,0,2,9,2,84,56,0,4,18,6
"E00033228",208,94,18,41,0,0,3,4,26,2,114,66,2,2,31,13
"E00033229",128,64,14,34,0,3,3,7,3,0,64,48,1,3,11,1
"E00033230",114,66,7,42,0,2,4,6,5,0,48,42,0,1,4,1
"E00033231",113,57,13,30,0,2,0,2,10,0,56,25,0,5,12,14
"E00033235",122,64,11,26,0,2,2,0,22,1,58,32,0,5,15,6
"E00033237",146,51,15,20,0,1,1,0,12,2,95,45,0,3,43,4
"E00033238",182,92,30,45,0,2,0,5,10,0,90,46,0,11,27,6
"E00033242",104,47,17,21,0,0,0,2,7,0,57,34,1,1,18,3
"E00033245",167,68,15,27,0,2,1,2,16,5,99,59,2,4,29,5
"E00033246",121,75,16,38,1,3,2,4,11,0,46,19,1,5,17,4
"E00033247",148,87,25,45,0,0,0,6,10,1,61,29,1,9,18,4
"E00033248",250,115,14,42,0,1,0,3,55,0,135,52,0,2,58,23
"E00033249",132,65,8,35,0,1,2,5,12,2,67,23,0,10,24,10
"E00033250",126,48,14,19,0,2,0,0,13,0,78,28,1,5,29,15
"E00033251",106,62,12,18,0,0,1,2,23,6,44,16,0,6,19,3
"E00033252",169,52,10,22,0,1,0,4,15,0,117,68,0,13,27,9
"E00033253",132,54,10,25,1,0,2,1,15,0,78,49,1,5,15,8
"E00033254",152,76,23,44,0,0,2,2,5,0,76,43,2,5,16,10
"E00033255",126,59,20,23,0,1,2,4,7,2,67,49,1,3,9,5
"E00033256",100,53,17,30,0,0,0,2,4,0,47,37,0,4,4,2
"E00033257",180,91,16,57,0,0,0,2,14,2,89,50,1,4,27,7
"E00033258",157,44,14,20,0,0,0,0,9,1,113,69,0,13,25,6
"E00033259",80,43,11,20,0,1,0,3,8,0,37,14,0,3,16,4
"E00033260",129,71,22,37,1,0,0,1,8,2,58,34,1,3,14,6
"E00033261",110,66,18,30,0,0,0,1,16,1,44,20,0,4,13,7
"E00033262",96,48,9,24,0,0,0,1,14,0,48,19,0,11,13,5
"E00033263",89,54,10,29,0,1,0,0,14,0,35,10,3,3,13,6
"E00033264",147,59,15,21,1,0,4,3,15,0,88,49,2,6,22,9
"E00033265",126,59,19,30,0,0,0,3,7,0,67,35,0,8,20,4
"E00033266",147,82,13,49,0,3,3,6,8,0,65,40,0,2,20,3
"E00033267",141,60,9,33,0,0,2,4,11,1,81,59,2,4,14,2
"E00033268",121,77,8,55,2,1,0,7,3,1,44,37,0,2,3,2
"E00033269",92,47,4,27,1,1,1,5,8,0,45,39,0,1,4,1
"E00033270",128,80,6,57,0,3,5,7,1,1,48,40,1,2,3,2
"E00033271",126,93,9,66,0,3,5,8,1,1,33,30,0,1,0,2
"E00033272",120,76,11,49,1,2,1,7,5,0,44,41,1,1,1,0
"E00033274",122,74,14,40,0,5,0,4,10,1,48,25,1,3,17,2
"E00033275",142,68,12,40,2,1,0,10,3,0,74,62,0,1,7,4
"E00033276",127,91,12,52,0,1,1,5,20,0,36,16,0,4,10,6
"E00033277",99,50,16,20,0,4,3,2,4,1,49,34,0,4,9,2
"E00033278",107,71,17,43,0,0,1,4,6,0,36,26,1,3,5,1
"E00033279",139,88,17,46,0,0,0,9,15,1,51,26,1,9,9,6
"E00033281",136,100,13,67,0,0,0,8,12,0,36,23,0,3,6,4
"E00033282",125,70,5,50,0,2,1,7,3,2,55,39,0,3,11,2
"E00033283",118,61,13,40,0,0,0,2,6,0,57,52,0,0,2,3
"E00033284",182,91,11,32,0,1,1,6,34,6,91,25,2,7,43,14
"E00033285",135,83,15,54,0,0,0,5,9,0,52,38,2,2,6,4
"E00033286",128,44,12,23,0,0,1,3,5,0,84,65,1,3,10,5
"E00033287",115,84,10,58,2,1,1,9,3,0,31,20,1,3,5,2
"E00033288",121,94,16,68,0,2,0,5,3,0,27,22,0,1,2,2
"E00033289",105,86,8,61,0,1,1,9,4,2,19,18,0,0,1,0
"E00033290",88,71,10,53,0,1,1,2,3,1,17,12,0,2,3,0
"E00033291",185,146,27,95,0,4,3,7,10,0,39,27,0,3,6,3
"E00033292",106,77,6,49,0,0,2,7,13,0,29,24,0,1,4,0
"E00033293",145,76,17,46,0,2,0,5,6,0,69,47,0,4,12,6
"E00033294",130,79,11,46,0,4,1,5,11,1,51,29,0,5,11,6
"E00033295",108,72,9,52,0,2,2,5,2,0,36,31,0,3,1,1
"E00033296",111,65,5,48,0,5,0,6,1,0,46,43,0,0,3,0
"E00033297",143,72,12,43,0,0,1,5,10,1,71,47,0,6,15,3
"E00033298",129,63,11,36,0,2,1,9,3,1,66,47,1,3,12,3
"E00033299",117,59,13,32,0,5,1,3,5,0,58,47,0,2,5,4
"E00033300",112,56,8,29,0,1,0,4,14,0,56,34,0,3,15,4
"E00033301",120,74,22,39,0,0,1,3,8,1,46,29,1,2,11,3
"E00033302",105,47,13,23,0,0,3,2,5,1,58,34,0,7,12,5
"E00033304",102,61,12,34,0,1,1,4,7,2,41,34,0,2,5,0
"E00033305",121,61,9,32,1,2,3,7,6,1,60,38,0,7,14,1
"E00033306",122,64,14,36,0,0,1,7,5,1,58,39,1,3,13,2
"E00033307",124,63,11,33,0,1,2,7,8,1,61,33,0,10,12,6
"E00033308",122,74,12,50,1,1,0,1,9,0,48,32,0,3,10,3
"E00033309",135,67,23,31,0,0,0,4,8,1,68,40,2,9,14,3
"E00033310",127,72,17,36,1,1,0,5,12,0,55,26,0,14,11,4
"E00033312",133,59,13,33,0,1,0,5,6,1,74,50,0,3,17,4
"E00033313",137,82,26,36,0,1,0,5,10,4,55,28,2,6,16,3
"E00033314",130,80,21,51,0,0,3,3,2,0,50,32,0,2,13,3
"E00033315",130,70,16,39,0,0,0,5,9,1,60,48,0,5,6,1
"E00033316",144,90,9,65,1,3,2,7,3,0,54,46,0,3,4,1
"E00033317",152,104,11,81,0,2,0,8,2,0,48,40,0,2,6,0
"E00033318",153,72,11,46,0,2,1,6,4,2,81,48,0,5,18,10
"E00033319",164,118,17,78,0,6,6,6,4,1,46,40,0,2,2,2
"E00033320",130,78,10,50,1,6,1,7,2,1,52,47,0,0,3,2
"E00033322",118,78,11,54,1,3,0,6,3,0,40,35,0,2,3,0
"E00033323",107,70,9,38,1,6,3,11,2,0,37,36,0,0,1,0
"E00033324",113,82,7,63,0,5,3,4,0,0,31,31,0,0,0,0
"E00033326",106,71,7,47,2,5,1,7,1,1,35,34,0,1,0,0
"E00033327",124,75,9,54,1,4,0,6,1,0,49,44,0,0,4,1
"E00033328",119,52,6,33,0,0,0,4,9,0,67,41,2,2,20,2
"E00033329",131,85,13,61,0,2,1,8,0,0,46,43,0,0,1,2
"E00033330",130,79,8,59,0,0,2,8,0,2,51,45,0,4,0,2
"E00033331",134,74,11,50,2,0,2,6,3,0,60,55,0,0,4,1
"E00033332",108,86,11,51,1,4,0,15,4,0,22,21,0,0,0,1
"E00033333",121,80,13,52,0,3,4,5,3,0,41,36,0,1,1,3
"E00033334",108,79,10,58,0,5,1,3,2,0,29,22,0,2,3,2
"E00033335",108,71,10,49,1,3,2,5,1,0,37,36,0,0,0,1
"E00033336",121,81,10,57,0,4,0,9,1,0,40,33,0,2,3,2
"E00033337",85,54,3,38,0,2,1,7,3,0,31,29,0,1,0,1
"E00033338",90,69,7,46,0,6,3,5,2,0,21,19,0,1,1,0
"E00033339",132,92,14,56,0,3,3,8,7,1,40,33,1,2,2,2
"E00033340",103,77,8,58,1,7,0,3,0,0,26,23,0,1,2,0
"E00033341",115,78,12,53,0,3,2,7,0,1,37,35,1,0,0,1
"E00033342",126,79,12,56,1,2,2,4,2,0,47,42,1,2,0,2
"E00033343",96,76,10,53,0,5,3,5,0,0,20,18,0,1,1,0
"E00033344",139,97,9,70,0,0,3,9,1,5,42,37,0,0,3,2
"E00033345",129,91,6,67,0,2,4,8,1,3,38,33,0,0,4,1
"E00033346",124,83,11,54,0,0,2,4,4,8,41,33,2,4,2,0
"E00033347",121,84,14,59,0,1,3,5,2,0,37,34,2,0,1,0
"E00033348",112,70,13,34,1,12,3,4,1,2,42,41,0,0,1,0
"E00033349",154,98,7,51,0,3,4,13,18,2,56,29,0,0,26,1
"E00033350",122,79,15,54,0,1,2,5,2,0,43,40,0,0,3,0
"E00033351",124,65,14,35,0,3,2,4,7,0,59,43,2,4,9,1
"E00033352",108,78,10,54,1,0,3,5,5,0,30,25,0,2,2,1
"E00033353",103,66,11,44,0,3,2,4,2,0,37,33,0,0,1,3
"E00033354",150,66,8,34,1,1,0,2,16,4,84,45,0,0,36,3
"E00033355",113,82,9,53,0,6,0,10,3,1,31,22,0,2,7,0
"E00033356",137,79,9,49,0,1,0,12,5,3,58,45,1,3,6,3
"E00033357",125,63,12,42,0,1,2,1,5,0,62,42,2,5,9,4
"E00033358",95,55,10,35,0,2,0,1,5,2,40,25,2,1,7,5
"E00033359",161,98,17,68,2,1,3,5,0,2,63,45,2,1,10,5
"E00033360",155,95,18,50,0,6,2,12,6,1,60,50,0,1,8,1
"E00033361",174,126,14,93,0,3,7,5,3,1,48,38,1,3,5,1
"E00033362",106,77,5,61,0,2,1,5,3,0,29,29,0,0,0,0
"E00033363",87,68,4,52,0,2,3,6,0,1,19,17,0,0,1,1
"E00033364",134,91,12,55,0,6,3,12,3,0,43,42,0,0,1,0
"E00033365",172,132,17,92,1,4,4,12,1,1,40,36,0,3,1,0
"E00033366",108,75,7,59,0,3,0,4,1,1,33,28,0,0,3,2
"E00033367",137,110,16,75,1,3,3,3,2,7,27,13,7,1,5,1
"E00033368",124,84,13,61,0,0,1,8,1,0,40,35,1,1,3,0
"E00033369",137,107,8,75,0,9,2,11,1,1,30,28,1,1,0,0
"E00033370",141,70,8,53,0,1,1,4,3,0,71,63,4,1,2,1
"E00033371",124,80,7,59,0,4,1,4,2,3,44,38,1,2,3,0
"E00033372",112,89,13,54,0,2,3,8,9,0,23,18,0,2,2,1
"E00033373",181,124,16,83,1,9,5,6,3,1,57,45,1,7,4,0
"E00033374",140,101,14,67,1,2,5,4,8,0,39,33,1,1,4,0
"E00033375",140,87,6,47,0,4,7,22,1,0,53,52,0,0,1,0
"E00033376",135,76,15,49,0,5,1,5,1,0,59,54,0,0,0,5
"E00033377",133,92,12,54,1,9,4,11,1,0,41,40,0,0,1,0
