"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E00033005",116,0,0,5,3,1,0,0,1,0,0,0,0,6,21,9,21,4,2,2,0,5,5,7,21,8,0,0
"E00033006",105,0,0,5,1,0,0,1,0,1,2,1,0,2,15,1,11,2,4,2,4,9,7,15,20,7,0,0
"E00033007",78,0,0,2,0,0,0,1,0,0,1,0,3,13,10,5,9,2,1,1,1,3,6,6,10,6,0,0
"E00033008",77,0,0,2,0,0,0,1,0,0,1,0,0,3,7,6,17,0,3,2,2,3,1,6,18,7,0,0
"E00033012",92,1,1,5,1,0,0,1,1,2,0,0,0,2,13,7,4,2,6,1,11,6,9,10,12,2,0,0
"E00033013",87,0,0,3,1,0,0,1,0,0,1,0,0,3,9,1,11,3,1,2,2,4,6,17,21,3,1,0
"E00033015",69,0,0,8,0,0,0,2,2,2,2,0,0,1,7,2,10,2,2,0,3,4,3,20,5,2,0,0
"E00033016",128,0,0,4,0,0,0,1,1,0,2,0,1,1,12,0,24,4,0,0,12,2,6,26,23,12,1,0
"E00033018",124,0,0,2,0,0,0,0,0,1,1,0,0,0,26,2,30,2,3,2,6,6,4,15,9,17,0,0
"E00033019",137,0,0,5,1,0,0,1,0,2,1,0,2,1,30,2,12,5,1,3,8,8,9,16,23,12,0,0
"E00033020",128,0,0,1,0,0,0,0,1,0,0,0,0,2,19,1,16,13,5,2,7,2,6,23,18,13,0,0
"E00033021",110,0,0,2,0,0,0,0,0,1,1,0,0,1,7,3,28,5,3,3,3,6,8,10,24,7,0,0
"E00033023",178,0,0,3,1,0,0,1,0,1,0,0,0,5,28,1,31,7,1,4,6,7,4,18,19,42,1,1
"E00033024",55,0,0,1,1,0,0,0,0,0,0,2,1,5,10,3,5,2,1,2,3,2,4,2,9,3,0,0
"E00033025",163,0,0,7,0,0,0,5,0,1,1,1,0,5,16,8,5,5,6,1,14,9,6,25,43,12,0,0
"E00033026",106,0,0,5,1,0,0,0,2,2,0,0,1,5,7,6,1,5,8,4,8,0,9,24,14,9,0,0
"E00033027",207,0,0,12,0,0,0,4,1,3,4,1,2,8,23,2,12,5,3,5,19,6,15,37,43,14,0,0
"E00033029",141,0,0,7,0,0,0,3,1,3,0,0,1,6,15,5,9,6,5,2,12,5,12,21,23,12,0,0
"E00033030",124,0,0,5,0,0,0,2,1,0,2,0,4,5,19,1,14,4,7,1,9,3,11,18,9,14,0,0
"E00033031",174,0,0,13,2,0,0,4,0,3,4,0,0,5,14,9,14,5,6,1,8,4,14,42,28,10,1,0
"E00033032",227,0,0,12,1,0,0,3,3,2,3,0,1,4,21,5,13,15,8,5,25,10,9,41,43,15,0,0
"E00033033",198,0,0,9,1,0,0,4,0,2,2,1,1,5,22,5,11,14,5,7,24,4,18,33,32,7,0,0
"E00033034",235,0,0,7,0,1,0,2,2,0,2,1,0,5,19,3,8,22,6,2,32,6,12,49,46,17,0,0
"E00033035",178,0,0,7,1,0,0,3,0,2,1,0,0,5,14,5,11,9,3,1,8,4,8,41,46,15,1,0
"E00033036",125,0,0,1,1,0,0,0,0,0,0,0,0,4,7,6,2,6,2,3,8,5,12,18,34,17,0,0
"E00033037",130,0,0,5,1,0,1,0,0,2,1,1,1,9,12,2,5,5,2,2,14,2,15,24,24,7,0,0
"E00033038",103,0,0,5,1,0,0,2,0,2,0,0,0,4,8,2,5,5,1,0,5,3,9,25,26,5,0,0
"E00033040",124,0,0,5,0,0,0,0,1,2,2,0,2,4,6,4,5,10,1,2,10,4,14,20,24,13,0,0
"E00033041",134,0,0,7,2,0,0,1,2,1,1,3,0,12,19,5,3,7,2,1,9,5,13,28,16,4,0,0
"E00033042",125,0,0,9,1,0,0,3,1,1,3,0,0,6,19,9,5,1,6,1,11,7,6,19,15,11,0,0
"E00033043",149,0,0,11,1,0,0,2,1,2,5,0,0,9,11,6,7,5,3,4,19,1,15,35,16,7,0,0
"E00033044",117,0,0,3,0,0,0,1,1,0,1,0,1,12,9,3,3,4,6,1,13,0,13,19,20,10,0,0
"E00033045",64,0,0,3,0,0,0,0,0,1,2,0,0,3,10,5,7,2,3,2,2,1,3,6,12,5,0,0
"E00033046",48,0,1,5,0,1,0,0,0,1,3,0,0,1,7,1,2,1,2,1,10,1,1,9,5,1,0,0
"E00033047",144,0,0,6,1,0,0,2,2,1,0,1,2,6,15,8,7,4,5,6,17,5,6,27,24,5,0,0
"E00033048",119,0,0,8,1,0,1,1,1,4,0,0,0,8,8,4,5,3,2,3,11,6,15,17,19,10,0,0
"E00033049",218,0,0,19,3,0,0,4,3,5,4,0,0,9,33,10,13,8,5,4,15,8,16,40,30,8,0,0
"E00033050",128,1,0,10,1,0,0,1,0,7,1,1,0,9,14,4,5,2,4,2,8,3,19,24,19,3,0,0
"E00033051",199,0,0,9,0,0,0,4,0,3,2,1,0,10,16,4,7,9,12,6,20,8,5,45,30,17,0,0
"E00033052",206,0,0,7,2,0,0,3,0,0,2,0,6,6,24,10,16,19,5,6,17,8,18,31,23,10,0,0
"E00033053",162,0,0,7,0,2,0,0,3,1,1,0,1,7,16,10,16,4,6,4,10,6,16,28,21,10,0,0
"E00033054",66,0,0,8,1,0,1,1,0,3,2,0,0,1,6,9,3,0,0,3,6,0,3,15,10,2,0,0
"E00033055",133,0,0,8,0,0,0,4,1,3,0,1,1,8,8,8,2,1,1,1,20,6,10,33,17,7,1,0
"E00033056",166,0,0,15,3,0,1,3,2,3,3,0,0,9,16,4,4,4,6,4,10,5,17,26,35,11,0,0
"E00033057",155,0,0,15,1,0,1,1,1,7,4,0,1,7,14,9,8,3,7,2,9,6,10,31,26,7,0,0
"E00033059",122,0,0,11,3,0,0,2,1,3,2,0,0,7,16,1,4,9,1,4,6,4,12,11,28,8,0,0
"E00033060",76,0,0,4,2,0,0,0,0,1,1,0,0,7,9,2,2,6,4,1,5,3,6,12,10,4,0,1
"E00033061",110,0,0,6,0,1,0,1,0,1,3,0,0,3,15,5,10,1,1,2,10,2,11,23,16,5,0,0
"E00033062",116,0,0,7,1,0,0,3,0,2,1,0,4,6,9,5,11,7,6,5,11,4,6,15,15,5,0,0
"E00033063",132,0,0,11,0,1,0,2,3,2,3,0,0,8,7,9,2,6,6,2,7,2,13,37,18,4,0,0
"E00033064",130,0,0,7,1,0,0,1,2,1,2,1,0,7,10,3,5,2,6,2,9,6,11,34,20,6,1,0
"E00033065",155,0,0,9,0,0,0,2,1,3,3,0,3,4,16,5,1,7,3,2,19,9,7,36,27,7,0,0
"E00033066",163,0,0,9,0,1,0,4,0,3,1,1,0,1,8,1,4,19,2,2,21,3,20,32,26,13,0,1
"E00033067",176,0,0,5,1,1,2,0,0,0,1,0,1,6,8,5,11,13,6,9,10,10,9,30,42,11,0,0
"E00033068",233,1,0,14,2,0,0,7,0,0,5,0,1,17,17,4,10,10,5,3,24,10,9,32,65,11,0,0
"E00033069",164,0,0,4,1,0,0,0,1,2,0,0,0,6,21,5,4,13,5,8,15,7,10,19,34,13,0,0
"E00033070",131,0,0,3,0,0,1,1,0,1,0,0,0,7,10,3,15,4,7,3,7,8,7,22,30,5,0,0
"E00033071",173,0,0,10,0,0,1,5,0,2,2,0,0,5,12,6,9,8,4,4,19,5,12,28,40,11,0,0
"E00033072",173,0,1,6,0,1,0,0,2,1,2,0,1,4,9,6,13,8,1,5,14,8,13,35,39,10,0,0
"E00033073",162,0,0,8,3,0,0,2,1,1,1,1,0,8,19,3,8,10,5,8,8,3,13,28,30,10,0,0
"E00033074",126,0,0,5,0,0,1,2,1,0,1,0,0,4,9,4,13,10,1,5,10,5,6,14,31,9,0,0
"E00033075",88,0,0,9,2,1,0,2,1,1,2,1,1,5,9,4,4,5,0,1,8,4,4,6,17,10,0,0
"E00033076",141,0,0,11,3,0,0,3,0,2,3,0,0,6,15,1,1,5,5,5,12,3,11,18,31,17,0,0
"E00033077",161,0,1,10,3,0,0,3,1,2,1,0,0,3,14,7,6,8,0,2,14,8,6,31,44,7,0,0
"E00033078",130,0,0,8,0,0,0,3,1,2,2,0,3,3,14,5,2,6,0,0,7,5,20,20,34,3,0,0
"E00033079",121,0,0,6,1,0,0,1,0,2,2,0,0,6,17,5,7,2,4,0,6,3,10,21,26,8,0,0
"E00033080",50,0,0,1,0,0,0,1,0,0,0,0,0,3,7,2,0,2,3,0,2,4,6,10,9,1,0,0
"E00033081",127,1,0,7,1,0,0,2,1,1,2,0,1,3,12,9,5,5,7,1,13,4,14,25,17,3,0,0
"E00033082",149,0,0,6,0,0,0,1,1,1,3,2,1,16,16,4,7,7,5,2,12,4,7,31,26,3,0,0
"E00033083",182,0,0,18,4,2,0,4,2,2,4,1,1,17,23,8,8,9,4,4,24,5,7,14,30,9,0,0
"E00033084",120,0,1,4,0,0,0,0,0,2,2,0,2,9,17,14,6,2,4,2,12,2,11,12,15,6,0,1
"E00033085",141,0,0,15,1,0,0,4,1,5,4,0,0,9,22,7,6,5,5,1,6,5,12,21,22,5,0,0
"E00033086",100,0,0,7,1,0,0,1,2,2,1,1,1,4,21,3,1,7,5,2,8,4,13,11,11,1,0,0
"E00033087",190,0,0,17,1,0,0,2,4,5,5,1,0,10,31,10,15,6,7,1,9,8,9,19,34,13,0,0
"E00033088",107,0,0,6,0,0,0,0,1,4,1,1,0,7,18,6,4,4,4,1,5,4,15,5,25,2,0,0
"E00033089",131,0,0,12,2,0,0,3,0,5,2,0,1,5,22,5,8,5,7,1,1,7,9,10,23,15,0,0
"E00033090",178,0,0,19,3,0,0,4,2,6,4,1,1,8,36,15,18,2,8,0,9,7,9,13,23,9,0,0
"E00033091",167,0,0,14,2,0,0,2,1,6,3,0,0,8,29,16,4,5,4,2,9,5,13,26,28,4,0,0
"E00033092",152,0,0,15,0,0,3,3,3,4,2,0,0,9,30,12,4,6,3,1,9,6,8,26,19,4,0,0
"E00033093",193,0,0,28,1,0,0,13,1,10,3,2,1,15,28,17,9,1,12,5,6,4,10,18,31,6,0,0
"E00033094",142,0,0,18,1,0,0,6,0,7,4,1,2,7,15,13,5,5,6,3,5,9,16,18,13,6,0,0
"E00033095",234,0,0,17,3,0,0,6,0,4,4,0,0,9,25,9,13,8,7,5,18,8,19,39,44,13,0,0
"E00033096",109,0,0,5,1,0,0,1,0,2,1,3,0,11,18,2,4,4,3,2,13,5,6,9,19,5,0,0
"E00033097",109,0,0,10,1,0,0,0,1,5,3,0,0,6,19,6,7,0,1,1,2,7,7,19,18,6,0,0
"E00033098",116,0,1,14,1,0,0,4,2,3,4,0,0,14,17,5,3,2,5,5,8,2,14,10,12,4,0,0
"E00033099",47,0,0,1,1,0,0,0,0,0,0,1,1,4,12,2,1,5,1,3,1,2,1,3,7,2,0,0
"E00033100",121,0,0,7,0,0,0,0,2,2,3,0,1,6,26,17,4,4,1,0,1,7,8,15,18,6,0,0
"E00033101",95,0,0,6,0,0,0,1,0,4,1,1,0,3,19,3,7,3,1,3,6,2,9,12,16,4,0,0
"E00033102",222,0,0,12,2,0,0,2,3,4,1,2,1,17,44,21,7,2,4,2,7,10,21,21,44,7,0,0
"E00033103",103,0,0,8,3,0,0,0,2,2,1,0,0,6,15,8,6,0,6,2,2,6,6,8,24,6,0,0
"E00033104",101,0,0,1,0,0,0,0,1,0,0,0,1,6,27,12,6,1,1,3,1,2,6,15,16,3,0,0
"E00033105",134,1,0,9,1,0,0,1,1,5,1,0,4,8,13,6,5,1,6,5,10,5,17,20,19,5,0,0
"E00033106",119,0,1,9,1,0,0,1,3,3,1,0,0,11,18,6,8,3,2,4,7,9,11,8,17,5,0,0
"E00033107",202,0,0,14,1,1,0,4,1,5,2,1,1,12,27,9,18,7,5,4,13,17,10,18,39,7,0,0
"E00033108",152,0,0,24,0,0,2,8,3,9,2,1,2,6,13,12,9,3,6,2,12,5,9,16,16,16,0,0
"E00033109",146,0,0,13,1,0,0,4,0,7,1,1,0,11,19,7,6,7,5,0,5,12,9,23,21,7,0,0
"E00033110",155,0,0,21,2,1,0,3,0,8,7,1,0,11,26,7,8,5,5,3,8,4,12,11,28,5,0,0
"E00033112",163,1,0,10,1,0,1,3,1,1,3,2,1,10,27,0,6,2,9,4,11,2,16,26,28,8,0,0
"E00033113",128,0,0,3,1,1,0,0,1,0,0,1,1,9,18,3,6,1,3,3,18,3,6,23,23,7,0,0
"E00033114",145,0,1,9,5,0,0,2,0,1,1,0,0,9,24,0,6,7,9,2,10,7,9,26,21,5,0,0
"E00033115",62,0,0,5,0,0,0,2,0,3,0,0,0,4,6,3,4,1,4,2,10,1,3,10,7,2,0,0
"E00033116",40,0,0,1,0,0,0,1,0,0,0,0,0,1,7,2,2,0,0,3,3,3,4,5,7,2,0,0
"E00033117",162,0,0,8,0,0,0,3,0,4,1,0,0,10,19,5,3,5,9,3,5,5,18,37,29,6,0,0
"E00033118",164,0,0,9,2,0,0,1,1,3,2,1,3,9,24,7,5,3,3,2,11,4,24,30,21,8,0,0
"E00033119",127,1,0,8,0,0,0,3,0,5,0,0,3,3,12,2,6,7,2,7,16,3,11,21,21,4,0,0
"E00033120",154,0,0,14,1,0,0,2,1,8,2,0,1,9,31,5,15,4,4,2,4,4,16,22,20,3,0,0
"E00033121",69,0,0,6,0,0,0,2,1,2,1,0,0,6,6,2,2,2,6,1,5,1,7,13,11,1,0,0
"E00033122",115,0,0,9,0,0,0,1,4,2,2,0,2,8,14,7,2,4,5,2,6,6,14,15,16,5,0,0
"E00033123",99,0,0,13,3,1,0,0,1,5,3,0,0,3,4,3,2,3,4,2,11,2,12,14,20,6,0,0
"E00033124",163,0,0,10,1,1,0,1,0,5,2,1,2,7,25,13,11,7,4,1,7,4,16,24,25,6,0,0
"E00033125",79,0,0,6,0,0,0,2,0,3,1,3,0,3,10,5,9,2,2,0,3,12,4,8,10,2,0,0
"E00033126",116,0,0,9,4,1,0,0,0,4,0,1,0,11,16,9,7,2,3,2,3,7,11,17,13,5,0,0
"E00033127",217,0,0,16,3,0,1,9,0,3,0,1,2,11,34,8,14,10,7,0,14,7,14,36,32,11,0,0
"E00033128",117,0,0,3,0,0,1,0,1,1,0,1,0,8,24,8,6,3,6,4,6,0,17,10,17,4,0,0
"E00033129",104,0,0,4,0,0,0,3,0,1,0,0,2,7,9,7,7,1,0,1,5,2,13,20,17,9,0,0
"E00033130",185,0,0,17,2,0,1,2,0,7,5,1,0,12,21,7,8,6,14,0,10,4,11,32,34,8,0,0
"E00033131",99,0,0,5,0,0,0,2,0,3,0,0,1,6,13,10,5,2,2,1,5,5,6,15,18,5,0,0
"E00033132",221,0,0,25,2,0,2,3,5,5,8,1,1,13,37,17,17,4,18,7,9,12,12,14,29,5,0,0
"E00033133",98,0,1,5,0,0,0,1,0,3,1,0,2,8,14,4,8,0,5,3,3,14,3,12,11,5,0,0
"E00033134",62,0,0,4,1,0,0,0,1,1,1,1,0,6,10,2,8,0,5,1,2,4,5,2,9,3,0,0
"E00033135",177,1,0,10,3,0,1,1,0,1,4,0,1,16,34,11,12,5,8,2,7,12,12,7,27,12,0,0
"E00033136",76,0,0,7,1,1,0,0,2,2,1,1,0,3,7,7,6,0,5,1,5,3,6,4,7,14,0,0
"E00033137",79,0,0,5,0,0,0,0,1,1,3,0,3,3,17,6,9,3,2,0,4,5,5,5,8,4,0,0
"E00033138",47,0,0,3,1,0,0,0,0,0,2,2,0,5,7,5,8,0,1,1,0,1,1,2,9,2,0,0
"E00033139",95,0,0,6,0,0,0,2,0,2,2,0,0,11,18,4,6,4,5,3,4,2,6,8,8,10,0,0
"E00033140",99,0,0,9,3,0,0,1,2,1,2,0,0,8,18,7,2,2,5,0,1,9,12,4,20,2,0,0
"E00033141",94,0,0,4,2,0,0,1,1,0,0,0,1,5,17,9,8,4,2,2,3,4,12,9,8,6,0,0
"E00033142",126,0,0,11,2,0,0,1,1,5,2,0,0,9,25,10,9,7,2,0,5,9,3,11,21,4,0,0
"E00033143",99,0,0,3,0,0,0,0,0,0,3,0,0,4,20,4,13,2,3,1,4,6,7,5,20,7,0,0
"E00033144",83,0,0,4,1,0,1,0,0,0,2,1,0,4,14,9,10,4,4,0,2,5,6,7,10,3,0,0
"E00033145",137,0,0,5,0,0,0,1,1,2,1,0,1,5,17,15,7,4,7,0,6,6,15,17,25,7,0,0
"E00033146",125,0,0,8,1,1,0,0,0,1,5,0,2,13,19,10,10,1,2,1,4,11,10,6,25,3,0,0
"E00033147",162,0,0,5,2,0,0,0,0,3,0,0,0,16,23,17,8,4,11,0,9,4,9,17,31,8,0,0
"E00033148",120,0,0,10,5,0,0,1,0,1,3,1,3,10,19,5,15,4,2,1,1,3,10,10,21,5,0,0
"E00033149",81,2,0,8,1,2,0,1,1,1,2,0,1,4,12,4,5,1,4,1,1,9,6,5,12,6,0,0
"E00033150",110,0,0,6,1,0,0,0,0,4,1,0,3,12,22,7,12,0,1,1,6,8,3,7,19,3,0,0
"E00033151",67,0,0,5,0,0,0,0,2,1,2,0,1,5,10,6,4,1,5,1,1,4,5,1,11,7,0,0
"E00033152",114,1,0,8,0,1,2,0,1,3,1,0,1,7,23,4,6,6,2,0,3,7,9,12,20,5,0,0
"E00033153",154,2,0,8,1,0,0,2,0,0,5,1,0,11,10,12,14,1,3,0,8,12,10,20,31,11,0,0
"E00033154",48,0,0,2,0,0,0,0,0,2,0,0,0,3,8,2,8,1,0,1,0,5,3,3,8,4,0,0
"E00033155",91,0,0,5,2,0,0,0,0,1,2,0,0,7,18,3,7,0,1,0,4,5,10,10,15,6,0,0
"E00033156",91,0,0,3,0,0,0,0,1,1,1,0,3,9,11,6,9,2,6,0,5,2,8,7,13,7,0,0
"E00033157",116,0,0,6,0,0,0,0,0,4,2,0,0,8,14,17,8,0,5,0,6,13,11,3,18,7,0,0
"E00033158",113,0,0,5,2,0,0,0,0,1,2,0,3,7,11,8,9,1,2,3,4,12,8,14,22,4,0,0
"E00033159",49,0,0,4,0,1,0,0,1,0,2,0,1,2,4,0,10,3,4,0,1,8,0,7,4,1,0,0
"E00033160",109,0,0,10,4,1,0,1,3,0,1,0,1,6,19,8,7,0,8,3,3,6,4,9,19,6,0,0
"E00033161",112,0,0,4,1,1,0,0,1,0,1,1,3,12,17,7,11,1,5,2,5,5,7,9,17,6,0,0
"E00033162",88,0,0,3,3,0,0,0,0,0,0,0,0,10,15,3,9,1,3,3,1,8,3,3,22,4,0,0
"E00033163",112,0,0,11,7,0,0,0,1,0,3,0,2,6,17,11,9,12,2,1,0,11,2,4,17,4,3,0
"E00033164",185,0,0,15,2,1,0,1,5,6,0,0,1,10,29,10,4,4,13,3,14,6,21,23,21,11,0,0
"E00033165",44,0,0,6,3,1,0,1,1,0,0,0,0,3,8,4,2,0,1,1,2,2,0,2,7,6,0,0
"E00033166",49,0,0,5,1,0,0,2,1,0,1,0,0,7,7,6,3,2,1,1,0,2,1,2,11,1,0,0
"E00033167",150,0,0,8,2,1,0,1,1,2,1,0,2,16,25,15,8,2,3,0,6,8,20,8,17,12,0,0
"E00033168",132,0,0,8,1,0,0,0,2,2,3,0,1,13,19,10,3,2,7,6,4,4,11,14,23,7,0,0
"E00033169",155,0,0,15,2,0,0,5,2,4,2,0,1,10,32,10,6,1,3,1,5,10,16,7,31,7,0,0
"E00033170",194,0,0,15,4,0,0,3,0,4,4,2,2,23,26,10,12,2,6,3,6,7,16,17,38,9,0,0
"E00033171",184,0,0,7,1,0,0,1,1,3,1,1,0,29,26,12,6,3,9,1,9,9,18,17,26,11,0,0
"E00033172",59,0,0,4,1,0,0,0,2,0,1,0,0,3,9,4,6,1,1,1,2,10,3,5,7,3,0,0
"E00033173",155,0,2,13,1,0,0,2,5,2,3,1,0,19,24,10,6,2,9,0,4,8,11,17,24,5,0,0
"E00033174",99,1,0,4,3,0,0,0,0,0,1,0,1,10,20,6,9,1,3,2,2,6,7,9,14,4,0,0
"E00033175",106,0,0,9,0,0,1,0,1,3,4,0,0,10,15,8,9,2,5,1,3,4,5,7,21,7,0,0
"E00033176",92,0,0,3,1,0,0,1,0,0,1,0,1,8,19,5,12,4,2,1,2,3,5,10,12,5,0,0
"E00033177",131,0,0,12,4,1,0,1,1,3,2,0,1,11,23,11,4,6,8,2,3,3,11,15,17,4,0,0
"E00033178",73,0,0,3,1,0,0,0,1,0,1,0,1,3,9,6,10,0,4,2,2,1,9,7,10,6,0,0
"E00033179",113,0,0,6,3,0,0,1,0,1,1,0,4,9,28,11,4,2,2,2,5,10,7,3,16,4,0,0
"E00033181",182,2,0,8,2,0,1,1,3,1,0,0,0,1,27,1,21,6,7,1,10,1,13,35,25,23,0,1
"E00033182",165,0,0,8,1,0,0,2,1,1,3,0,2,8,14,4,19,3,7,1,13,5,12,31,28,10,0,0
"E00033183",238,0,0,8,0,0,0,3,0,2,3,0,0,8,47,7,51,11,2,3,14,8,6,33,34,6,0,0
"E00033185",144,0,0,4,0,0,0,0,2,2,0,0,0,5,33,3,14,2,5,2,5,4,8,11,27,21,0,0
"E00033186",159,0,0,6,2,0,0,1,1,2,0,0,0,4,24,4,29,6,5,2,7,7,8,20,25,12,0,0
"E00033187",141,1,0,13,2,0,0,7,0,0,4,1,0,8,7,4,16,9,5,1,8,4,4,23,24,13,0,0
"E00033188",169,0,0,8,1,0,0,2,0,2,3,0,0,6,28,9,32,6,5,4,7,1,7,23,19,14,0,0
"E00033189",147,0,0,6,0,1,0,0,0,1,4,0,1,4,32,9,24,1,1,1,5,6,8,13,24,11,1,0
"E00033190",166,0,0,9,6,0,1,1,0,0,1,0,0,9,28,8,35,5,3,3,7,9,6,11,24,9,0,0
"E00033191",157,0,0,7,1,0,1,1,3,0,1,1,0,7,24,4,28,9,1,1,3,6,7,19,15,25,0,0
"E00033192",123,0,0,3,1,0,0,1,0,1,0,0,0,4,27,4,16,4,1,2,5,7,3,13,15,19,0,0
"E00033193",161,1,0,6,1,1,0,1,1,2,0,0,0,8,21,4,18,4,2,0,8,6,13,27,34,9,0,0
"E00033194",146,0,1,4,0,0,0,3,0,0,1,0,0,5,21,4,5,5,6,2,16,8,6,23,30,10,0,0
"E00033195",130,1,0,2,0,0,0,1,0,0,1,0,0,2,18,6,5,7,2,2,12,3,20,24,23,3,0,0
"E00033196",121,0,0,5,3,0,0,1,0,0,1,0,1,5,14,5,7,12,3,3,7,4,4,15,25,11,0,0
"E00033197",128,0,0,3,0,0,0,0,1,2,0,0,0,5,13,6,9,7,3,5,10,6,5,29,22,5,0,0
"E00033198",179,0,0,7,1,0,0,3,0,2,1,0,0,3,32,2,19,8,2,3,12,6,9,39,27,10,0,0
"E00033199",59,0,0,6,1,0,1,1,1,0,2,0,0,1,2,2,6,2,3,3,1,7,2,2,20,2,0,0
"E00033200",94,0,0,2,0,0,0,0,0,1,1,0,0,0,14,2,16,1,3,4,4,4,2,22,13,7,0,0
"E00033201",124,0,0,4,1,0,0,0,0,2,1,0,1,5,14,1,14,6,1,0,4,5,7,24,31,6,1,0
"E00033202",139,0,0,6,0,0,0,3,1,0,2,0,0,7,19,4,18,6,1,2,10,6,9,20,23,8,0,0
"E00033203",122,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,6,13,5,6,7,4,8,29,19,7,0,0
"E00033204",143,0,0,8,0,2,0,4,1,1,0,1,0,7,11,4,7,3,4,4,13,7,8,32,28,6,0,0
"E00033206",151,0,0,6,2,0,0,2,1,1,0,0,0,5,28,3,21,8,1,1,13,7,4,17,21,16,0,0
"E00033207",89,1,0,4,0,0,0,3,1,0,0,0,0,4,15,3,10,2,1,2,3,8,4,7,16,9,0,0
"E00033208",84,0,0,8,0,0,0,5,0,0,3,0,2,2,16,7,12,0,2,0,4,3,2,10,12,4,0,0
"E00033209",74,0,0,3,1,0,0,1,0,1,0,0,0,2,12,4,13,0,0,1,5,6,4,7,10,7,0,0
"E00033210",91,0,0,2,0,0,0,0,0,1,1,0,0,12,17,2,14,2,4,1,2,3,6,6,15,4,1,0
"E00033211",111,1,0,7,2,0,0,3,0,1,1,1,0,4,15,9,15,0,2,1,2,7,9,9,24,5,0,0
"E00033212",85,0,0,4,0,0,0,0,0,0,4,0,0,3,18,2,12,1,0,1,4,4,3,11,13,8,0,1
"E00033213",150,0,0,8,1,0,0,1,1,3,2,0,2,5,31,3,16,6,11,1,9,3,10,18,17,10,0,0
"E00033214",160,0,0,4,1,0,0,1,0,2,0,0,1,8,23,2,20,6,2,3,5,18,6,24,26,12,0,0
"E00033215",113,0,0,2,1,0,0,0,0,1,0,0,0,8,15,9,8,2,2,2,6,5,4,8,30,12,0,0
"E00033216",122,1,0,6,3,0,0,1,0,1,1,0,1,4,8,5,12,7,5,6,12,6,5,18,9,17,0,0
"E00033217",155,0,0,10,1,0,1,2,1,4,1,0,0,3,12,2,19,14,3,0,13,6,8,26,27,12,0,0
"E00033218",157,0,0,1,0,0,0,0,0,0,1,0,0,5,10,2,13,7,7,3,15,6,9,34,28,17,0,0
"E00033219",175,0,0,5,1,1,0,0,1,0,2,0,0,6,20,4,21,6,6,0,9,8,6,31,33,20,0,0
