"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E02001369",7655,339,197,115,332,91,164,186,798,812,1485,1433,509,709,412,51,22,4.42847811887655,2.57348138471587,1.50228608752449,4.3370346178968,1.18876551273677,2.14239059438276,2.42978445460483,10.4245591116917,10.6074461136512,19.3990855649902,18.7197909862835,6.64924885695624,9.26192031352057,5.38210320052253,0.666231221423906,0.287393860222077
"E02001370",6186,363,181,134,397,77,164,144,428,477,1119,1147,409,665,354,95,32,5.86808923375364,2.92596184933721,2.16618170061429,6.41771742644682,1.24474620109926,2.65114775299062,2.3278370514064,6.91884901390236,7.71096023278371,18.0892337536372,18.5418687358552,6.61170384739735,10.7500808276754,5.72259941804074,1.53572583252506,0.517297122534756
"E02001371",7447,621,347,203,536,99,202,206,444,549,1645,1333,314,469,371,80,28,8.33892842755472,4.65959446757083,2.72592990465959,7.19752920639184,1.32939438700148,2.71250167852827,2.76621458305358,5.96213240230965,7.3720961460991,22.0894319860346,17.8998254330603,4.21646300523701,6.29783805559286,4.98187189472271,1.07425809050624,0.375990331677185
"E02001372",6221,289,181,118,366,91,171,178,387,398,1136,1402,356,486,463,130,69,4.64555537694904,2.90950008037293,1.8968011573702,5.88329850506349,1.46278733322617,2.74875421957885,2.86127632213471,6.22086481273107,6.39768525960457,18.260729786208,22.5365696833307,5.72255264426941,7.81224883459251,7.44253335476612,2.0896961903231,1.10914643947918
"E02001373",9253,595,324,186,577,121,249,261,670,726,1929,1856,499,670,476,75,39,6.43034691451421,3.50156705933211,2.01015886739436,6.23581541121798,1.3076839943802,2.69101912893116,2.82070679779531,7.24089484491516,7.84610396628121,20.8472927699125,20.0583594509889,5.39284556360099,7.24089484491516,5.14427753161137,0.810547930400951,0.421484923808495
"E02001374",8199,456,198,124,405,96,172,264,913,907,1972,1526,363,463,261,63,16,5.56165386022686,2.41492864983535,1.51237955848274,4.93962678375412,1.17087449688986,2.09781680692767,3.21990486644713,11.1355043297963,11.0623246737407,24.0517136236126,18.6120258568118,4.4273691913648,5.64703012562508,3.18331503841932,0.768386388583974,0.195145749481644
"E02001375",7195,440,227,149,419,90,179,181,403,534,1409,1427,388,631,499,139,80,6.11535788742182,3.15496872828353,2.07088255733148,5.82348853370396,1.25086865879083,2.48783877692842,2.51563585823489,5.60111188325226,7.42182070882557,19.5830437804031,19.8332175121612,5.39263377345379,8.76997915218902,6.93537178596247,1.93189715079917,1.11188325225851
"E02001376",8469,633,306,193,471,76,200,234,1030,821,1825,1325,384,543,351,51,26,7.47431810131066,3.61317747077577,2.27889951588145,5.56145944031173,0.897390482937773,2.36155390246782,2.76301806588735,12.1620025977093,9.69417876963042,21.5491793600189,15.6452946038493,4.53418349273822,6.41161884520014,4.14452709883103,0.602196245129295,0.307002007320817
"E02001377",11467,361,189,84,284,62,168,1330,4033,1124,1526,1096,344,508,279,59,20,3.14816429754949,1.64820790093311,0.732536844859161,2.47667218976193,0.540681956919857,1.46507368971832,11.5985000436034,35.1704892299642,9.80204063835354,13.3077526816081,9.55786169006715,2.99991279323275,4.43010377605302,2.43306880613936,0.514519926746316,0.174413534490276
"E02001378",7972,485,227,143,428,96,181,199,546,631,1651,1654,492,586,466,121,66,6.08379327646764,2.84746613146011,1.79377822378324,5.3687907676869,1.20421475163071,2.2704465629704,2.49623682890115,6.84897139989965,7.91520321123934,20.7099849473156,20.7476166583041,6.17160060210738,7.35072754641244,5.84545910687406,1.5178123432012,0.827897641746111
"E02001380",7526,425,215,144,445,116,210,170,402,391,1448,1718,528,678,496,89,51,5.64709008769599,2.85676322083444,1.91336699441935,5.91283550358756,1.54132341217114,2.79032686686155,2.25883603507839,5.34148285942068,5.19532288068031,19.2399681105501,22.8275312250864,7.0156789795376,9.00876959872442,6.59048631411108,1.18256710071751,0.677650810523518
"E02001381",9286,629,289,177,450,87,158,299,1431,1117,1979,1386,383,499,327,49,26,6.77363773422356,3.11221193194056,1.90609519707086,4.84600473831574,0.936894249407711,1.70148610811975,3.21990092612535,15.4102950678441,12.0288606504415,21.3116519491708,14.9256945940125,4.12448847727762,5.37368080982124,3.52143010984277,0.527676071505492,0.279991384880465
"E02001382",7098,387,240,154,422,104,188,190,433,398,1377,1657,445,630,352,85,36,5.45224006762468,3.38123415046492,2.16962524654832,5.94533671456748,1.46520146520147,2.64863341786419,2.67681036911806,6.10030994646379,5.60721329952099,19.3998309382925,23.3446041138349,6.26937165398704,8.87573964497041,4.95914342068188,1.19752042828966,0.507185122569738
"E02001383",7501,325,135,87,256,60,100,428,1603,903,1768,993,249,319,207,52,16,4.33275563258232,1.79976003199573,1.15984535395281,3.41287828289561,0.79989334755366,1.3331555792561,5.7059058792161,21.3704839354753,12.0383948806826,23.5701906412478,13.2382349020131,3.31955739234769,4.25276629782696,2.75963204906013,0.693240901213172,0.213304892680976
"E02001384",10762,377,153,101,296,82,135,667,4513,1064,1387,966,261,402,278,44,36,3.50306634454562,1.42166883478907,0.938487270024159,2.75041813789259,0.761940159821594,1.25441367775506,6.19773276342687,41.9345846496934,9.88663817134362,12.8879390447872,8.97602676082513,2.42519977699312,3.73536517375952,2.58316298085858,0.408845939416465,0.334510314068017
"E02001385",8157,841,403,238,589,106,235,248,776,835,1879,1012,232,433,256,49,25,10.310163050141,4.94054186588206,2.91773936496261,7.22079195782763,1.29949736422704,2.88096113767316,3.04033345592742,9.51330145886968,10.2366065955621,23.0354296922888,12.4065220056393,2.84418291038372,5.30832413877651,3.13840872869928,0.600711045727596,0.306485227412039
"E02001386",7545,404,208,158,409,106,210,207,461,430,1357,1542,514,804,552,128,55,5.35453943008615,2.75679257786614,2.09410205434062,5.4208084824387,1.40490390987409,2.78330019880716,2.74353876739563,6.11000662690524,5.69913850231942,17.9854208084824,20.4373757455268,6.81245858184228,10.6560636182903,7.31610337972167,1.69648774022531,0.728959575878065
"E02001387",8025,416,226,152,498,94,225,194,649,462,1448,1791,562,634,490,128,56,5.18380062305296,2.81619937694704,1.89408099688474,6.20560747663551,1.17133956386293,2.80373831775701,2.41744548286604,8.08722741433022,5.75700934579439,18.0436137071651,22.3177570093458,7.00311526479751,7.90031152647975,6.10591900311526,1.59501557632399,0.697819314641745
"E02001388",8860,314,169,126,239,43,150,779,2212,1002,1663,1112,296,387,260,67,41,3.54401805869074,1.90744920993228,1.42212189616253,2.69751693002257,0.485327313769752,1.69300225733634,8.79232505643341,24.9661399548533,11.3092550790068,18.7697516930023,12.5507900677201,3.34085778781038,4.36794582392776,2.93453724604966,0.756207674943567,0.4627539503386
"E02001389",6232,251,106,61,173,34,53,114,677,979,1942,939,278,305,227,55,38,4.02759948652118,1.70089858793325,0.978818998716303,2.77599486521181,0.545571245186136,0.850449293966624,1.82926829268293,10.8632862644416,15.709242618742,31.1617458279846,15.0673940949936,4.46084724005135,4.89409499358151,3.64249037227214,0.882541720154044,0.609756097560976
"E02001390",8756,571,300,211,575,123,236,245,679,710,1798,1655,446,647,441,71,48,6.52124257651896,3.42622201918684,2.40977615349475,6.56692553677478,1.40475102786661,2.69529465509365,2.79808131566926,7.75468250342622,8.10872544540886,20.5344906349931,18.9013248058474,5.09365006852444,7.38921882137963,5.03654636820466,0.810872544540886,0.548195523069895
"E02001391",5970,361,203,127,409,95,179,188,378,367,1131,1121,359,618,344,65,25,6.04690117252931,3.40033500837521,2.12730318257956,6.85092127303183,1.59128978224456,2.99832495812395,3.14907872696817,6.33165829145729,6.14740368509213,18.9447236180905,18.7772194304858,6.01340033500838,10.3517587939699,5.76214405360134,1.08877721943049,0.418760469011725
"E02001392",5717,254,140,76,247,50,107,105,280,264,897,1286,445,778,620,125,43,4.44288962742697,2.4488368025188,1.32936854993878,4.32044778730103,0.874584572328144,1.87161098478223,1.8366276018891,4.89767360503761,4.6178065418926,15.6900472275669,22.4943152002799,7.78380269372048,13.6085359454259,10.844848696869,2.18646143082036,0.752142732202204
"E02001393",7753,317,200,145,450,105,218,514,475,286,1039,1881,652,812,481,121,57,4.08873984264156,2.57964658841739,1.87024377660261,5.80420482393912,1.35431445891913,2.81181478137495,6.62969173223268,6.12666064749129,3.68889462143686,13.4012640268283,24.2615761640655,8.40964787824068,10.4733651489746,6.20405004514382,1.56068618599252,0.735199277698955
"E02001394",10143,365,165,101,242,56,96,1440,1274,980,2142,1436,445,618,496,160,127,3.59854086562161,1.62673765158237,0.995760623089815,2.38588188898748,0.552104899930987,0.946465542738835,14.1969831410825,12.56038647343,9.66183574879227,21.1180124223602,14.1575470768017,4.38726215123731,6.09287193138125,4.89007197081731,1.57744257123139,1.25209504091492
"E02001395",6056,323,183,91,284,57,131,134,385,456,1246,1338,372,503,426,84,43,5.3335535006605,3.0217965653897,1.50264200792602,4.68956406869221,0.941215323645971,2.16314398943197,2.21268163804491,6.35733157199472,7.52972258916777,20.5746367239102,22.0937912813738,6.14266842800528,8.30581241743725,7.03434610303831,1.38705416116248,0.71003963011889
"E02001396",8035,439,203,106,346,80,171,182,828,1001,1874,1354,445,567,353,59,27,5.46359676415681,2.52644679527069,1.31922837585563,4.30616054760423,0.995644057249533,2.12818917237088,2.26509023024269,10.3049159925327,12.4579962663348,23.3229620410703,16.8512756689484,5.53827006845053,7.05662725575607,4.39327940261357,0.734287492221531,0.336029869321717
"E02001397",7631,377,183,130,308,75,147,162,391,478,1405,1697,553,753,705,194,73,4.94037478705281,2.39811296029354,1.70357751277683,4.03616826104049,0.982833180448172,1.92635303367842,2.12291966976805,5.12383698073647,6.26392347005635,18.4117415803958,22.2382387629406,7.24675665050452,9.86764513169965,9.23863189621282,2.54226182675927,0.956624295636221
"E02001398",7758,320,168,111,262,67,111,249,813,888,1772,1406,432,517,443,131,68,4.12477442639856,2.16550657385924,1.430781129157,3.37715906161382,0.863624645527198,1.430781129157,3.20959010054138,10.4795050270688,11.446249033256,22.840938386182,18.1232276359887,5.56844547563805,6.66408868265017,5.7102345965455,1.68857953080691,0.876514565609693
"E02001399",7276,339,195,139,439,89,211,230,501,341,1173,1766,478,726,489,108,52,4.65915338097856,2.68004398020891,1.91039032435404,6.03353490929082,1.22319956019791,2.89994502473887,3.1610775151182,6.88565145684442,4.6866410115448,16.1214953271028,24.2715777899945,6.5695437053326,9.978009895547,6.72072567344695,1.48433205057724,0.714678394722375
"E02001400",6614,275,170,106,403,101,216,198,449,389,1179,1572,394,545,423,122,72,4.15784699123072,2.57030541276081,1.60266102207439,6.09313577260357,1.52706380405201,3.26579981856668,2.99364983368612,6.78863017840943,5.88146356214091,17.8258240096764,23.7677653462353,5.95706078016329,8.24009676443907,6.39552464469307,1.84457211974599,1.08859993952223
"E02001401",7872,362,220,133,384,106,194,186,507,494,1328,1694,515,776,740,166,67,4.59857723577236,2.79471544715447,1.6895325203252,4.8780487804878,1.34654471544715,2.46443089430894,2.36280487804878,6.4405487804878,6.27540650406504,16.869918699187,21.5193089430894,6.54217479674797,9.85772357723577,9.40040650406504,2.10873983739837,0.851117886178862
"E02001402",8384,455,238,137,404,80,191,132,466,632,1757,1809,610,759,501,137,76,5.42700381679389,2.83874045801527,1.63406488549618,4.81870229007634,0.954198473282443,2.27814885496183,1.57442748091603,5.55820610687023,7.5381679389313,20.9565839694656,21.5768129770992,7.27576335877863,9.05295801526718,5.9756679389313,1.63406488549618,0.906488549618321
"E02001403",6035,397,193,121,336,89,150,144,430,606,1397,1109,290,420,263,64,26,6.57829328914664,3.1980115990058,2.0049710024855,5.56752278376139,1.47473073736537,2.48550124275062,2.3860811930406,7.12510356255178,10.0414250207125,23.1483015741508,18.3761391880696,4.8053024026512,6.95940347970174,4.35791217895609,1.06048053024027,0.430820215410108
"E02001404",7260,511,330,163,440,94,185,250,547,575,1451,1453,313,491,351,74,32,7.03856749311295,4.54545454545455,2.24517906336088,6.06060606060606,1.29476584022039,2.54820936639118,3.4435261707989,7.53443526170799,7.92011019283747,19.9862258953168,20.0137741046832,4.31129476584022,6.76308539944904,4.83471074380165,1.01928374655647,0.440771349862259
"E02001405",9609,833,413,258,673,130,286,279,716,821,1755,1754,504,581,439,125,42,8.66895618690811,4.29805390779478,2.68498282859819,7.00385055676969,1.35289832448746,2.97637631387241,2.90352794255386,7.45134769486939,8.54407326464773,18.2641273805807,18.2537204703923,5.245082734936,6.04641481944011,4.56863357269227,1.30086377354563,0.437090227911333
"E02006932",9949,67,28,14,38,7,40,2214,4518,1390,1050,325,93,89,48,20,8,0.673434516031762,0.281435320132677,0.140717660066338,0.381947934465775,0.0703588300331692,0.402050457332395,22.2534928133481,45.411599155694,13.9712533923007,10.5538245049754,3.26665996582571,0.934767313297819,0.894562267564579,0.482460548798874,0.201025228666198,0.080410091466479
"E02006933",5436,185,82,34,133,39,44,99,1117,1143,1245,744,208,229,107,22,5,3.40323767476085,1.50846210448859,0.625459896983076,2.44665194996321,0.717439293598234,0.809418690213392,1.82119205298013,20.5481972038263,21.0264900662252,22.9028697571744,13.6865342163355,3.82634289919058,4.21265636497425,1.96835908756439,0.404709345106696,0.0919793966151582
"E02006934",5202,92,35,14,44,9,19,420,1382,1319,1284,390,98,63,31,2,0,1.76855055747789,0.67281814686659,0.269127258746636,0.845828527489427,0.173010380622837,0.365244136870434,8.07381776239908,26.5667051134179,25.3556324490581,24.6828143021915,7.49711649365629,1.88389081122645,1.21107266435986,0.595924644367551,0.0384467512495194,0
