"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E00033066",223,34,72,16,136,26,3,115,23,141,12,58,29,14
"E00033067",255,35,87,28,136,46,8,108,47,130,18,56,46,20
"E00033068",309,23,112,25,185,35,6,155,31,158,19,69,56,24
"E00033069",228,17,82,20,125,30,6,97,25,112,18,44,41,17
"E00033070",260,62,98,28,136,37,4,93,30,91,6,53,58,5
"E00033071",241,22,78,17,136,24,8,107,16,120,9,71,50,24
"E00033072",288,52,88,17,165,32,12,131,20,121,4,45,38,8
"E00033073",248,40,83,18,122,31,13,98,40,103,18,49,39,20
"E00033074",259,68,87,21,105,38,6,74,30,76,11,40,46,14
"E00033075",247,90,64,22,64,37,7,44,26,49,5,21,46,7
"E00033076",354,132,78,16,118,24,11,92,26,98,8,55,53,9
"E00033077",274,50,102,19,131,39,7,111,36,118,18,61,61,23
"E00033078",304,117,66,23,102,29,6,77,31,92,10,48,35,12
"E00033079",194,38,64,11,94,28,7,67,25,60,12,35,27,4
"E00033080",178,62,46,17,34,43,21,21,22,23,8,20,26,11
"E00033081",198,39,68,15,88,26,7,63,29,71,13,38,33,11
"E00033082",262,36,91,11,159,11,14,101,15,89,10,91,30,12
"E00033083",276,27,85,5,151,21,18,74,25,79,7,68,42,17
"E00033084",263,77,84,22,88,38,14,46,26,41,10,38,31,1
"E00033085",270,78,96,24,84,53,22,39,33,41,11,37,43,4
"E00033086",227,70,65,12,72,30,18,24,19,30,7,33,31,4
"E00033087",314,64,115,34,117,45,11,59,33,58,15,50,37,19
"E00033088",211,66,76,25,58,30,13,30,32,23,8,9,30,8
"E00033089",244,67,99,30,65,41,8,35,27,32,10,25,28,9
"E00033090",316,109,96,33,84,41,17,39,36,41,15,19,36,5
"E00033091",271,62,96,26,107,45,22,45,48,44,10,48,48,3
"E00033092",263,57,104,17,96,45,24,52,35,51,14,43,45,3
"E00033093",311,73,108,39,88,68,26,43,45,37,15,38,45,5
"E00033094",279,81,97,20,80,52,22,28,38,25,14,23,39,5
"E00033095",379,61,127,13,229,27,14,159,30,151,24,122,70,11
"E00033096",220,37,59,7,111,23,17,66,22,67,12,55,30,5
"E00033097",225,74,73,28,50,44,12,26,39,22,13,21,30,1
"E00033098",237,49,83,22,85,38,24,30,40,29,16,32,45,2
"E00033099",150,76,32,5,36,18,8,18,14,9,3,13,19,0
"E00033100",249,101,70,20,38,42,17,16,29,17,5,9,32,5
"E00033101",185,36,66,21,73,34,27,42,26,33,16,38,37,3
"E00033102",356,76,152,40,145,67,20,76,54,77,26,35,60,6
"E00033103",253,105,78,20,51,47,8,23,23,20,7,19,23,2
"E00033104",222,88,62,31,45,37,7,15,24,18,3,21,31,7
"E00033105",256,55,99,21,109,53,24,39,37,35,19,38,53,3
"E00033106",240,89,78,28,46,36,11,15,28,17,11,20,25,3
"E00033107",291,54,113,23,101,46,18,62,34,52,16,43,54,17
"E00033108",259,80,93,27,67,53,12,26,44,26,13,19,25,3
"E00033109",268,57,110,26,95,48,28,49,40,44,12,37,58,4
"E00033110",292,76,104,20,84,57,26,47,39,39,13,33,49,12
"E00033112",255,18,84,15,156,34,15,101,25,87,10,88,47,13
"E00033113",221,45,57,13,106,29,12,73,23,72,24,74,40,7
"E00033114",253,34,87,15,127,32,18,70,26,66,17,68,44,7
"E00033115",129,37,38,6,39,9,5,20,12,26,4,33,17,4
"E00033116",186,88,34,14,45,17,13,16,13,25,4,24,34,2
"E00033117",310,52,88,9,160,29,23,99,27,90,18,93,46,12
"E00033118",284,43,102,25,121,60,28,61,38,48,15,54,47,3
"E00033119",212,34,79,9,107,24,15,73,16,64,12,73,44,5
"E00033120",250,38,93,19,101,41,16,45,26,46,12,35,42,2
"E00033121",193,76,48,7,60,28,16,29,22,24,8,36,30,3
"E00033122",230,51,78,26,81,42,20,39,35,36,12,37,41,0
"E00033123",225,66,64,13,65,30,22,30,29,42,6,49,22,7
"E00033124",253,50,87,14,114,31,14,76,25,73,18,53,37,4
"E00033125",164,64,55,19,32,30,4,17,18,17,5,13,25,7
"E00033126",233,72,63,11,84,38,11,35,24,28,10,27,40,0
"E00033127",456,177,135,35,135,60,22,86,46,85,12,83,62,9
"E00033128",219,70,83,36,47,45,11,20,22,18,5,17,31,5
"E00033129",229,47,77,18,96,40,19,53,30,36,17,39,42,7
"E00033130",301,43,88,15,150,33,24,88,28,72,15,75,52,17
"E00033131",224,87,60,28,46,34,12,16,20,18,7,14,37,11
"E00033132",380,114,138,41,72,63,13,28,38,35,7,25,61,17
"E00033133",284,132,82,28,45,40,4,14,20,13,9,11,26,0
"E00033134",159,67,48,20,19,31,8,6,9,5,0,6,10,0
"E00033135",333,117,117,36,68,58,17,27,41,19,11,18,46,2
"E00033136",171,66,59,19,30,26,7,17,17,9,5,14,25,2
"E00033137",236,110,71,17,24,36,4,5,18,21,1,10,18,5
"E00033138",149,74,33,21,16,18,6,6,12,6,2,6,12,3
"E00033139",230,108,66,20,32,32,14,14,18,14,9,11,25,2
"E00033140",165,53,55,22,37,37,9,14,24,10,6,11,24,1
"E00033141",164,56,53,12,47,25,10,24,14,16,5,11,20,1
"E00033142",214,63,75,27,56,51,10,21,27,11,10,13,22,0
"E00033143",180,60,72,28,33,31,4,11,19,8,2,7,16,3
"E00033144",172,65,55,27,31,34,7,17,15,13,1,10,13,2
"E00033145",224,59,70,36,48,52,8,20,33,16,16,20,44,1
"E00033146",230,73,71,19,55,29,12,20,29,15,8,26,27,4
"E00033147",250,73,97,33,69,44,11,26,38,21,8,17,36,2
"E00033148",200,64,62,21,49,42,13,19,25,15,9,14,25,18
"E00033149",187,69,58,24,39,27,9,20,22,7,6,9,31,4
"E00033150",235,81,96,40,36,50,11,17,22,13,2,16,17,8
"E00033151",201,88,55,25,40,29,7,23,16,15,3,10,22,4
"E00033152",255,80,103,44,58,66,18,33,31,26,10,25,31,12
"E00033153",375,177,109,34,44,59,16,20,24,25,6,22,33,6
"E00033154",139,61,46,14,14,19,2,6,7,8,1,10,11,12
"E00033155",216,73,70,31,39,42,8,17,24,15,3,11,24,3
"E00033156",201,89,57,22,33,29,7,12,21,10,6,15,20,2
"E00033157",242,70,76,27,59,45,10,33,33,15,10,10,35,14
"E00033158",218,69,73,34,61,56,7,31,24,16,8,10,32,11
"E00033159",127,44,35,17,26,22,6,7,11,13,4,8,17,4
"E00033160",277,83,98,26,63,44,11,35,29,20,10,13,41,14
"E00033161",249,104,78,25,54,30,12,15,24,22,5,20,31,8
"E00033162",219,77,67,34,42,43,8,23,21,13,3,7,25,13
"E00033163",238,74,62,34,43,38,2,18,15,16,3,10,30,27
"E00033164",282,64,118,43,70,57,11,34,37,27,8,20,49,1
"E00033165",149,93,33,15,18,21,6,7,8,4,2,4,18,1
"E00033166",148,81,29,12,16,19,8,9,5,4,2,6,13,0
"E00033167",243,76,90,30,54,46,23,20,38,16,6,11,26,2
"E00033168",238,93,60,29,53,35,12,24,28,17,8,21,39,0
"E00033169",257,73,84,25,67,39,26,18,29,18,13,14,29,4
"E00033170",298,83,138,44,75,59,25,20,34,25,18,17,40,1
"E00033171",284,72,104,20,75,53,24,21,43,18,12,12,45,1
"E00033172",224,120,56,24,30,30,13,16,17,14,5,10,21,2
"E00033173",274,73,105,38,58,69,22,25,41,20,7,22,40,0
"E00033174",219,84,67,22,33,50,7,13,25,10,1,6,24,3
"E00033175",218,80,68,21,48,36,12,16,22,11,6,13,34,0
"E00033176",195,74,50,25,44,29,9,19,20,13,7,12,21,4
"E00033177",238,61,91,24,51,44,12,20,32,21,6,22,42,2
"E00033178",150,53,44,15,33,19,6,16,21,12,8,14,21,6
"E00033179",252,87,68,34,68,49,16,21,22,16,2,9,37,3
"E00033181",382,31,148,22,247,33,7,226,23,110,13,49,51,29
"E00033182",329,55,110,18,160,37,5,123,30,88,12,47,41,37
"E00033183",558,42,225,41,379,55,13,357,44,115,12,56,50,38
"E00033185",303,21,98,15,203,37,7,181,27,83,9,31,52,15
"E00033186",291,21,116,17,192,27,4,172,18,75,13,28,37,6
"E00033187",212,23,76,19,114,39,2,100,19,103,14,46,45,28
"E00033188",295,56,110,26,169,43,10,139,27,66,7,30,36,9
"E00033189",390,145,107,35,73,47,6,51,35,40,10,15,39,24
"E00033190",386,129,93,39,58,47,8,42,30,60,6,26,29,74
"E00033191",421,31,185,28,291,42,8,276,23,79,4,22,51,21
"E00033192",404,24,165,15,289,28,2,290,25,65,5,18,29,17
"E00033193",296,29,118,11,188,26,5,181,15,91,8,40,41,7
"E00033194",317,26,123,19,208,35,8,180,24,102,13,42,51,17
"E00033195",225,26,87,13,141,27,3,103,15,88,8,45,29,4
"E00033196",272,98,71,14,123,27,5,94,11,80,8,44,33,9
"E00033197",356,153,90,20,99,43,7,70,34,86,11,54,44,13
"E00033198",355,16,130,18,250,30,6,230,26,103,14,61,52,23
"E00033199",179,95,32,12,29,13,4,16,13,18,9,19,24,5
"E00033200",252,72,65,15,101,18,6,84,16,48,3,29,30,18
"E00033201",213,22,70,14,153,19,2,128,26,81,7,38,29,6
"E00033202",285,27,101,6,208,21,4,183,15,87,3,31,40,13
"E00033203",213,31,59,11,125,34,7,93,22,67,12,25,37,2
"E00033204",228,18,87,21,155,32,7,124,20,93,13,33,38,7
"E00033206",536,39,191,21,377,35,7,375,20,74,7,36,55,28
"E00033207",238,109,51,17,45,19,1,25,16,20,3,15,14,32
"E00033208",202,79,45,19,34,19,1,13,13,28,2,18,16,34
"E00033209",273,118,58,21,41,30,10,25,20,33,11,11,25,23
"E00033210",223,52,71,28,68,30,5,42,25,29,13,20,27,33
"E00033211",269,83,72,26,50,34,7,30,34,40,6,15,30,25
"E00033212",218,83,60,30,36,36,4,17,18,23,7,10,25,16
"E00033213",376,36,134,19,255,36,10,230,27,72,14,27,39,17
"E00033214",390,92,103,33,112,51,5,75,29,92,9,35,33,82
"E00033215",245,62,66,30,48,45,7,30,20,54,11,30,29,41
"E00033216",213,19,88,35,99,39,6,85,29,83,13,34,43,19
"E00033217",257,17,103,19,138,39,8,120,31,121,15,53,44,24
"E00033218",239,18,91,14,160,26,6,125,24,122,8,82,42,23
"E00033219",351,52,132,20,203,35,8,179,31,130,16,57,53,32
"E00033220",371,33,142,25,270,30,4,241,31,77,6,25,47,15
"E00033221",236,46,81,19,96,37,3,75,27,70,9,21,35,20
"E00033222",162,79,29,11,30,18,6,15,8,22,1,13,17,4
"E00033223",230,30,70,19,99,40,2,69,18,68,10,23,48,48
"E00033224",249,144,57,20,37,26,8,16,20,15,2,6,17,4
"E00033225",229,94,72,36,37,43,10,11,20,14,3,9,22,15
"E00033226",324,149,84,33,44,46,13,17,16,8,4,11,29,3
"E00033227",225,114,44,22,32,27,6,5,19,5,6,6,15,6
"E00033228",286,136,50,30,36,48,11,15,20,13,4,15,29,12
"E00033229",255,110,77,26,39,41,21,14,31,16,6,15,42,7
"E00033230",241,105,58,33,40,40,8,10,22,14,11,6,30,4
"E00033231",164,70,59,23,24,21,10,11,14,7,3,5,16,1
"E00033235",188,84,55,26,24,29,5,8,9,6,3,10,31,5
"E00033237",230,124,56,17,31,33,3,9,16,6,5,4,21,5
"E00033238",377,176,88,31,52,57,7,20,27,18,6,11,35,13
"E00033242",206,113,47,25,30,25,4,15,17,10,3,10,25,6
"E00033245",265,141,57,25,25,41,10,13,14,8,3,6,26,7
"E00033246",213,78,61,18,52,38,7,20,25,11,8,9,28,8
"E00033247",258,98,82,41,43,55,6,16,29,15,6,8,34,13
"E00033248",278,141,72,33,39,36,12,11,14,13,1,5,35,5
"E00033249",213,97,55,18,28,28,6,8,18,4,3,6,16,10
"E00033250",177,101,40,14,19,20,5,4,13,4,1,1,13,2
"E00033251",165,74,34,18,34,34,6,14,9,13,1,7,26,8
"E00033252",270,153,63,21,21,28,12,7,11,11,4,5,15,13
"E00033253",197,94,43,23,23,37,8,9,11,4,4,9,18,10
"E00033254",295,144,78,32,46,44,12,18,34,14,6,15,24,5
"E00033255",228,119,39,23,29,30,4,19,12,17,9,16,20,8
"E00033256",182,87,54,21,26,30,15,9,21,7,5,8,20,2
"E00033257",276,133,58,25,37,28,12,19,28,24,8,23,23,14
"E00033258",265,155,55,26,21,30,5,9,15,7,3,10,25,6
"E00033259",112,51,24,14,23,22,5,6,12,8,1,2,12,0
"E00033260",205,89,56,26,30,31,10,6,9,6,3,10,29,1
"E00033261",204,84,50,26,39,41,8,8,16,12,3,2,24,7
"E00033262",132,61,37,17,21,21,5,10,10,7,3,5,17,3
"E00033263",126,54,35,23,20,25,1,7,11,6,1,5,16,7
"E00033264",220,124,46,16,29,34,7,8,11,7,3,8,17,1
"E00033265",248,103,68,39,43,44,15,19,20,15,1,16,42,2
"E00033266",274,108,81,16,55,41,18,18,25,18,13,17,31,6
"E00033267",207,95,52,14,37,29,9,16,22,15,4,18,27,8
"E00033268",252,72,80,19,79,19,13,43,29,41,6,37,43,3
"E00033269",221,92,41,15,57,24,4,28,16,18,10,32,28,6
"E00033270",277,65,107,28,86,44,17,43,39,34,18,27,47,8
"E00033271",318,62,118,36,124,63,33,61,50,41,20,51,58,5
"E00033272",251,61,96,27,63,46,21,27,26,31,14,39,41,7
"E00033274",206,74,62,19,38,47,7,11,26,13,6,20,31,4
"E00033275",245,91,81,24,43,35,13,22,35,15,9,19,32,0
"E00033276",184,50,52,18,48,48,9,21,22,15,3,16,32,3
"E00033277",177,74,49,18,25,39,7,7,24,13,2,6,22,2
"E00033278",180,58,61,22,43,26,8,23,18,22,3,23,22,12
"E00033279",215,76,71,27,43,45,7,16,29,11,7,11,17,5
"E00033281",245,63,85,30,87,48,10,43,28,38,6,33,40,8
"E00033282",250,77,104,28,41,39,17,27,25,27,6,18,21,6
"E00033283",242,101,80,33,49,46,14,11,29,8,9,14,35,1
"E00033284",221,104,66,36,24,38,14,10,26,10,4,9,19,6
"E00033285",242,76,91,20,55,42,17,26,30,19,9,30,33,5
"E00033286",192,116,35,13,30,22,8,16,8,14,3,10,18,0
"E00033287",230,41,100,36,68,48,16,21,30,30,12,30,36,11
"E00033288",254,48,106,37,98,59,23,41,40,35,9,40,40,5
"E00033289",201,39,81,24,72,45,8,31,29,23,11,25,27,5
"E00033290",310,116,87,20,91,42,14,36,28,27,25,58,34,2
"E00033291",364,79,129,43,112,90,24,48,59,47,19,53,51,9
"E00033292",176,32,62,25,48,41,14,24,26,20,4,21,39,3
"E00033293",255,83,75,23,62,45,9,25,30,22,9,26,23,13
"E00033294",194,63,58,24,49,36,6,23,22,21,7,12,37,2
"E00033295",223,44,78,17,100,32,18,55,28,41,12,50,20,2
"E00033296",235,69,79,21,65,40,21,31,32,31,4,26,39,3
"E00033297",272,118,63,39,51,51,12,23,34,17,10,13,34,3
"E00033298",286,129,72,25,42,36,12,14,20,19,8,16,39,0
"E00033299",255,94,78,18,62,48,11,31,35,27,11,29,31,3
"E00033300",206,84,65,16,41,33,7,15,12,19,3,13,23,0
"E00033301",225,89,63,24,49,44,12,25,21,17,8,14,25,4
"E00033302",180,81,44,15,27,33,10,8,15,8,4,12,9,3
"E00033304",240,98,65,21,54,41,14,22,25,15,6,11,42,1
"E00033305",225,99,64,25,39,37,6,19,27,12,7,13,31,1
"E00033306",231,93,71,26,43,50,12,15,27,11,9,8,28,1
"E00033307",224,93,64,37,30,47,8,11,26,14,9,15,31,3
"E00033308",228,77,68,31,57,48,16,26,32,24,9,23,38,5
"E00033309",240,100,76,39,40,48,11,13,28,7,3,9,33,4
"E00033310",238,96,64,28,31,41,10,7,26,6,5,11,33,4
"E00033312",236,93,66,25,37,40,15,13,21,15,9,17,35,2
"E00033313",265,106,74,34,35,59,16,20,41,10,13,15,39,9
"E00033314",256,93,80,35,65,35,16,22,33,26,11,30,34,11
"E00033315",285,107,77,30,50,48,10,17,28,15,8,11,29,5
"E00033316",264,65,99,16,79,55,12,46,24,41,10,38,47,3
"E00033317",307,62,104,25,102,56,30,44,47,46,12,39,60,5
"E00033318",296,114,87,35,74,55,13,32,32,19,12,18,51,6
"E00033319",341,58,120,22,161,54,23,86,43,93,22,79,61,9
"E00033320",257,73,80,19,93,46,16,45,41,41,18,47,39,3
"E00033322",253,53,70,18,110,34,14,50,32,51,13,41,52,15
"E00033323",241,29,87,15,121,26,11,71,26,71,17,73,39,5
"E00033324",246,23,84,12,131,32,16,81,29,81,19,69,48,8
"E00033326",235,29,81,13,134,26,16,68,24,68,20,66,45,3
"E00033327",245,57,88,18,69,49,12,29,33,28,17,29,59,0
"E00033328",224,90,61,17,46,28,10,10,24,15,9,19,31,8
"E00033329",272,66,90,21,97,40,23,53,36,52,19,44,48,3
"E00033330",263,62,77,22,97,37,25,49,37,47,16,37,33,1
"E00033331",270,72,93,21,83,37,16,37,33,43,15,40,39,3
"E00033332",256,26,102,21,116,36,15,60,37,58,16,56,44,11
"E00033333",258,44,83,19,105,41,21,48,28,54,11,59,49,14
"E00033334",236,48,77,21,97,30,18,44,27,46,9,35,43,3
"E00033335",220,34,78,9,99,37,10,50,19,45,14,43,38,4
"E00033336",259,51,91,20,107,34,19,55,38,55,11,57,45,5
"E00033337",168,30,50,5,82,20,9,48,19,42,9,32,26,4
"E00033338",210,28,64,6,112,14,13,72,19,75,13,63,39,5
"E00033339",283,46,89,19,125,38,25,65,35,63,18,70,40,4
"E00033340",240,35,101,20,105,34,17,71,24,63,12,53,43,3
"E00033341",248,25,83,16,125,35,27,75,35,64,14,64,49,4
"E00033342",267,44,92,16,131,35,15,70,31,68,17,70,51,4
"E00033343",214,16,81,15,118,33,13,65,22,68,18,52,49,7
"E00033344",271,35,91,19,124,45,18,70,34,64,20,57,52,7
"E00033345",315,38,109,17,205,33,23,123,38,100,17,97,58,4
"E00033346",238,44,82,24,111,40,12,68,30,50,15,45,43,9
"E00033347",255,35,99,19,120,32,17,58,33,62,16,64,47,6
"E00033348",236,34,73,10,125,28,9,71,14,64,11,68,36,2
"E00033349",228,74,75,22,59,43,19,30,39,30,10,29,37,0
"E00033350",257,48,103,14,85,43,19,32,40,35,12,50,45,2
"E00033351",244,100,74,24,32,40,9,15,26,17,4,8,38,2
"E00033352",204,42,75,25,69,42,19,34,37,23,5,19,33,0
"E00033353",213,40,76,28,71,37,18,39,34,28,11,27,38,5
"E00033354",196,84,58,29,31,23,6,19,16,12,10,11,17,4
"E00033355",224,32,82,28,94,35,17,44,39,31,8,28,51,1
"E00033356",288,91,104,41,62,53,23,26,31,25,16,23,42,9
"E00033357",230,83,79,31,47,48,13,28,26,23,9,17,27,3
"E00033358",176,75,45,11,25,21,8,11,13,10,3,9,13,19
"E00033359",272,67,96,20,102,44,15,48,33,56,14,42,41,8
"E00033360",297,74,78,23,110,38,13,59,26,57,8,62,46,2
"E00033361",342,65,137,27,123,63,30,69,51,62,22,65,62,3
"E00033362",216,37,81,29,94,38,13,59,30,49,13,44,38,6
"E00033363",162,28,69,15,76,39,13,32,37,33,10,27,41,0
"E00033364",295,53,100,18,119,49,26,59,39,54,14,53,54,3
"E00033365",360,38,143,39,164,67,24,79,58,84,32,76,68,7
"E00033366",235,43,79,25,88,30,10,56,24,52,10,58,55,4
"E00033367",283,26,114,30,160,37,8,135,31,99,18,54,53,14
"E00033368",226,48,78,12,96,35,7,59,20,54,7,43,38,11
"E00033369",296,25,113,13,176,44,19,117,34,121,15,100,66,7
"E00033370",237,59,69,11,95,40,9,56,24,63,12,40,34,12
"E00033371",257,48,82,17,125,35,18,86,24,79,20,58,41,5
"E00033372",234,47,80,24,75,38,13,42,33,49,11,36,49,13
"E00033373",380,90,124,20,122,65,26,61,42,64,14,60,56,11
"E00033374",234,43,79,18,101,42,13,67,34,68,15,53,50,2
"E00033375",316,52,89,14,176,24,8,108,17,126,12,119,53,12
"E00033376",245,43,77,10,121,17,13,71,19,79,14,66,37,12
"E00033377",265,30,93,14,142,40,19,86,29,96,12,71,56,11
"E00033378",274,33,94,11,154,35,15,106,26,99,14,87,52,9
"E00033379",221,38,77,18,108,36,6,73,24,76,14,53,49,4
"E00033380",214,40,79,18,96,30,15,55,22,57,7,39,24,3
"E00033381",189,48,52,3,66,11,3,40,11,52,6,48,22,4
"E00033382",276,46,107,19,126,30,16,78,27,69,13,57,44,1
"E00033383",230,54,77,11,94,40,11,59,25,55,15,44,40,6
"E00033384",296,45,90,21,149,36,20,91,40,81,14,64,56,5
"E00033385",278,50,84,14,141,39,8,93,32,96,19,69,60,8
"E00033386",288,63,91,20,106,50,9,63,29,63,15,48,58,8
"E00033387",199,39,61,17,90,31,3,57,21,62,5,36,37,13
"E00033388",253,92,66,25,56,53,12,44,27,39,3,25,25,8
"E00033389",234,54,82,29,87,33,11,39,31,40,10,40,43,4
"E00033391",291,89,102,43,89,53,10,69,35,46,8,36,36,16
"E00033392",249,43,98,28,101,49,18,60,44,62,13,32,44,12
"E00033394",252,41,113,21,115,32,12,93,27,84,15,52,52,19
"E00033395",313,59,94,29,137,52,12,100,40,110,9,49,42,23
"E00033396",254,60,95,20,94,30,11,52,27,48,13,54,49,6
"E00033397",249,33,102,17,98,46,14,53,35,65,14,45,39,12
"E00033399",274,56,87,23,89,64,28,56,36,62,12,38,45,7
"E00033400",245,39,97,11,109,33,13,61,32,67,16,55,45,1
"E00033401",212,30,81,21,86,39,14,48,27,44,13,39,52,4
"E00033402",309,34,124,19,187,38,9,158,37,105,12,45,45,12
"E00033403",309,62,92,24,136,43,23,86,34,61,12,53,48,11
"E00033404",295,42,108,20,155,39,8,112,30,111,17,76,47,12
"E00033405",254,41,81,18,137,32,16,85,35,75,11,64,51,6
"E00033406",260,36,84,17,132,28,13,84,27,91,11,69,46,8
"E00033407",293,30,123,22,162,39,8,144,29,109,16,49,53,13
"E00033408",294,37,101,18,160,35,9,124,36,82,16,47,39,14
"E00033409",275,59,83,12,126,21,10,73,17,69,9,89,39,11
"E00033410",259,30,91,24,149,37,7,102,38,86,17,44,40,7
"E00033411",279,22,97,8,164,31,17,112,26,103,12,102,41,7
"E00033412",301,40,124,30,142,39,13,103,43,90,15,48,48,24
"E00033413",212,39,70,25,93,33,5,66,22,56,8,35,40,10
"E00033414",272,27,80,14,161,27,9,125,19,101,8,61,35,21
"E00033415",221,15,96,7,146,18,9,114,21,107,11,85,37,5
"E00033416",308,24,114,22,203,37,7,163,33,134,20,73,41,21
"E00033417",294,27,115,17,176,33,8,133,32,127,8,81,60,17
"E00033418",347,31,123,15,209,35,25,141,31,121,17,120,58,7
"E00033419",277,29,88,13,183,25,8,112,22,117,14,103,36,11
"E00033420",349,40,131,29,214,41,8,163,41,128,16,77,53,9
"E00033421",258,31,108,16,139,16,8,113,23,88,9,65,47,9
"E00033422",390,37,118,20,206,38,20,129,36,135,18,119,75,17
"E00033423",275,17,108,21,192,33,13,155,27,130,15,85,51,18
