"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E00033002",194,28,16,12,42,31,6,1,4,0,84,58,10,2,8,6,20,9,8,3,13,5,7,1,7,6,1
"E00033004",240,22,18,4,54,51,3,0,0,0,115,95,6,7,3,4,30,11,19,0,13,7,6,0,6,2,4
"E00033005",282,41,18,23,43,30,9,2,1,1,104,67,9,13,7,8,34,16,15,3,33,10,22,1,27,19,8
"E00033006",230,36,17,19,40,20,15,3,1,1,66,42,2,4,11,7,38,10,23,5,19,5,13,1,31,10,21
"E00033007",251,37,15,22,33,18,8,4,3,0,80,44,15,7,4,10,44,18,21,5,34,14,19,1,23,18,5
"E00033008",249,46,14,32,42,16,18,4,4,0,93,49,9,13,15,7,40,13,23,4,19,12,7,0,9,2,7
"E00033012",143,13,12,1,26,24,2,0,0,0,44,37,3,0,2,2,40,16,23,1,15,4,11,0,5,2,3
"E00033013",175,36,27,9,48,35,9,2,1,1,56,36,10,3,4,3,20,9,9,2,8,6,2,0,7,7,0
"E00033015",187,46,43,3,87,75,12,0,0,0,38,27,9,0,0,2,11,5,6,0,2,2,0,0,3,3,0
"E00033016",355,135,117,18,111,67,40,4,0,0,75,36,21,12,5,1,25,12,11,2,3,1,1,1,6,5,1
"E00033018",136,84,83,1,37,34,2,1,0,0,11,11,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0
"E00033019",322,96,89,7,87,76,8,2,1,0,97,85,5,1,6,0,22,16,6,0,14,4,9,1,6,4,2
"E00033020",227,104,104,0,59,58,1,0,0,0,44,38,3,3,0,0,15,13,2,0,3,2,0,1,2,0,2
"E00033021",220,36,21,15,67,46,18,3,0,0,51,36,5,5,2,3,32,17,12,3,12,5,7,0,22,10,12
"E00033023",275,85,81,4,41,34,6,0,1,0,63,43,5,2,13,0,34,22,12,0,34,18,14,2,18,15,3
"E00033024",157,16,11,5,31,21,5,3,2,0,48,39,2,1,3,3,33,15,16,2,14,5,9,0,15,9,6
"E00033025",228,20,13,7,58,46,9,2,1,0,87,53,16,12,6,0,25,9,14,2,21,7,14,0,17,7,10
"E00033026",174,17,11,6,20,11,8,0,1,0,69,28,18,16,5,2,24,5,15,4,25,4,19,2,19,9,10
"E00033027",335,67,55,12,105,94,9,1,0,1,68,47,7,4,7,3,38,6,28,4,23,11,12,0,34,25,9
"E00033029",209,15,14,1,60,49,10,1,0,0,72,49,7,12,4,0,29,4,25,0,18,3,14,1,15,6,9
"E00033030",207,34,9,25,19,15,3,1,0,0,62,16,8,14,13,11,33,4,23,6,32,4,27,1,27,6,21
"E00033031",265,57,39,18,41,29,6,2,3,1,102,48,10,16,15,13,27,4,22,1,23,10,10,3,15,6,9
"E00033032",334,50,49,1,146,139,6,0,1,0,86,76,7,1,2,0,25,15,9,1,14,9,5,0,13,10,3
"E00033033",270,25,22,3,142,131,11,0,0,0,81,67,3,6,2,3,13,9,4,0,5,5,0,0,4,4,0
"E00033034",297,40,37,3,136,127,7,2,0,0,96,84,5,5,0,2,15,9,6,0,9,4,5,0,1,1,0
"E00033035",290,29,20,9,94,82,8,3,1,0,85,59,17,2,3,4,42,14,26,2,19,6,11,2,21,6,15
"E00033036",175,11,11,0,70,64,4,2,0,0,60,48,4,3,5,0,24,14,8,2,4,4,0,0,6,2,4
"E00033037",247,11,6,5,42,34,8,0,0,0,73,38,18,9,5,3,41,10,29,2,40,10,30,0,40,15,25
"E00033038",151,18,13,5,71,66,2,3,0,0,43,38,1,2,2,0,16,9,7,0,1,0,1,0,2,1,1
"E00033040",233,37,28,9,71,56,15,0,0,0,70,50,11,4,3,2,19,11,8,0,19,7,11,1,17,8,9
"E00033041",210,25,8,17,22,11,9,0,2,0,77,27,13,15,17,5,39,0,31,8,18,8,10,0,29,17,12
"E00033042",214,39,22,17,21,15,5,0,1,0,63,29,12,8,12,2,42,3,33,6,25,5,20,0,24,9,15
"E00033043",215,23,15,8,52,36,16,0,0,0,75,43,12,5,11,4,26,5,18,3,21,5,15,1,18,5,13
"E00033044",208,28,13,15,33,26,5,0,1,1,61,23,12,8,9,9,36,6,28,2,22,2,19,1,28,8,20
"E00033045",190,21,9,12,20,16,3,0,1,0,57,38,4,3,11,1,23,7,15,1,38,17,21,0,31,25,6
"E00033046",175,7,7,0,20,15,5,0,0,0,16,15,1,0,0,0,26,10,16,0,34,12,22,0,72,39,33
"E00033047",231,27,12,15,22,13,7,2,0,0,87,31,21,17,11,7,40,4,36,0,28,2,24,2,27,8,19
"E00033048",213,24,4,20,19,10,5,2,2,0,68,23,13,13,11,8,47,0,40,7,37,6,30,1,18,12,6
"E00033049",298,47,25,22,103,68,29,3,2,1,97,43,22,18,8,6,29,5,23,1,12,3,8,1,10,4,6
"E00033050",199,29,18,11,32,27,5,0,0,0,66,32,13,8,12,1,38,2,32,4,15,0,15,0,19,9,10
"E00033051",285,35,30,5,105,102,3,0,0,0,74,56,1,7,9,1,40,14,24,2,18,3,15,0,13,3,10
"E00033052",341,104,91,13,98,82,15,1,0,0,82,54,7,10,5,6,20,4,12,4,17,6,11,0,20,8,12
"E00033053",231,57,46,11,58,47,9,0,0,2,72,30,14,10,11,7,21,6,12,3,11,2,9,0,12,8,4
"E00033054",132,16,6,10,23,15,5,3,0,0,45,25,5,7,5,3,19,7,8,4,15,4,10,1,14,4,10
"E00033055",194,18,10,8,46,32,12,2,0,0,82,38,21,13,2,8,32,10,21,1,12,3,9,0,4,3,1
"E00033056",224,15,13,2,52,36,15,1,0,0,100,53,18,16,13,0,19,6,13,0,20,3,17,0,18,7,11
"E00033057",238,33,21,12,55,32,22,1,0,0,77,27,15,18,13,4,29,7,19,3,24,5,17,2,20,9,11
"E00033059",250,15,9,6,18,13,5,0,0,0,87,39,11,21,15,1,39,7,25,7,37,12,25,0,54,30,24
"E00033060",182,15,10,5,12,10,1,1,0,0,46,21,7,7,11,0,33,6,27,0,34,10,24,0,42,22,20
"E00033061",192,35,16,19,15,5,8,0,2,0,68,22,11,13,13,9,30,7,20,3,21,4,17,0,23,11,12
"E00033062",220,27,8,19,16,12,4,0,0,0,76,23,19,14,9,11,43,4,36,3,29,6,22,1,29,14,15
"E00033063",218,18,5,13,20,16,2,2,0,0,77,33,11,16,14,3,57,6,47,4,31,4,26,1,15,5,10
"E00033064",189,22,7,15,15,5,10,0,0,0,89,32,15,15,13,14,33,10,19,4,14,3,11,0,16,2,14
"E00033065",236,28,12,16,31,23,8,0,0,0,96,33,13,29,8,13,41,7,31,3,17,5,12,0,23,12,11
"E00033066",223,22,16,6,92,82,9,0,1,0,61,50,3,2,4,2,25,19,3,3,14,7,6,1,9,6,3
"E00033067",255,16,10,6,125,119,4,0,2,0,69,50,8,4,5,2,19,12,6,1,13,9,4,0,13,8,5
"E00033068",309,48,44,4,133,125,7,1,0,0,95,81,6,6,1,1,21,14,6,1,8,4,2,2,4,3,1
"E00033069",228,16,13,3,107,97,10,0,0,0,72,61,7,1,3,0,16,12,4,0,11,7,4,0,6,5,1
"E00033070",244,22,14,8,83,79,4,0,0,0,102,87,2,7,3,3,15,10,4,1,14,8,6,0,8,7,1
"E00033071",230,25,22,3,76,67,8,1,0,0,90,68,9,5,6,2,19,4,13,2,14,3,11,0,6,3,3
"E00033072",259,58,52,6,103,100,2,1,0,0,72,61,6,4,0,1,19,11,6,2,4,3,1,0,3,1,2
"E00033073",248,30,25,5,101,99,1,0,1,0,55,51,2,0,2,0,26,20,5,1,13,10,2,1,23,22,1
"E00033074",243,24,14,10,84,70,6,7,0,1,97,70,7,9,7,4,25,15,8,2,7,7,0,0,6,6,0
"E00033075",230,13,12,1,52,48,3,1,0,0,69,62,3,4,0,0,40,37,3,0,25,23,2,0,31,29,2
"E00033076",259,14,8,6,45,41,2,1,1,0,92,47,16,9,19,1,39,11,27,1,41,7,30,4,28,16,12
"E00033077",274,33,28,5,99,90,6,0,3,0,73,58,0,8,7,0,30,17,12,1,11,6,5,0,28,23,5
"E00033078",247,18,12,6,66,55,8,3,0,0,78,58,12,2,5,1,39,19,19,1,26,11,15,0,20,6,14
"E00033079",194,21,17,4,59,52,7,0,0,0,56,30,9,11,4,2,33,12,20,1,16,11,5,0,9,4,5
"E00033080",178,11,10,1,41,33,5,2,1,0,68,61,3,0,4,0,14,8,6,0,14,8,5,1,30,24,6
"E00033081",198,12,7,5,55,46,9,0,0,0,82,56,8,8,5,5,17,7,10,0,13,10,3,0,19,5,14
"E00033082",262,35,13,22,14,11,2,0,0,1,89,31,8,17,22,11,62,7,49,6,34,5,29,0,28,8,20
"E00033083",276,42,14,28,22,17,3,2,0,0,108,40,12,18,24,14,60,4,51,5,40,5,35,0,4,1,3
"E00033084",263,33,21,12,17,12,5,0,0,0,99,40,18,23,15,3,44,16,28,0,29,13,16,0,41,15,26
"E00033085",270,29,16,13,33,15,17,0,1,0,76,40,8,12,14,2,72,16,49,7,32,8,23,1,28,13,15
"E00033086",227,19,7,12,20,12,5,1,0,2,55,25,4,9,5,12,32,2,27,3,47,9,38,0,54,20,34
"E00033087",314,61,21,40,35,20,9,5,0,1,135,42,15,34,27,17,45,10,28,7,21,1,17,3,17,6,11
"E00033088",211,32,19,13,30,21,6,1,0,2,68,35,9,4,11,9,27,1,24,2,25,2,23,0,29,16,13
"E00033089",244,39,13,26,29,15,14,0,0,0,102,46,18,12,17,9,29,8,18,3,24,10,11,3,21,13,8
"E00033090",316,48,22,26,47,24,18,3,0,2,118,63,15,21,13,6,45,2,37,6,29,4,22,3,29,9,20
"E00033091",271,41,9,32,33,30,3,0,0,0,91,37,8,7,19,20,49,7,36,6,34,5,28,1,23,11,12
"E00033092",263,33,13,20,27,15,11,1,0,0,84,37,5,21,12,9,44,6,35,3,35,5,30,0,40,14,26
"E00033093",311,45,26,19,37,21,9,4,1,2,130,62,12,23,19,14,40,7,31,2,27,8,19,0,32,14,18
"E00033094",279,27,13,14,39,22,13,2,2,0,89,43,8,19,15,4,48,7,35,6,44,9,35,0,32,9,23
"E00033095",350,47,18,29,43,38,2,2,1,0,116,51,10,17,29,9,76,6,57,13,39,6,31,2,29,11,18
"E00033096",217,15,9,6,18,6,11,0,1,0,62,26,12,11,11,2,36,4,28,4,40,5,35,0,46,16,30
"E00033097",225,49,16,33,20,12,6,2,0,0,84,43,7,12,9,13,25,3,19,3,20,5,13,2,27,8,19
"E00033098",234,24,16,8,25,19,4,2,0,0,72,37,10,15,7,3,38,5,31,2,41,4,37,0,34,10,24
"E00033099",150,16,7,9,5,3,2,0,0,0,27,11,6,4,3,3,19,2,14,3,23,12,11,0,60,43,17
"E00033100",249,28,11,17,29,17,5,5,0,2,79,44,10,11,10,4,46,9,35,2,34,12,21,1,33,15,18
"E00033101",185,22,17,5,10,8,2,0,0,0,63,36,14,9,0,4,27,7,19,1,31,7,24,0,32,15,17
"E00033102",356,63,28,35,70,44,21,4,1,0,129,73,19,10,22,5,50,13,33,4,24,8,15,1,20,8,12
"E00033103",253,43,11,32,27,17,5,3,0,2,97,49,9,9,20,10,31,3,26,2,30,4,24,2,25,13,12
"E00033104",222,42,8,34,18,8,3,7,0,0,86,42,8,13,12,11,26,7,15,4,23,5,16,2,27,9,18
"E00033105",256,28,12,16,24,18,4,1,1,0,85,33,5,24,16,7,44,2,37,5,38,4,31,3,37,19,18
"E00033106",240,31,10,21,33,19,11,2,0,1,87,51,6,12,12,6,36,9,24,3,26,7,17,2,27,9,18
"E00033107",291,55,23,32,34,21,9,2,2,0,107,52,14,19,11,11,54,7,38,9,25,4,19,2,16,4,12
"E00033108",259,46,13,33,46,20,9,2,9,6,98,41,7,11,24,15,25,2,19,4,15,3,11,1,29,10,19
"E00033109",268,32,12,20,33,18,11,4,0,0,95,37,14,21,14,9,44,2,41,1,36,4,29,3,28,13,15
"E00033110",292,48,28,20,46,33,8,4,1,0,85,44,4,10,26,1,45,3,41,1,37,3,34,0,31,9,22
"E00033112",255,30,12,18,30,19,10,1,0,0,83,26,18,10,21,8,65,3,56,6,28,4,22,2,19,9,10
"E00033113",221,18,5,13,21,17,4,0,0,0,56,24,7,4,14,7,73,6,61,6,26,6,20,0,27,12,15
"E00033114",248,27,8,19,19,9,6,2,0,2,88,28,9,22,15,14,52,7,40,5,45,3,38,4,17,2,15
"E00033115",129,5,1,4,8,7,0,0,0,1,40,32,4,0,1,3,22,13,6,3,27,14,13,0,27,12,15
"E00033116",133,3,3,0,2,2,0,0,0,0,35,32,0,3,0,0,33,18,15,0,19,11,8,0,41,23,18
"E00033117",310,32,5,27,30,16,13,0,1,0,95,21,18,25,20,11,66,6,54,6,48,11,34,3,39,26,13
"E00033118",284,47,24,23,29,18,11,0,0,0,93,36,16,12,17,12,50,3,42,5,32,5,26,1,33,10,23
"E00033119",212,19,5,14,16,9,6,0,0,1,80,26,13,14,20,7,32,3,27,2,34,6,28,0,31,14,17
"E00033120",250,37,15,22,27,11,14,2,0,0,89,28,11,20,22,8,46,10,32,4,19,4,14,1,32,17,15
"E00033121",193,6,2,4,13,9,1,3,0,0,53,28,9,3,11,2,23,8,15,0,45,8,37,0,53,23,30
"E00033122",230,19,8,11,23,13,7,1,0,2,75,37,14,10,11,3,42,4,37,1,31,7,22,2,40,15,25
"E00033123",225,12,6,6,15,9,6,0,0,0,59,28,8,14,9,0,31,4,27,0,45,8,35,2,63,25,38
"E00033124",253,44,23,21,23,19,1,1,1,1,107,47,4,29,23,4,38,4,32,2,27,8,19,0,14,6,8
"E00033125",164,21,11,10,24,21,1,2,0,0,66,46,3,4,7,6,22,5,17,0,15,5,10,0,16,8,8
"E00033126",230,26,14,12,26,17,8,0,1,0,67,43,1,4,14,5,36,6,28,2,26,1,25,0,49,17,32
"E00033127",367,56,34,22,52,35,11,5,0,1,154,91,12,20,16,15,45,10,29,6,20,10,10,0,40,19,21
"E00033128",219,45,15,30,24,7,14,1,2,0,78,36,6,9,21,6,33,6,20,7,26,11,15,0,13,8,5
"E00033129",229,37,21,16,24,17,5,1,1,0,53,28,3,9,5,8,26,7,16,3,32,4,26,2,57,15,42
"E00033130",301,59,25,34,26,16,7,0,1,2,114,46,17,16,23,12,56,3,48,5,20,6,14,0,26,5,21
"E00033131",224,42,15,27,18,8,5,3,2,0,78,31,11,14,11,11,20,8,9,3,29,16,10,3,37,26,11
"E00033132",340,67,27,40,73,43,21,5,3,1,119,47,19,21,21,11,41,9,30,2,21,6,14,1,19,6,13
"E00033133",284,63,14,49,27,12,6,8,0,1,93,33,8,11,31,10,35,6,20,9,32,10,20,2,34,15,19
"E00033134",159,24,7,17,31,18,8,4,1,0,65,50,3,1,7,4,11,7,4,0,14,7,7,0,14,5,9
"E00033135",333,54,13,41,84,37,32,11,3,1,101,41,13,7,26,14,35,4,26,5,33,7,25,1,26,11,15
"E00033136",171,26,8,18,26,13,6,6,1,0,55,31,6,11,6,1,21,4,15,2,23,4,15,4,20,11,9
"E00033137",227,21,7,14,62,39,18,5,0,0,77,54,2,5,15,1,34,17,17,0,20,9,10,1,13,6,7
"E00033138",149,19,12,7,32,21,8,3,0,0,53,46,2,2,3,0,24,15,9,0,10,7,3,0,11,7,4
"E00033139",230,31,16,15,19,15,4,0,0,0,74,55,1,5,3,10,37,14,21,2,37,16,18,3,32,16,16
"E00033140",165,21,11,10,25,14,5,5,1,0,73,46,7,13,5,2,12,1,9,2,16,5,11,0,18,9,9
"E00033141",164,28,13,15,38,25,6,3,2,2,49,21,5,11,9,3,14,2,12,0,16,3,11,2,19,10,9
"E00033142",214,36,8,28,40,22,15,2,0,1,72,29,8,13,12,10,35,7,25,3,18,7,11,0,13,5,8
"E00033143",180,38,20,18,46,24,16,6,0,0,66,43,8,7,7,1,12,7,5,0,12,2,7,3,6,6,0
"E00033144",172,25,10,15,48,38,8,2,0,0,50,41,3,3,1,2,23,7,16,0,6,4,2,0,20,13,7
"E00033145",224,37,11,26,52,27,18,4,1,2,64,27,12,14,9,2,35,5,22,8,23,5,17,1,13,7,6
"E00033146",230,35,11,24,55,29,16,8,1,1,68,35,4,16,6,7,31,5,18,8,28,3,24,1,13,8,5
"E00033147",250,45,24,21,35,19,6,5,5,0,89,48,5,14,18,4,44,8,27,9,18,7,9,2,19,13,6
"E00033148",200,25,5,20,36,19,11,4,2,0,86,47,9,13,13,4,17,3,11,3,17,6,11,0,19,10,9
"E00033149",187,34,12,22,29,16,11,2,0,0,64,40,6,7,6,5,26,5,20,1,13,3,10,0,21,6,15
"E00033150",235,51,28,23,55,20,18,16,1,0,86,49,11,9,12,5,28,9,17,2,6,3,2,1,9,4,5
"E00033151",201,36,11,25,35,13,11,5,4,2,73,42,7,10,8,6,28,14,10,4,18,9,9,0,11,6,5
"E00033152",255,61,38,23,63,41,10,7,2,3,85,53,7,5,11,9,17,3,13,1,17,4,10,3,12,2,10
"E00033153",280,43,22,21,43,30,10,2,1,0,102,56,12,15,15,4,35,12,20,3,30,9,20,1,27,12,15
"E00033154",139,35,21,14,36,27,4,5,0,0,32,23,1,2,0,6,16,8,6,2,14,7,6,1,6,3,3
"E00033155",216,29,9,20,52,34,12,4,1,1,63,36,7,6,9,5,17,8,7,2,37,19,18,0,18,11,7
"E00033156",201,29,14,15,46,33,11,2,0,0,61,41,5,5,1,9,32,13,16,3,23,8,14,1,10,4,6
"E00033157",242,53,32,21,59,35,20,1,3,0,82,39,13,12,14,4,21,12,9,0,17,8,9,0,10,6,4
"E00033158",218,52,20,32,52,18,21,8,3,2,77,30,8,4,23,12,22,8,14,0,10,4,5,1,5,4,1
"E00033159",127,24,8,16,27,12,9,3,2,1,43,18,7,8,8,2,16,2,11,3,15,7,8,0,2,1,1
"E00033160",277,58,34,24,49,29,12,2,6,0,97,51,16,12,12,6,38,13,22,3,22,7,15,0,13,6,7
"E00033161",234,48,28,20,51,32,15,4,0,0,52,24,4,7,15,2,21,6,12,3,19,13,6,0,43,37,6
"E00033162",219,59,27,32,55,31,15,7,2,0,69,45,2,10,8,4,19,9,7,3,11,3,8,0,6,4,2
"E00033163",238,65,37,28,67,48,6,4,7,2,74,57,4,7,4,2,21,10,10,1,7,2,4,1,4,4,0
"E00033164",282,51,19,32,63,43,14,3,2,1,90,43,10,14,12,11,55,9,44,2,13,3,10,0,10,7,3
"E00033165",149,14,3,11,15,12,2,1,0,0,40,23,4,8,4,1,21,13,8,0,24,19,5,0,35,30,5
"E00033166",148,12,8,4,10,6,3,0,0,1,43,36,2,3,1,1,25,13,11,1,24,12,12,0,34,15,19
"E00033167",243,39,20,19,53,31,16,6,0,0,81,36,15,14,10,6,24,2,19,3,34,4,30,0,12,3,9
"E00033168",238,29,15,14,22,12,7,2,1,0,76,37,3,13,21,2,43,4,36,3,42,8,34,0,26,15,11
"E00033169",257,49,19,30,31,23,8,0,0,0,91,43,9,9,13,17,36,8,26,2,29,7,22,0,21,10,11
"E00033170",298,49,24,25,53,31,7,11,2,2,111,57,10,13,18,13,43,4,31,8,26,5,20,1,16,9,7
"E00033171",284,53,20,33,28,18,7,1,1,1,119,52,7,28,18,14,42,10,28,4,30,8,21,1,12,7,5
"E00033172",168,24,12,12,38,33,3,2,0,0,76,59,4,3,3,7,17,12,4,1,7,1,3,3,6,2,4
"E00033173",274,46,20,26,42,22,14,2,3,1,90,49,8,6,14,13,38,5,31,2,30,5,24,1,28,13,15
"E00033174",219,48,19,29,35,14,14,4,1,2,75,32,4,13,17,9,29,4,18,7,22,6,15,1,10,7,3
"E00033175",218,39,13,26,21,9,7,2,0,3,80,29,8,15,19,9,38,4,31,3,23,1,21,1,17,7,10
"E00033176",195,40,8,32,37,22,6,6,3,0,67,33,6,12,11,5,28,3,17,8,12,5,6,1,11,3,8
"E00033177",238,34,10,24,34,16,11,7,0,0,87,42,10,15,12,8,32,4,26,2,30,8,21,1,21,8,13
"E00033178",146,22,7,15,31,19,10,1,0,1,49,35,2,0,7,5,13,2,9,2,10,2,8,0,21,9,12
"E00033179",252,55,18,37,40,20,14,4,2,0,83,41,7,9,14,12,27,6,18,3,28,4,22,2,19,6,13
"E00033181",378,172,158,14,77,61,10,4,2,0,67,35,12,9,9,2,41,9,24,8,11,4,6,1,10,3,7
"E00033182",329,93,80,13,78,63,12,3,0,0,101,72,12,8,6,3,30,13,17,0,17,9,7,1,10,7,3
"E00033183",556,345,335,10,94,81,10,2,1,0,70,49,12,2,6,1,28,9,16,3,12,2,5,5,7,6,1
"E00033185",303,170,159,11,49,44,5,0,0,0,53,26,14,9,1,3,18,13,4,1,10,1,9,0,3,1,2
"E00033186",291,160,154,6,75,70,4,0,1,0,32,15,11,2,4,0,15,3,10,2,8,2,4,2,1,1,0
"E00033187",191,22,20,2,79,76,2,0,1,0,59,53,3,0,3,0,17,7,9,1,10,2,8,0,4,3,1
"E00033188",295,141,130,11,46,40,2,3,1,0,61,36,8,10,3,4,25,4,21,0,15,5,10,0,7,2,5
"E00033189",390,105,59,46,72,38,22,7,3,2,131,69,27,15,8,12,40,12,19,9,17,7,9,1,25,12,13
"E00033190",386,61,26,35,120,40,66,12,1,1,151,79,38,29,2,3,25,10,11,4,13,8,4,1,16,5,11
"E00033191",420,301,286,15,39,36,1,2,0,0,45,28,7,1,7,2,16,5,8,3,11,3,8,0,8,2,6
"E00033192",404,301,297,4,44,37,6,1,0,0,32,21,2,7,2,0,8,2,6,0,9,4,5,0,10,6,4
"E00033193",296,136,120,16,41,39,2,0,0,0,71,41,6,12,7,5,24,6,14,4,15,5,9,1,9,1,8
"E00033194",317,167,145,22,69,66,0,2,0,1,48,24,7,9,6,2,15,6,6,3,9,5,3,1,9,3,6
"E00033195",225,60,45,15,84,79,4,1,0,0,48,29,7,5,6,1,12,6,4,2,9,1,8,0,12,6,6
"E00033196",190,30,27,3,89,85,4,0,0,0,51,40,3,8,0,0,10,6,3,1,7,2,5,0,3,1,2
"E00033197",339,28,21,7,54,49,3,2,0,0,96,83,6,3,2,2,50,22,26,2,50,27,23,0,61,33,28
"E00033198",355,181,170,11,53,46,5,0,2,0,69,27,23,5,11,3,26,3,18,5,12,3,9,0,14,6,8
"E00033199",179,4,1,3,12,10,0,2,0,0,55,50,1,3,0,1,41,25,15,1,30,21,8,1,37,26,11
"E00033200",217,64,64,0,24,18,4,0,2,0,42,33,0,4,5,0,21,15,4,2,30,21,9,0,36,19,17
"E00033201",213,96,91,5,42,36,4,2,0,0,44,23,4,8,5,4,16,2,14,0,9,3,6,0,6,4,2
"E00033202",285,159,149,10,59,53,6,0,0,0,40,17,5,13,2,3,16,5,10,1,7,1,6,0,4,2,2
"E00033203",210,56,53,3,54,40,7,5,1,1,51,26,8,8,8,1,21,1,19,1,18,8,10,0,10,3,7
"E00033204",228,62,57,5,71,63,8,0,0,0,53,30,7,2,13,1,28,6,21,1,9,2,7,0,5,1,4
"E00033206",164,10,8,2,40,31,5,4,0,0,77,60,8,0,5,4,21,9,12,0,10,4,5,1,6,2,4
"E00033207",238,49,31,18,62,42,12,6,2,0,81,62,4,10,4,1,24,18,5,1,12,4,6,2,10,3,7
"E00033208",202,39,22,17,72,52,14,6,0,0,69,41,8,10,5,5,12,4,8,0,8,2,5,1,2,0,2
"E00033209",272,42,29,13,76,63,9,1,3,0,65,43,10,3,4,5,37,24,11,2,24,16,8,0,28,24,4
"E00033210",223,73,45,28,60,38,11,6,5,0,65,35,13,4,6,7,8,3,4,1,7,5,2,0,10,8,2
"E00033211",269,71,41,30,55,28,21,4,2,0,94,52,16,12,9,5,23,8,13,2,16,6,8,2,10,5,5
"E00033212",218,44,15,29,42,16,19,3,4,0,73,35,15,10,11,2,24,4,15,5,23,4,18,1,12,7,5
"E00033213",376,235,219,16,51,40,10,0,1,0,35,13,2,4,9,7,23,7,13,3,15,7,7,1,17,8,9
"E00033214",390,98,54,44,127,92,25,6,2,2,116,56,15,25,11,9,22,8,5,9,19,4,12,3,8,6,2
"E00033215",245,44,26,18,73,45,18,7,3,0,81,46,15,10,9,1,23,9,11,3,15,6,5,4,9,2,7
"E00033216",211,38,24,14,70,62,6,1,1,0,72,50,9,7,6,0,20,10,9,1,7,6,1,0,4,0,4
"E00033217",257,59,54,5,81,74,2,3,2,0,71,45,8,9,6,3,29,4,22,3,11,5,5,1,6,6,0
"E00033218",239,41,23,18,37,33,3,0,0,1,92,33,26,16,13,4,44,5,33,6,21,5,15,1,4,1,3
"E00033219",335,112,110,2,75,66,9,0,0,0,89,68,10,7,2,2,37,11,24,2,13,8,4,1,9,5,4
"E00033220",371,240,232,8,62,54,6,1,1,0,38,26,2,4,3,3,13,5,8,0,7,1,6,0,11,7,4
"E00033221",236,63,57,6,85,79,4,1,1,0,73,68,3,0,2,0,11,9,2,0,1,1,0,0,3,3,0
"E00033222",162,4,3,1,13,8,4,1,0,0,31,25,1,3,2,0,35,30,5,0,41,27,14,0,38,29,9
"E00033223",230,53,44,9,102,97,2,3,0,0,53,50,0,2,1,0,12,8,3,1,6,6,0,0,4,3,1
"E00033224",249,28,7,21,40,21,11,2,6,0,55,29,3,7,9,7,46,14,29,3,38,13,24,1,42,22,20
"E00033225",226,39,12,27,53,27,14,10,2,0,85,60,4,10,10,1,28,18,8,2,16,8,8,0,5,1,4
"E00033226",324,67,30,37,50,21,19,9,1,0,112,67,13,9,13,10,46,17,26,3,31,10,20,1,18,11,7
