"GeographyCode","QS208EW0001","QS208EW0002","QS208EW0003","QS208EW0004","QS208EW0005","QS208EW0006","QS208EW0007","QS208EW0008","QS208EW0009","QS208EW0010"
"E01006580",1335,1041,5,13,19,16,0,0,179,62
"E01006581",1559,1237,2,2,52,11,0,3,158,94
"E01006582",1642,1295,2,8,86,26,0,4,154,67
"E01006583",1758,1345,3,10,61,9,2,3,251,74
"E01006584",1393,1188,2,10,6,3,0,2,122,60
"E01006585",1354,1063,6,10,4,14,4,1,158,94
"E01006586",1899,1339,11,10,5,43,0,5,374,112
"E01006587",1624,1153,8,3,13,45,0,6,303,93
"E01006588",1569,988,6,6,26,31,3,5,402,102
"E01006589",1518,1160,7,19,35,15,4,5,200,73
"E01006590",1642,988,5,11,27,26,6,8,428,143
"E01006591",1633,1053,3,14,39,56,0,6,345,117
"E01006592",1565,1088,2,3,139,28,0,4,234,67
"E01006593",1541,902,13,3,12,26,0,4,493,88
"E01006594",1410,1010,1,39,80,36,1,4,161,78
"E01006595",1745,1188,6,2,13,40,8,4,370,114
"E01006596",1451,914,6,0,23,65,3,1,347,92
"E01006597",1667,1136,3,8,79,34,0,3,306,98
"E01006598",1361,1092,1,1,2,5,0,3,180,77
"E01006599",1121,848,1,0,2,1,0,1,209,59
"E01006600",1407,1138,4,0,0,3,0,3,159,100
"E01006603",1410,1155,5,0,0,2,0,2,149,97
"E01006604",1367,1088,1,0,0,5,0,3,181,89
"E01006605",1531,1222,7,3,5,6,0,3,203,82
"E01006606",1521,1207,7,0,0,2,0,5,219,81
"E01006607",1531,1249,0,0,0,9,0,3,181,89
"E01006608",1215,980,0,0,0,3,1,2,151,78
"E01006609",1283,1012,8,2,0,7,0,2,191,61
"E01006610",1397,1108,0,2,1,8,6,2,195,75
"E01006611",1291,1032,0,4,0,8,0,1,177,69
"E01006612",1495,1201,2,0,1,7,0,5,186,93
"E01006613",1360,1114,1,3,0,3,0,3,122,114
"E01006614",1322,1045,2,3,1,12,0,3,179,77
"E01006615",1302,1038,2,0,0,1,0,2,185,74
"E01006616",1428,1178,3,0,2,16,0,5,151,73
"E01006617",1421,1168,2,4,0,17,0,0,155,75
"E01006618",1639,1367,3,0,0,6,0,7,162,94
"E01006619",1599,1312,3,1,2,7,0,3,184,87
"E01006620",1417,1201,2,1,0,7,0,0,106,100
"E01006621",1468,1237,4,15,1,28,1,0,109,73
"E01006622",1519,1296,2,2,3,9,0,3,131,73
"E01006623",1462,1239,8,2,2,16,0,0,121,74
"E01006624",1556,1290,2,2,3,18,2,0,171,68
"E01006625",1416,1213,1,3,1,1,0,0,120,77
"E01006626",1448,1224,7,3,1,11,0,1,126,75
"E01006627",1378,1151,5,0,0,14,1,1,139,67
"E01006628",1874,1179,20,13,6,41,0,5,513,97
"E01006629",1255,887,12,6,6,23,0,1,238,82
"E01006630",1338,1015,9,6,3,65,0,4,129,107
"E01006632",1842,1405,5,21,0,97,0,2,205,107
"E01006633",1432,1110,9,0,0,16,0,3,190,104
"E01006637",1596,1211,1,0,0,17,1,0,274,92
"E01006638",1219,918,6,0,0,16,0,2,215,62
"E01006639",1509,1205,1,10,4,4,0,4,187,94
"E01006640",1880,1566,6,7,0,34,0,1,175,91
"E01006641",1740,1359,1,9,1,13,0,3,229,125
"E01006642",1290,979,1,0,2,1,1,0,211,95
"E01006643",1822,1431,2,5,0,9,0,4,283,88
"E01006644",2040,1584,6,4,2,20,0,4,302,118
"E01006645",1424,1118,4,0,1,3,0,0,185,113
"E01006646",1899,1294,16,16,2,70,1,2,326,172
"E01006647",1422,1122,7,0,0,25,0,0,169,99
"E01006648",2175,1635,4,24,2,67,2,8,311,122
"E01006651",1642,1361,3,4,0,12,0,5,175,82
"E01006652",1505,1182,1,0,0,16,0,4,192,110
"E01006653",1520,1278,3,5,1,0,0,2,151,80
"E01006654",1513,1215,0,6,3,0,0,1,207,81
"E01006655",1758,1423,5,17,0,21,1,1,201,89
"E01006656",1493,1169,2,0,4,9,0,9,210,90
"E01006657",1211,970,0,0,0,4,0,5,165,67
"E01006658",1300,1024,3,1,0,13,0,3,188,68
"E01006659",1765,1199,4,4,3,26,4,18,410,97
"E01006660",1433,1222,4,3,0,7,0,1,126,70
"E01006661",1663,1377,9,0,0,6,0,2,181,88
"E01006662",1775,1467,0,3,3,14,0,1,185,102
"E01006663",1153,972,3,0,0,3,0,1,116,58
"E01006664",1795,1462,3,0,0,26,0,4,215,85
"E01006665",1555,1330,2,8,0,7,0,1,135,72
"E01006666",1504,1231,6,13,0,23,2,4,155,70
"E01006667",1453,1199,8,0,1,5,0,4,161,75
"E01006668",1534,1263,6,6,1,21,0,1,167,69
"E01006669",1470,1185,9,17,1,27,0,0,156,75
"E01006670",1526,1269,13,8,1,4,1,1,163,66
"E01006671",1355,1058,2,5,0,29,0,1,172,88
"E01006672",1955,1510,0,6,0,19,4,1,297,118
"E01006673",1937,778,33,17,2,531,0,15,425,136
"E01006674",1885,670,11,13,3,845,8,4,217,114
"E01006675",1824,715,30,7,9,252,8,19,636,148
"E01006676",1753,904,2,25,2,443,7,10,229,131
"E01006677",1040,570,4,6,0,210,0,3,154,93
"E01006678",2127,1459,14,2,0,188,0,10,316,138
"E01006679",2232,698,27,4,0,1098,6,12,214,173
"E01006680",1569,1199,8,0,9,29,11,3,225,85
"E01006681",1585,1155,15,5,3,38,10,6,251,102
"E01006682",1310,1043,7,0,5,10,1,3,167,74
"E01006683",1510,1252,4,0,5,15,0,2,163,69
"E01006684",2138,1559,5,13,12,24,2,6,398,119
"E01006685",1484,1126,3,6,5,1,0,3,241,99
"E01006686",1433,1147,0,0,2,17,0,0,173,94
"E01006687",1952,1268,11,24,24,18,2,8,466,131
"E01006688",1524,1096,5,1,3,26,2,3,287,101
"E01006689",1651,1201,5,4,9,23,5,4,299,101
"E01006690",1492,1003,16,1,0,66,1,8,291,106
"E01006691",1503,936,28,31,0,134,4,1,268,101
"E01006692",2180,1547,10,23,3,65,1,7,377,147
"E01006693",1511,1140,2,2,0,49,4,0,212,102
"E01006694",1864,1330,19,13,3,52,0,4,302,141
"E01006695",1821,1137,17,5,1,105,1,10,415,130
"E01006696",1744,1292,8,20,0,68,0,4,262,90
"E01006697",1845,1228,11,15,0,141,0,5,340,105
"E01006698",1716,1402,2,6,1,11,0,3,212,79
"E01006699",1594,1270,3,0,1,6,0,3,209,102
"E01006700",1438,1097,3,2,0,28,1,4,213,90
"E01006701",1380,1122,0,4,0,15,0,2,145,92
"E01006702",1618,1222,4,5,0,15,6,4,237,125
"E01006703",1561,1238,6,9,1,17,0,0,186,104
"E01006705",1409,1088,4,0,1,22,4,4,194,92
"E01006706",1346,1071,2,1,1,8,1,3,182,77
"E01006707",1323,1049,1,3,0,2,0,7,171,90
"E01006708",1805,1381,2,0,4,12,0,4,254,148
"E01006709",1438,1116,3,0,1,4,0,2,224,88
"E01006710",1496,1147,2,6,1,0,0,1,273,66
"E01006711",1538,1117,2,2,7,58,2,3,244,103
"E01006712",1339,1015,11,7,0,3,2,5,195,101
"E01006713",1377,1087,3,4,1,7,0,2,186,87
"E01006716",1589,1147,16,4,10,40,0,4,268,100
"E01006717",1436,1089,2,0,5,25,0,3,210,102
"E01006718",1587,1152,6,0,0,25,0,6,284,114
"E01006719",1535,1182,2,0,2,11,0,0,230,108
"E01006720",2108,1126,25,12,6,343,15,11,403,167
"E01006721",1655,983,4,8,0,113,6,3,438,100
"E01006722",1793,821,4,37,10,233,9,7,551,121
"E01006723",1875,1010,7,63,4,120,9,14,539,109
"E01006724",1790,962,9,18,4,80,5,10,588,114
"E01006725",1537,1066,6,10,5,29,1,5,306,109
"E01006726",1565,924,11,14,1,105,11,6,380,113
"E01006727",1441,939,11,7,7,35,5,8,348,81
"E01006728",1623,995,10,6,6,89,1,3,399,114
"E01006729",1400,1109,1,0,0,3,0,1,213,73
"E01006730",1326,1053,0,3,0,3,3,1,182,81
"E01006731",1196,954,3,0,0,10,0,1,157,71
"E01006732",1643,1252,4,0,1,12,0,4,234,136
"E01006734",1412,1136,0,0,0,14,0,1,185,76
"E01006735",1309,1061,3,7,0,2,0,0,148,88
"E01006736",1460,1195,1,0,0,4,0,0,184,76
"E01006737",1435,1168,0,0,0,2,0,1,192,72
"E01006738",1501,1193,1,0,1,4,0,2,207,93
"E01006739",1769,1360,0,6,1,11,2,1,293,95
"E01006740",1280,960,12,2,0,43,0,3,200,60
"E01006741",1815,1398,5,0,4,2,0,5,272,129
"E01006742",1394,1057,5,1,1,9,0,1,234,86
"E01006743",2175,1626,3,6,8,20,2,2,399,109
"E01006744",1482,1124,7,4,5,10,0,1,261,70
"E01006745",1879,1314,5,4,4,5,6,4,418,119
"E01006746",1513,1017,3,16,2,64,4,3,293,111
"E01006747",3552,1710,66,78,3,289,26,10,1160,210
"E01006748",1936,1083,14,53,5,123,4,4,543,107
"E01006751",2572,1311,37,73,3,283,11,11,698,145
"E01006752",1012,599,12,15,0,147,5,3,179,52
"E01006753",1557,1165,1,0,4,6,0,1,282,98
"E01006754",1627,1297,3,0,1,4,0,5,223,94
"E01006755",1587,1131,1,0,2,27,0,2,294,130
"E01006756",1820,1359,4,1,1,9,0,2,342,102
"E01006757",1491,1141,2,0,1,1,0,7,260,79
"E01006758",1527,1135,4,0,0,15,0,7,287,79
"E01006759",1095,821,5,2,0,33,0,3,148,83
"E01006760",1611,1056,7,4,3,67,1,3,329,141
"E01006761",1644,1260,10,4,1,16,0,3,255,95
"E01006762",1692,1305,4,4,0,20,0,5,230,124
"E01006763",1471,1120,6,5,0,12,0,2,248,78
"E01006764",1522,1052,4,0,3,57,2,2,341,61
"E01006765",1468,1110,4,4,0,9,0,2,247,92
"E01006766",1266,914,5,10,0,40,0,4,246,47
"E01006767",1787,1303,3,7,0,24,0,5,351,94
"E01006768",1359,934,9,4,1,54,0,1,247,109
"E01006769",1270,906,0,0,1,20,0,6,222,115
"E01006770",1002,775,1,1,0,6,0,2,149,68
"E01006771",1425,1139,5,3,0,7,0,0,169,102
"E01006772",1091,872,0,8,1,5,0,0,143,62
"E01006773",1379,1124,4,3,2,9,3,2,164,68
"E01006774",1445,1105,11,16,3,22,0,2,216,70
"E01006775",1319,1029,1,0,4,2,0,1,195,87
"E01006776",1677,1393,3,0,0,8,0,1,156,116
"E01006778",2205,1699,6,15,0,26,2,3,326,128
"E01006779",1968,1636,8,1,0,13,0,4,154,152
"E01006780",1465,1181,2,0,3,1,0,1,207,70
"E01006781",1470,1226,2,0,0,1,0,0,176,65
"E01006782",1560,1219,4,8,2,3,1,7,247,69
"E01006783",1548,1219,2,3,0,1,0,0,235,88
"E01006784",1347,1029,2,0,0,5,0,4,223,84
"E01006785",1769,1408,1,3,1,11,1,5,260,79
"E01006786",1820,1489,0,0,2,7,1,1,230,90
"E01006787",2330,1496,11,13,2,69,0,13,563,163
"E01006788",1825,1467,0,1,0,16,0,8,241,92
"E01006790",1587,1208,0,3,0,22,0,8,253,93
"E01006791",1674,1308,2,4,2,27,4,4,213,110
"E01006792",1368,1053,4,7,48,13,1,5,160,77
"E01006793",1494,1058,1,11,42,21,1,2,258,100
"E01006794",1593,1139,5,32,44,16,2,3,251,101
"E01006795",1407,1034,2,19,35,3,1,2,235,76
"E01006796",1591,1075,3,38,107,70,1,2,202,93
"E01006797",1499,1147,2,1,0,3,0,2,228,116
"E01006798",1410,1143,3,6,19,3,0,2,168,66
"E01006799",1821,1386,3,11,12,4,0,2,257,146
"E01006800",1401,1060,9,28,23,16,2,2,158,103
"E01006801",1355,1079,13,1,20,5,7,2,149,79
"E01032505",1317,976,2,9,5,31,0,8,190,96
"E01032506",1403,948,6,10,3,17,0,1,331,87
"E01032507",1539,1011,10,1,2,17,0,3,415,80
"E01032508",1723,1278,9,5,1,41,0,4,255,130
"E01032509",1434,1044,2,11,2,11,1,3,253,107
"E01032510",1809,1461,1,0,1,21,1,1,233,90
"E01032511",1378,1105,2,0,0,2,0,0,185,84
"E01033747",1043,782,3,1,1,45,0,3,142,66
"E01033748",1277,777,11,34,1,48,2,3,330,71
"E01033749",1153,472,9,19,68,55,3,1,451,75
"E01033750",1448,790,10,52,3,82,4,7,421,79
"E01033751",1873,1055,9,53,4,110,19,7,529,87
"E01033752",1196,574,9,16,1,101,2,6,408,79
"E01033753",1051,480,9,15,4,107,4,6,364,62
"E01033754",1452,804,8,27,2,63,7,0,433,108
"E01033755",1082,503,10,11,1,75,4,4,425,49
"E01033756",1185,488,18,25,2,112,9,3,451,77
"E01033757",1025,385,23,10,5,70,0,5,458,69
"E01033758",1730,624,38,29,6,210,7,12,679,125
"E01033759",1147,921,1,2,2,7,0,2,146,66
"E01033760",2115,945,39,34,8,95,7,6,884,97
"E01033761",1372,552,15,25,3,93,2,2,593,87
"E01033762",1791,955,26,28,0,101,6,13,583,79
"E01033763",1527,979,23,11,2,95,1,2,290,124
"E01033764",2202,1709,4,11,0,62,0,2,240,174
"E01033765",1351,999,5,4,1,30,1,1,214,96
"E01033766",1075,571,2,2,11,36,1,3,380,69
"E01033767",1067,759,2,0,2,46,0,4,186,68
"E01033768",1223,500,24,6,1,112,5,10,458,107
