"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E02001377",7547,2877,2547,330,1614,1221,292,61,23,17,1548,981,179,157,157,74,676,265,347,64,500,234,228,38,332,196,136
"E02001378",6354,921,458,463,1136,719,308,74,25,10,2271,1230,295,335,291,120,941,250,610,81,564,183,347,34,521,265,256
"E02001380",6179,780,331,449,776,469,257,21,15,14,2281,961,349,409,399,163,1028,144,792,92,678,176,488,14,636,266,370
"E02001381",7648,1888,1417,471,1949,1306,448,157,28,10,2127,1271,252,222,271,111,784,266,452,66,499,204,267,28,401,223,178
"E02001382",5786,811,372,439,809,481,249,60,11,8,2153,850,334,387,397,185,910,103,716,91,630,118,490,22,473,185,288
"E02001383",6263,1867,1617,250,1612,1320,211,44,31,6,1701,1208,157,150,132,54,512,292,177,43,306,171,121,14,265,182,83
"E02001384",9730,5302,4933,369,1684,1340,243,58,33,10,1430,834,192,132,186,86,559,171,320,68,398,156,216,26,357,203,154
"E02001385",5929,1258,631,627,1572,878,504,121,49,20,1855,972,373,263,163,84,498,219,200,79,431,195,180,56,315,149,166
"E02001386",6233,878,364,514,874,463,279,96,30,6,1981,1137,203,229,276,136,962,254,626,82,804,313,461,30,734,385,349
"E02001387",6569,1068,580,488,889,641,191,28,16,13,2270,858,423,413,395,181,1099,148,819,132,620,127,473,20,623,284,339
"E02001388",7911,3139,2866,273,1740,1483,201,35,13,8,1691,973,236,250,157,75,634,156,427,51,381,115,253,13,326,136,190
"E02001389",5322,833,667,166,1902,1662,156,53,23,8,1591,1255,128,100,80,28,519,309,175,35,263,158,91,14,214,159,55
"E02001390",6909,1159,563,596,1384,801,382,133,55,13,2325,1341,267,279,305,133,896,302,479,115,638,229,374,35,507,236,271
"E02001391",4695,745,309,436,669,315,236,88,26,4,1623,850,147,241,277,108,681,140,481,60,610,189,398,23,367,140,227
"E02001392",4932,492,250,242,533,355,155,10,8,5,1493,737,207,245,212,92,860,114,676,70,774,137,617,20,780,291,489
"E02001393",5988,720,286,434,515,365,112,22,6,10,2048,732,342,363,407,204,1242,116,994,132,809,123,662,24,654,281,373
"E02001394",7254,1284,1081,203,1784,1503,216,49,13,3,2249,1457,306,235,169,82,839,302,481,56,586,243,319,24,512,269,243
"E02001395",5118,650,351,299,869,649,182,22,12,4,1757,858,274,282,237,106,786,122,598,66,503,125,367,11,553,240,313
"E02001396",6799,1180,765,415,1811,1366,332,84,22,7,2023,1258,201,199,259,106,829,227,529,73,546,197,332,17,410,211,199
"E02001397",6533,700,326,374,953,639,235,56,12,11,2055,1167,249,250,260,129,1122,331,708,83,750,251,481,18,953,498,455
"E02001398",6361,887,637,250,1633,1352,220,34,22,5,1938,1181,236,244,201,76,842,226,558,58,505,169,323,13,556,283,273
"E02001399",5987,862,434,428,656,452,163,20,12,9,2077,844,320,386,379,148,1018,119,816,83,726,132,568,26,648,284,364
"E02001400",5470,863,337,526,685,443,168,52,7,15,2024,1011,217,285,318,193,797,140,577,80,537,137,374,26,564,267,297
"E02001401",6608,887,472,415,930,575,266,50,24,15,2090,1027,234,352,321,156,1003,167,766,70,770,155,597,18,928,370,558
"E02001402",6927,789,423,366,1199,855,280,41,9,14,2372,1140,365,407,278,182,1172,211,873,88,747,187,545,15,648,306,342
"E02001403",4874,724,348,376,1156,757,286,85,18,10,1652,944,187,215,205,101,586,183,331,72,412,142,264,6,344,162,182
"E02001404",5691,982,435,547,1063,521,348,147,33,14,2034,1055,248,292,299,140,688,169,464,55,481,165,299,17,443,227,216
"E02001405",7267,1281,511,770,1493,625,566,217,72,13,2318,1251,257,287,351,172,1023,294,628,101,575,188,354,33,577,283,294
"E02006932",5162,2441,2389,52,1751,1672,57,17,5,0,640,557,21,28,22,12,177,98,64,15,81,38,41,2,72,53,19
"E02006933",4910,1225,1108,117,1740,1563,143,18,13,3,1146,872,97,67,77,33,436,162,247,27,229,97,126,6,134,48,86
"E02006934",4173,1091,1038,53,1957,1838,102,16,1,0,822,716,41,20,32,13,209,98,98,13,63,42,20,1,31,21,10
