"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E01006751",2572,1737,71,18,19,25,10,34,142,306,97,93,12,1,4,3,0,0
"E01006752",1012,725,31,7,6,18,5,17,18,52,59,64,5,4,1,0,0,0
"E01006753",1557,1511,8,5,0,3,0,4,2,6,5,10,2,1,0,0,0,0
"E01006754",1627,1472,16,6,1,9,1,5,11,31,31,33,11,0,0,0,0,0
"E01006755",1587,1505,16,6,2,7,0,2,2,10,10,22,5,0,0,0,0,0
"E01006756",1820,1667,22,7,8,21,3,3,6,33,17,30,3,0,0,0,0,0
"E01006757",1491,1423,15,2,1,2,2,0,2,18,10,12,4,0,0,0,0,0
"E01006758",1527,1456,12,5,4,4,0,1,5,12,14,10,3,0,1,0,0,0
"E01006759",1095,982,12,8,3,3,0,3,5,29,33,15,2,0,0,0,0,0
"E01006760",1611,1315,22,6,5,12,4,4,23,92,69,51,6,1,1,0,0,0
"E01006761",1644,1493,14,12,6,13,4,7,8,27,19,33,5,0,1,1,1,0
"E01006762",1692,1627,14,4,2,5,1,1,2,8,12,12,4,0,0,0,0,0
"E01006763",1471,1432,8,2,2,2,0,2,0,6,4,9,2,1,1,0,0,0
"E01006764",1522,1372,17,5,7,6,2,3,12,33,35,23,5,1,1,0,0,0
"E01006765",1468,1406,8,6,1,6,0,1,1,10,14,12,3,0,0,0,0,0
"E01006766",1266,1115,25,9,1,3,3,13,4,32,25,30,4,0,2,0,0,0
"E01006767",1787,1616,14,5,7,3,2,2,10,41,44,37,6,0,0,0,0,0
"E01006768",1359,1221,14,5,2,9,3,4,5,31,34,27,4,0,0,0,0,0
"E01006769",1270,1212,5,3,4,3,0,2,1,10,16,13,1,0,0,0,0,0
"E01006770",1002,969,7,1,1,3,0,2,3,7,3,4,2,0,0,0,0,0
"E01006771",1425,1385,13,2,4,3,0,1,1,4,1,11,0,0,0,0,0,0
"E01006772",1091,1044,3,1,2,5,1,2,4,10,9,10,0,0,0,0,0,0
"E01006773",1379,1328,10,3,1,4,0,2,4,5,11,10,1,0,0,0,0,0
"E01006774",1445,1325,18,6,6,8,3,8,7,23,18,20,2,0,1,0,0,0
"E01006775",1319,1275,5,2,2,2,1,4,1,11,7,3,5,0,1,0,0,0
"E01006776",1677,1579,11,5,1,9,0,3,5,11,19,28,2,2,2,0,0,0
"E01006778",2205,2019,20,7,6,10,2,3,13,34,37,49,5,0,0,0,0,0
"E01006779",1968,1891,19,6,1,3,0,4,1,18,14,10,1,0,0,0,0,0
"E01006780",1465,1419,8,2,1,3,3,3,7,8,7,4,0,0,0,0,0,0
"E01006781",1470,1436,7,0,0,5,0,4,0,6,4,4,2,0,2,0,0,0
"E01006782",1560,1502,7,4,0,1,1,2,4,10,15,12,2,0,0,0,0,0
"E01006783",1548,1498,6,3,1,2,1,0,3,10,9,12,3,0,0,0,0,0
"E01006784",1347,1303,10,3,0,3,0,1,3,15,2,7,0,0,0,0,0,0
"E01006785",1769,1669,13,3,2,6,6,2,11,31,11,14,1,0,0,0,0,0
"E01006786",1820,1764,10,3,4,5,0,2,4,7,6,14,1,0,0,0,0,0
"E01006787",2330,2099,32,10,5,11,2,14,17,40,38,53,7,1,1,0,0,0
"E01006788",1825,1759,11,4,1,3,2,3,5,9,14,8,4,1,1,0,0,0
"E01006790",1587,1528,8,2,1,2,0,1,3,12,15,14,1,0,0,0,0,0
"E01006791",1674,1568,15,6,2,5,0,8,5,8,17,28,12,0,0,0,0,0
"E01006792",1368,1291,10,6,4,7,1,7,2,9,14,12,3,0,1,0,1,0
"E01006793",1494,1401,12,4,1,8,1,2,5,18,15,17,9,0,1,0,0,0
"E01006794",1593,1492,17,12,4,6,1,2,4,21,12,18,4,0,0,0,0,0
"E01006795",1407,1348,6,0,2,3,0,2,6,8,22,10,0,0,0,0,0,0
"E01006796",1591,1406,32,15,8,13,2,10,11,24,32,32,6,0,0,0,0,0
"E01006797",1499,1453,13,1,1,2,0,2,4,7,6,9,1,0,0,0,0,0
"E01006798",1410,1332,15,4,1,6,0,3,5,10,5,26,3,0,0,0,0,0
"E01006799",1821,1745,15,2,4,7,3,2,11,9,8,9,5,0,1,0,0,0
"E01006800",1401,1302,16,5,2,6,1,3,5,25,20,11,4,1,0,0,0,0
"E01006801",1355,1286,10,2,2,3,2,6,4,12,16,10,1,0,0,1,0,0
"E01032505",1317,1194,18,1,6,10,0,8,10,20,20,26,1,2,0,1,0,0
"E01032506",1403,1291,14,2,2,12,0,3,3,21,31,17,4,1,1,1,0,0
"E01032507",1539,1438,11,3,0,5,0,7,16,25,18,13,3,0,0,0,0,0
"E01032508",1723,1570,21,12,9,8,4,5,6,34,23,20,9,0,2,0,0,0
"E01032509",1434,1344,8,2,9,11,3,1,7,8,12,26,3,0,0,0,0,0
"E01032510",1809,1718,21,4,2,4,2,1,6,12,16,20,3,0,0,0,0,0
"E01032511",1378,1328,3,3,2,1,2,1,1,14,8,12,3,0,0,0,0,0
"E01033747",1043,944,11,6,6,13,0,3,3,8,29,17,2,1,0,0,0,0
"E01033748",1277,1077,9,7,0,10,3,17,16,61,48,28,1,0,0,0,0,0
"E01033749",1153,963,30,8,5,13,14,27,60,23,4,4,2,0,0,0,0,0
"E01033750",1448,1147,18,6,4,6,2,9,42,63,89,54,7,0,1,0,0,0
"E01033751",1873,1579,28,7,6,23,4,15,34,98,42,32,3,0,2,0,0,0
"E01033752",1196,877,19,5,3,7,3,28,38,78,85,52,1,0,0,0,0,0
"E01033753",1051,746,18,10,3,9,2,29,32,83,77,39,3,0,0,0,0,0
"E01033754",1452,1135,22,9,2,9,7,16,34,77,78,52,8,0,1,1,0,1
"E01033755",1082,781,27,4,4,3,5,12,53,82,52,55,4,0,0,0,0,0
"E01033756",1185,750,28,9,6,7,0,42,70,124,103,43,3,0,0,0,0,0
"E01033757",1025,670,16,2,3,3,3,31,53,175,36,26,3,1,2,1,0,0
"E01033758",1730,984,24,9,9,22,3,38,193,356,67,21,4,0,0,0,0,0
"E01033759",1147,1077,16,7,1,1,0,1,1,11,11,17,4,0,0,0,0,0
"E01033760",2115,1487,16,7,10,20,6,66,177,236,58,28,2,1,0,0,1,0
"E01033761",1372,971,22,2,9,13,7,23,61,123,106,31,3,1,0,0,0,0
"E01033762",1791,1436,24,10,6,19,8,36,74,101,59,17,1,0,0,0,0,0
"E01033763",1527,1227,23,5,3,16,4,24,26,45,71,67,12,1,3,0,0,0
"E01033764",2202,2023,18,3,3,6,1,9,10,52,39,30,8,0,0,0,0,0
"E01033765",1351,1223,14,8,2,9,3,4,9,23,15,30,8,1,1,1,0,0
"E01033766",1075,997,15,6,2,7,0,3,8,17,7,12,1,0,0,0,0,0
"E01033767",1067,955,8,6,1,16,0,1,5,34,19,15,7,0,0,0,0,0
"E01033768",1223,979,28,7,3,14,3,12,28,52,47,42,4,1,3,0,0,0
