"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00033040",233,84,54,28,2,149,111,4,7,16,11
"E00033041",210,124,102,22,0,86,45,3,2,11,25
"E00033042",214,126,114,12,0,88,65,4,4,1,14
"E00033043",215,112,82,30,0,103,70,4,4,10,15
"E00033044",208,116,106,10,0,92,69,1,3,7,12
"E00033045",190,60,50,10,0,130,63,2,6,32,27
"E00033046",175,78,68,10,0,97,31,2,4,9,51
"E00033047",231,154,128,22,4,77,55,4,2,3,13
"E00033048",213,140,126,14,0,73,43,2,1,6,21
"E00033049",298,164,102,54,8,134,105,3,6,12,8
"E00033050",199,126,104,20,2,73,53,3,3,6,8
"E00033051",285,136,82,54,0,149,102,3,7,31,6
"E00033052",341,116,76,32,8,225,193,1,2,19,10
"E00033053",231,110,68,42,0,121,95,2,3,9,12
"E00033054",132,62,46,14,2,70,45,0,2,15,8
"E00033055",194,116,74,34,8,78,58,1,4,10,5
"E00033056",224,134,102,30,2,90,60,1,4,10,15
"E00033057",238,132,96,32,4,106,75,2,6,10,13
"E00033059",250,132,116,16,0,118,55,3,9,21,30
"E00033060",182,98,94,4,0,84,44,3,2,5,30
"E00033061",192,110,92,18,0,82,57,6,1,6,12
"E00033062",220,130,122,8,0,90,57,2,3,5,23
"E00033063",218,142,128,12,2,76,49,4,4,9,10
"E00033064",189,122,100,14,8,67,43,1,2,12,9
"E00033065",236,148,124,24,0,88,54,2,2,14,16
"E00033066",223,104,32,62,10,119,90,2,2,19,6
"E00033067",255,90,48,38,4,165,135,3,4,16,7
"E00033068",309,128,34,88,6,181,155,3,6,12,5
"E00033069",228,82,36,38,8,146,117,0,5,20,4
"E00033070",244,58,12,42,4,186,150,3,9,19,5
"E00033071",230,112,54,46,12,118,89,0,2,20,7
"E00033072",259,65,20,41,4,194,168,2,0,21,3
"E00033073",248,86,18,52,16,162,113,2,6,22,19
"E00033074",243,52,20,26,6,191,152,0,8,26,5
"E00033075",230,30,10,20,0,200,122,0,6,50,22
"E00033076",259,138,106,28,4,121,74,4,9,15,19
"E00033077",274,92,36,52,4,182,125,7,11,22,17
"E00033078",247,80,56,24,0,167,110,3,12,19,23
"E00033079",194,74,56,16,2,120,94,2,2,12,10
"E00033080",178,28,14,14,0,150,88,8,7,32,15
"E00033081",198,106,56,50,0,92,62,2,5,16,7
"E00033082",262,176,162,12,2,86,57,2,3,9,15
"E00033083",276,184,166,18,0,92,67,2,4,14,5
"E00033084",263,132,116,16,0,131,78,1,6,22,24
"E00033085",270,144,122,20,2,126,71,5,6,20,24
"E00033086",227,148,130,18,0,79,38,2,3,9,27
"E00033087",314,178,160,18,0,136,98,5,7,12,14
"E00033088",211,108,98,10,0,103,70,2,4,11,16
"E00033089",244,106,84,22,0,138,88,2,14,14,20
"E00033090",316,166,142,22,2,150,100,5,4,21,20
"E00033091",271,164,134,30,0,107,70,0,6,12,19
"E00033092",263,162,152,10,0,101,60,2,1,15,23
"E00033093",311,170,142,28,0,141,87,3,12,20,19
"E00033094",279,174,156,16,2,105,71,2,3,7,22
"E00033095",350,206,184,16,6,144,100,3,4,14,23
"E00033096",217,146,138,8,0,71,38,4,1,5,23
"E00033097",225,86,70,16,0,139,98,2,4,22,13
"E00033098",234,154,140,12,2,80,44,7,6,8,15
"E00033099",150,68,60,8,0,82,25,0,2,19,36
"E00033100",249,110,94,14,2,139,88,2,8,22,19
"E00033101",185,104,86,16,2,81,44,2,2,5,28
"E00033102",356,158,108,46,4,198,128,6,12,31,21
"E00033103",253,114,92,22,0,139,91,3,5,22,18
"E00033104",222,100,78,18,4,122,79,3,8,15,17
"E00033105",256,158,146,12,0,98,62,2,1,3,30
"E00033106",240,118,88,30,0,122,74,0,8,20,20
"E00033107",291,170,148,22,0,121,86,0,7,8,20
"E00033108",259,132,102,28,2,127,90,0,6,16,15
"E00033109",268,168,152,14,2,100,62,3,2,15,18
"E00033110",292,152,126,24,2,140,96,3,4,13,24
"E00033112",255,174,162,10,2,81,51,5,2,6,17
"E00033113",221,146,130,14,2,75,51,2,1,6,15
"E00033114",248,174,156,18,0,74,47,4,5,9,9
"E00033115",129,56,48,6,2,73,45,2,2,9,15
"E00033116",133,52,48,2,2,81,33,1,4,20,23
"E00033117",310,202,190,12,0,108,58,4,5,11,30
"E00033118",284,170,150,20,0,114,76,3,2,14,19
"E00033119",212,138,126,8,4,74,43,1,3,7,20
"E00033120",250,144,124,20,0,106,60,2,4,18,22
"E00033121",193,114,102,12,0,79,31,2,2,15,29
"E00033122",230,140,118,22,0,90,47,3,2,14,24
"E00033123",225,144,134,10,0,81,32,5,1,6,37
"E00033124",253,142,130,12,0,111,71,4,5,12,19
"E00033125",164,46,38,8,0,118,70,2,8,21,17
"E00033126",230,140,126,14,0,90,57,0,1,12,20
"E00033127",367,172,146,26,0,195,137,2,7,22,27
"E00033128",219,88,72,16,0,131,82,1,6,25,17
"E00033129",229,130,116,14,0,99,64,9,2,6,18
"E00033130",301,190,170,20,0,111,89,3,3,4,12
"E00033131",224,84,70,12,2,140,80,6,2,22,30
"E00033132",340,164,114,50,0,176,131,0,10,22,13
"E00033133",284,90,78,12,0,194,126,4,8,30,26
"E00033134",159,42,28,12,2,117,80,0,6,15,16
"E00033135",333,162,126,32,4,171,117,10,11,20,13
"E00033136",171,62,50,10,2,109,73,3,6,12,15
"E00033137",227,70,54,16,0,157,109,9,7,26,6
"E00033138",149,34,22,12,0,115,67,1,16,22,9
"E00033139",230,82,68,14,0,148,93,2,8,21,24
"E00033140",165,62,50,12,0,103,66,4,6,10,17
"E00033141",164,76,46,28,2,88,53,1,5,13,16
"E00033142",214,104,76,28,0,110,79,0,2,17,12
"E00033143",180,48,34,14,0,132,95,0,15,10,12
"E00033144",172,54,24,28,2,118,71,2,5,22,18
"E00033145",224,102,72,24,6,122,89,6,3,9,15
"E00033146",230,108,78,30,0,122,82,4,7,18,11
"E00033147",250,114,84,30,0,136,91,4,5,15,21
"E00033148",200,76,58,18,0,124,83,0,5,13,23
"E00033149",187,86,66,20,0,101,59,5,9,11,17
"E00033150",235,84,60,24,0,151,109,3,11,18,10
"E00033151",201,56,38,18,0,145,95,4,7,22,17
"E00033152",255,84,56,24,4,171,123,4,16,17,11
"E00033153",280,120,92,28,0,160,102,2,7,24,25
"E00033154",139,34,22,12,0,105,79,1,10,11,4
"E00033155",216,60,44,16,0,156,91,0,16,26,23
"E00033156",201,80,52,24,4,121,82,1,11,18,9
"E00033157",242,80,50,28,2,162,123,8,7,12,12
"E00033158",218,78,52,22,4,140,98,2,11,21,8
"E00033159",127,38,24,12,2,89,59,2,5,16,7
"E00033160",277,98,78,18,2,179,135,3,12,13,16
"E00033161",234,90,36,52,2,144,89,3,0,24,28
"E00033162",219,48,26,20,2,171,123,4,5,31,8
"E00033163",238,56,30,26,0,182,153,2,8,12,7
"E00033164",282,130,94,32,4,152,113,0,9,14,16
"E00033165",149,26,22,4,0,123,58,3,5,28,29
"E00033166",148,48,46,2,0,100,54,0,3,23,20
"E00033167",243,126,82,42,2,117,82,0,6,13,16
"E00033168",238,148,126,22,0,90,54,1,7,8,20
"E00033169",257,140,114,24,2,117,84,2,7,11,13
"E00033170",298,156,136,20,0,142,103,4,3,17,15
"E00033171",284,156,130,26,0,128,86,3,3,19,17
"E00033172",168,38,24,14,0,130,102,2,5,14,7
"E00033173",274,140,120,20,0,134,96,2,3,10,23
"E00033174",219,74,56,14,4,145,97,1,10,25,12
"E00033175",218,113,106,7,0,105,74,0,10,11,10
"E00033176",195,82,62,18,2,113,82,0,7,13,11
"E00033177",238,110,92,18,0,128,88,3,5,16,16
"E00033178",146,56,40,16,0,90,63,0,2,9,16
"E00033179",252,116,66,48,2,136,106,2,8,10,10
"E00033181",378,96,50,42,4,282,247,6,11,11,7
"E00033182",329,84,54,28,2,245,210,1,12,18,4
"E00033183",556,84,44,40,0,472,439,4,6,17,6
"E00033185",303,64,34,28,2,239,212,4,7,10,6
"E00033186",291,50,26,24,0,241,229,2,4,6,0
"E00033187",191,58,20,38,0,133,104,3,4,19,3
"E00033188",295,72,54,14,4,223,202,0,2,14,5
"E00033189",390,96,78,18,0,294,207,20,9,31,27
"E00033190",386,146,124,18,4,240,138,20,36,33,13
"E00033191",420,46,34,12,0,374,352,1,1,10,10
"E00033192",404,36,28,8,0,368,337,8,4,8,11
"E00033193",296,76,56,20,0,220,200,3,0,10,7
"E00033194",317,62,38,24,0,255,229,1,7,12,6
"E00033195",225,66,38,28,0,159,128,2,4,14,11
"E00033196",190,44,14,28,2,146,128,4,1,11,2
"E00033197",339,92,46,34,12,247,145,9,6,47,40
"E00033198",355,96,62,32,2,259,233,5,3,11,7
"E00033199",179,46,26,16,4,133,61,1,8,35,28
"E00033200",217,40,28,12,0,177,126,3,5,21,22
"E00033201",213,86,52,30,4,127,114,4,0,4,5
"E00033202",285,58,42,16,0,227,205,1,5,8,8
"E00033203",210,68,56,12,0,142,121,3,4,7,7
"E00033204",228,96,54,40,2,132,118,0,2,8,4
"E00033206",164,72,48,24,0,92,64,5,4,16,3
"E00033207",238,58,40,16,2,180,129,7,11,24,9
"E00033208",202,54,34,20,0,148,115,5,11,12,5
"E00033209",272,36,24,12,0,236,153,10,11,43,19
"E00033210",223,64,34,24,6,159,115,11,7,19,7
"E00033211",269,76,62,14,0,193,135,2,14,28,14
"E00033212",218,90,76,12,2,128,85,7,10,17,9
"E00033213",376,64,42,22,0,312,273,6,3,12,18
"E00033214",390,122,84,28,10,268,203,18,16,22,9
"E00033215",245,76,62,12,2,169,128,7,11,18,5
"E00033216",211,58,24,26,8,153,118,2,14,18,1
"E00033217",257,68,36,32,0,189,150,3,8,22,6
"E00033218",239,122,98,24,0,117,94,1,4,9,9
"E00033219",335,90,64,24,2,245,209,2,8,20,6
"E00033220",371,54,22,28,4,317,290,3,4,12,8
"E00033221",236,30,10,18,2,206,177,9,6,13,1
"E00033222",162,38,26,12,0,124,49,5,9,31,30
"E00033223",230,30,6,24,0,200,147,8,19,18,8
"E00033224",249,86,56,28,2,163,88,3,11,27,34
"E00033225",226,52,34,18,0,174,132,4,6,24,8
"E00033226",324,92,66,26,0,232,146,5,12,47,22
"E00033227",225,62,44,14,4,163,93,7,10,24,29
"E00033228",286,80,56,22,2,206,101,6,22,43,34
"E00033229",255,134,114,16,4,121,78,2,7,14,20
"E00033230",241,138,124,12,2,103,72,1,8,8,14
"E00033231",164,48,32,16,0,116,75,5,3,21,12
"E00033235",188,62,48,10,4,126,80,0,3,27,16
"E00033237",230,60,44,16,0,170,107,2,5,36,20
"E00033238",377,138,114,22,2,239,161,6,12,30,30
"E00033242",206,76,60,16,0,130,85,2,6,20,17
"E00033245",265,78,72,6,0,187,121,3,9,30,24
"E00033246",213,72,52,20,0,141,89,0,8,33,11
"E00033247",258,104,78,22,4,154,101,6,8,24,15
"E00033248",278,22,6,14,2,256,160,6,13,46,31
"E00033249",213,80,52,28,0,133,97,1,10,15,10
"E00033250",177,54,42,12,0,123,78,4,4,27,10
"E00033251",165,50,28,20,2,115,80,3,11,16,5
"E00033252",270,74,58,14,2,196,118,1,12,29,36
"E00033253",197,56,44,10,2,141,84,1,8,27,21
"E00033254",295,124,96,26,2,171,126,3,10,14,18
"E00033255",228,78,72,6,0,150,86,4,12,23,25
"E00033256",182,92,72,20,0,90,50,3,2,18,17
"E00033257",276,118,84,32,2,158,97,2,4,30,25
"E00033258",261,96,66,30,0,165,93,2,14,28,28
"E00033259",112,30,14,14,2,82,56,2,4,14,6
"E00033260",205,70,48,22,0,135,90,2,9,20,14
"E00033261",204,76,46,30,0,128,93,4,6,17,8
"E00033262",132,44,28,16,0,88,62,0,5,15,6
"E00033263",126,36,28,8,0,90,67,1,5,12,5
"E00033264",220,59,32,27,0,161,106,0,5,22,28
"E00033265",248,100,72,26,2,148,106,5,4,16,17
"E00033266",274,112,82,30,0,162,98,2,11,32,19
"E00033267",207,64,60,4,0,143,69,2,13,22,37
"E00033268",252,146,120,24,2,106,72,3,3,9,19
"E00033269",146,52,50,0,2,94,54,3,2,18,17
"E00033270",277,160,130,30,0,117,75,3,8,10,21
"E00033271",302,186,162,24,0,116,80,2,6,12,16
"E00033272",251,152,138,14,0,99,64,1,8,9,17
"E00033274",206,88,72,16,0,118,75,0,6,22,15
"E00033275",245,118,108,8,2,127,65,3,7,15,37
"E00033276",184,66,42,24,0,118,78,0,4,29,7
"E00033277",177,82,68,14,0,95,54,5,8,11,17
"E00033278",180,96,72,24,0,84,50,3,6,14,11
"E00033279",215,88,64,24,0,127,89,0,9,17,12
"E00033281",245,126,100,26,0,119,87,2,4,15,11
"E00033282",250,122,94,26,2,128,82,5,6,14,21
"E00033283",242,112,78,32,2,130,79,0,1,18,32
"E00033284",220,18,14,4,0,202,159,5,4,24,10
"E00033285",242,122,98,22,2,120,78,0,5,17,20
"E00033286",192,60,44,16,0,132,68,2,2,20,40
"E00033287",230,136,108,26,2,94,61,3,2,13,15
"E00033288",254,140,96,44,0,114,79,3,4,15,13
"E00033289",201,102,78,24,0,99,71,0,2,16,10
"E00033290",184,108,88,18,2,76,57,2,4,9,4
"E00033291",364,210,156,54,0,154,110,1,12,15,16
"E00033292",176,88,74,14,0,88,52,5,3,19,9
"E00033293",255,116,86,30,0,139,82,3,4,22,28
"E00033294",194,68,46,22,0,126,86,3,6,19,12
"E00033295",223,134,120,14,0,89,55,3,5,14,12
"E00033296",235,138,116,22,0,97,65,0,4,5,23
"E00033297",269,110,86,20,4,159,109,4,6,19,21
"E00033298",250,114,98,16,0,136,80,3,8,23,22
"E00033299",241,126,106,20,0,115,68,1,4,14,28
"E00033300",206,86,76,10,0,120,79,1,7,15,18
"E00033301",225,84,62,20,2,141,96,3,5,13,24
"E00033302",180,72,52,16,4,108,57,6,10,14,21
"E00033304",211,106,90,16,0,105,66,1,2,17,19
"E00033305",225,94,82,12,0,131,77,2,6,21,25
"E00033306",231,88,62,24,2,143,90,4,7,20,22
"E00033307",224,102,66,36,0,122,76,3,4,21,18
"E00033308",228,96,70,24,2,132,88,1,10,16,17
"E00033309",240,114,84,30,0,126,89,0,1,20,16
"E00033310",238,112,100,12,0,126,96,3,7,9,11
"E00033312",236,88,58,28,2,148,81,0,8,29,30
"E00033313",265,108,70,36,2,157,103,2,6,26,20
"E00033314",256,106,78,26,2,150,95,4,11,23,17
"E00033315",285,148,134,12,2,137,96,2,4,9,26
"E00033316",264,160,136,22,2,104,59,2,7,11,25
"E00033317",307,200,168,28,4,107,68,2,4,15,18
"E00033318",296,102,82,20,0,194,121,4,11,25,33
"E00033319",341,220,192,24,4,121,76,3,7,12,23
"E00033320",257,158,144,14,0,99,60,0,4,9,26
"E00033322",253,164,146,18,0,89,58,1,1,10,19
"E00033323",241,170,162,8,0,71,48,3,1,5,14
"E00033324",246,176,152,20,4,70,51,1,0,7,11
"E00033326",235,164,158,6,0,71,51,1,1,4,14
"E00033327",245,158,138,20,0,87,45,4,6,8,24
"E00033328",224,84,82,2,0,140,91,1,7,20,21
"E00033329",272,162,140,22,0,110,75,3,4,14,14
"E00033330",263,158,142,10,6,105,65,2,5,12,21
"E00033331",270,182,164,16,2,88,47,3,1,10,27
"E00033332",256,164,148,14,2,92,65,3,5,8,11
"E00033333",258,170,150,20,0,88,63,3,3,7,12
"E00033334",236,144,118,22,4,92,69,2,1,15,5
"E00033335",217,132,116,16,0,85,56,0,4,10,15
"E00033336",259,168,148,20,0,91,57,3,5,12,14
"E00033337",168,94,86,8,0,74,44,1,3,11,15
"E00033338",210,142,136,6,0,68,48,6,3,5,6
"E00033339",283,160,148,10,2,123,87,1,8,13,14
"E00033340",240,176,162,10,4,64,50,4,2,3,5
"E00033341",248,165,143,20,2,83,54,4,3,9,13
"E00033342",267,172,154,16,2,95,63,2,4,10,16
"E00033343",213,150,140,10,0,63,48,0,0,6,9
"E00033344",271,166,140,26,0,105,71,2,3,13,16
"E00033345",303,190,174,16,0,113,88,0,2,5,18
"E00033346",238,116,106,8,2,122,83,1,2,17,19
"E00033347",255,144,132,10,2,111,76,2,1,14,18
"E00033348",234,152,142,6,4,82,50,5,5,5,17
"E00033349",228,82,66,14,2,146,83,2,12,36,13
"E00033350",257,174,162,12,0,83,53,0,5,7,18
"E00033351",244,114,94,20,0,130,86,3,7,8,26
"E00033352",204,108,86,22,0,96,63,0,6,18,9
"E00033353",213,134,122,10,2,79,56,1,1,8,13
"E00033354",196,44,22,22,0,152,78,4,8,45,17
"E00033355",224,128,100,28,0,96,68,1,6,9,12
"E00033356",286,152,124,26,2,134,86,5,7,11,25
"E00033357",230,100,70,26,4,130,77,1,5,13,34
"E00033358",176,80,64,16,0,96,67,0,3,11,15
"E00033359",272,128,96,30,2,144,85,2,8,22,27
"E00033360",297,158,128,30,0,139,84,3,7,16,29
"E00033361",342,212,174,38,0,130,83,6,8,14,19
"E00033362",216,140,108,30,2,76,50,1,3,10,12
"E00033363",162,96,80,16,0,66,45,0,4,12,5
"E00033364",295,188,166,22,0,107,73,1,4,9,20
"E00033365",360,214,166,42,6,146,99,3,7,14,23
"E00033366",235,152,134,18,0,83,59,1,0,1,22
"E00033367",283,108,82,20,6,175,152,4,4,11,4
"E00033368",226,114,92,18,4,112,67,2,7,14,22
"E00033369",296,180,144,28,8,116,83,2,8,11,12
"E00033370",237,110,82,24,4,127,74,1,5,21,26
"E00033371",257,156,126,22,8,101,73,0,1,8,19
"E00033372",234,144,124,18,2,90,66,4,2,12,6
"E00033373",380,230,188,40,2,150,106,2,9,21,12
"E00033374",234,144,90,52,2,90,51,2,2,12,23
"E00033375",288,176,162,12,2,112,78,0,4,10,20
"E00033376",245,154,142,12,0,91,40,4,4,14,29
"E00033377",265,176,142,32,2,89,51,2,8,10,18
"E00033378",274,158,140,18,0,116,76,2,4,16,18
"E00033379",221,114,72,40,2,107,81,0,3,14,9
"E00033380",214,128,102,26,0,86,57,4,0,10,15
"E00033381",189,86,76,10,0,103,48,6,1,16,32
"E00033382",276,168,146,20,2,108,76,2,2,10,18
"E00033383",230,114,98,16,0,116,66,0,9,22,19
"E00033384",296,190,164,26,0,106,68,2,2,12,22
"E00033385",278,134,98,32,4,144,102,1,4,21,16
"E00033386",288,176,134,42,0,112,73,0,4,20,15
"E00033387",194,76,52,22,2,118,90,0,4,19,5
"E00033388",253,80,56,24,0,173,98,2,7,44,22
"E00033389",219,120,92,24,4,99,69,4,5,11,10
"E00033391",291,118,74,42,2,173,126,3,5,28,11
"E00033392",249,82,58,24,0,167,122,5,8,22,10
"E00033394",252,94,58,30,6,158,119,4,7,23,5
"E00033395",265,110,58,52,0,155,119,5,5,16,10
"E00033396",248,130,98,28,4,118,78,5,4,11,20
"E00033397",249,150,136,14,0,99,62,1,2,19,15
"E00033399",274,170,148,20,2,104,72,0,4,13,15
"E00033400",245,138,124,12,2,107,67,4,5,12,19
"E00033401",212,144,118,24,2,68,43,2,6,11,6
"E00033402",309,104,82,18,4,205,180,1,0,13,11
"E00033403",309,168,142,26,0,141,100,1,2,18,20
"E00033404",292,122,78,38,6,170,116,4,11,26,13
"E00033405",254,140,118,22,0,114,82,0,6,17,9
"E00033406",260,158,136,18,4,102,71,2,2,14,13
"E00033407",293,84,50,30,4,209,165,5,10,17,12
"E00033408",294,100,64,34,2,194,156,5,1,16,16
"E00033409",275,144,130,14,0,131,49,4,4,15,59
"E00033410",259,104,72,28,4,155,125,2,8,10,10
"E00033411",279,162,148,14,0,117,86,2,2,8,19
"E00033412",299,112,66,44,2,187,141,3,6,19,18
"E00033413",212,78,56,18,4,134,108,0,9,11,6
"E00033414",272,112,78,30,4,160,136,1,2,11,10
"E00033415",221,156,146,8,2,65,48,3,3,3,8
"E00033416",308,124,74,44,6,184,156,0,6,9,13
"E00033417",294,144,96,44,4,150,110,2,12,13,13
"E00033418",342,226,202,22,2,116,88,2,2,3,21
"E00033419",253,166,144,22,0,87,53,2,3,14,15
"E00033420",349,122,88,30,4,227,189,2,8,18,10
"E00033421",258,106,84,20,2,152,117,0,2,20,13
"E00033422",390,262,250,10,2,128,88,5,5,14,16
"E00033423",275,112,80,28,4,163,132,5,4,13,9
"E00033424",264,132,86,36,10,132,99,1,8,10,14
"E00033425",208,92,58,34,0,116,81,4,4,15,12
"E00033426",268,138,118,20,0,130,95,2,5,15,13
"E00033427",201,100,80,16,4,101,58,1,12,13,17
"E00033428",235,120,84,32,4,115,74,2,9,16,14
"E00033432",258,90,72,18,0,168,105,4,4,17,38
"E00033435",253,108,80,26,2,145,93,1,8,18,25
"E00033436",233,94,82,12,0,139,96,4,2,17,20
"E00033437",224,92,74,18,0,132,88,3,3,13,25
"E00033438",253,112,78,34,0,141,93,0,3,20,25
"E00033439",308,136,108,28,0,172,120,1,12,23,16
"E00033440",233,104,72,30,2,129,87,0,8,16,18
"E00033441",232,86,50,36,0,146,99,2,7,23,15
"E00033442",280,110,82,28,0,170,109,1,10,23,27
"E00033443",128,48,36,12,0,80,42,2,8,12,16
"E00033444",207,92,76,14,2,115,68,3,6,17,21
"E00033445",209,98,70,28,0,111,74,1,3,16,17
"E00033446",240,108,86,22,0,132,77,1,10,18,26
"E00033447",141,42,32,10,0,99,39,2,3,23,32
"E00033448",250,106,84,22,0,144,94,6,7,20,17
"E00033449",251,104,88,16,0,147,84,5,9,25,24
"E00033450",254,124,102,22,0,130,96,1,6,7,20
"E00033451",185,58,40,16,2,127,76,2,9,24,16
"E00033452",204,88,72,14,2,116,78,4,7,10,17
"E00033453",132,50,38,12,0,82,65,1,2,8,6
"E00033454",372,198,134,62,2,174,122,5,15,20,12
"E00033455",186,56,44,12,0,130,79,2,8,19,22
"E00033456",284,122,94,26,2,162,113,2,10,20,17
"E00033457",151,54,38,16,0,97,60,2,6,15,14
"E00033458",166,62,48,14,0,104,74,1,13,10,6
"E00033459",232,84,66,16,2,148,75,1,4,27,41
"E00033460",150,72,38,26,8,78,54,2,6,8,8
"E00033462",175,62,44,18,0,113,70,1,10,22,10
"E00033463",187,72,64,6,2,115,68,1,6,22,18
"E00033464",226,116,74,40,2,110,72,3,6,14,15
"E00033466",236,94,84,10,0,142,94,1,2,20,25
"E00033468",246,104,82,22,0,142,85,4,8,15,30
"E00033470",255,116,94,22,0,139,90,2,7,24,16
"E00033471",217,90,72,18,0,127,86,1,4,17,19
"E00033472",186,74,54,20,0,112,72,1,2,22,15
"E00033473",225,84,76,6,2,141,96,1,11,18,15
"E00033474",200,62,38,22,2,138,92,2,3,29,12
"E00033475",224,74,58,14,2,150,105,1,8,24,12
"E00033476",209,74,58,14,2,135,77,2,13,25,18
"E00033477",148,82,62,20,0,66,49,0,4,4,9
"E00033478",223,86,56,28,2,137,76,12,4,17,28
"E00033479",323,146,118,28,0,177,112,6,12,20,27
"E00033480",235,128,110,18,0,107,78,1,4,12,12
"E00033481",312,124,86,36,2,188,120,2,9,21,36
"E00033482",243,116,102,12,2,127,83,1,3,16,24
"E00033483",282,98,78,20,0,184,107,3,13,28,33
"E00033484",246,122,102,20,0,124,80,2,11,16,15
"E00033485",258,128,98,26,4,130,80,3,6,16,25
"E00033486",279,122,72,48,2,157,102,0,12,27,16
"E00033487",220,74,56,18,0,146,79,0,9,35,23
"E00033488",199,54,36,18,0,145,92,1,10,31,11
"E00033489",259,120,106,14,0,139,83,7,8,17,24
"E00033490",215,92,76,16,0,123,79,7,0,16,21
"E00033491",191,56,26,30,0,135,90,0,6,24,15
"E00033492",284,80,58,22,0,204,131,1,18,34,20
"E00033493",243,110,68,38,4,133,95,1,10,13,14
"E00033494",202,106,84,22,0,96,62,2,5,12,15
"E00033495",265,96,68,28,0,169,115,1,8,27,18
"E00033496",234,74,60,14,0,160,96,5,9,27,23
"E00033497",188,90,76,14,0,98,60,0,6,21,11
"E00033498",104,16,4,8,4,88,51,1,9,20,7
"E00033501",114,16,6,8,2,98,57,2,3,26,10
"E00033502",185,94,60,34,0,91,58,0,8,10,15
"E00033503",188,112,90,22,0,76,52,1,3,12,8
"E00033504",257,112,94,18,0,145,111,4,2,16,12
"E00033505",181,88,74,14,0,93,60,1,4,15,13
"E00033506",234,85,67,18,0,149,95,3,13,12,26
"E00033507",208,86,52,32,2,122,101,1,4,7,9
"E00033508",200,56,34,18,4,144,83,1,9,14,37
"E00033509",215,96,78,18,0,119,87,1,7,13,11
"E00033510",244,112,88,22,2,132,97,1,5,15,14
"E00033511",191,56,38,18,0,135,92,1,5,26,11
"E00033512",172,76,54,18,4,96,71,0,10,6,9
"E00033513",226,96,68,26,2,130,84,1,6,23,16
"E00033514",197,90,74,14,2,107,56,0,5,17,29
"E00033515",229,104,70,32,2,125,88,2,7,15,13
"E00033516",216,112,86,26,0,104,71,2,5,12,14
"E00033517",245,108,84,22,2,137,89,3,6,15,24
"E00033518",198,52,40,12,0,146,104,1,9,17,15
"E00033519",242,96,78,18,0,146,95,2,4,23,22
"E00033520",161,64,44,18,2,97,67,2,5,14,9
"E00033521",207,58,38,20,0,149,100,0,10,24,15
"E00033522",228,78,46,28,4,150,105,1,8,24,12
"E00033523",266,146,112,34,0,120,76,1,3,20,20
