"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E01006529",1304,1248,1217,1177,12,17,11,0,0,0,0,0,0,15,16,16,13,0,8,3,0,1,1,3,0,0,1,2,0,0,0,15,10,3,0,1,2,2,1,0,1,0,0,0,31,11,1,10,2,1,1,0,6,0,3,1,2,0,12,5,7,0,9,9,5,4,0,0,0,0,0,1,0,1,1,0,0,0
"E01006530",1431,1411,1382,1355,2,17,8,0,0,0,0,0,2,15,12,12,9,0,6,0,0,0,3,3,0,0,0,3,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,11,4,4,0,2,2,0,0,3,2,0,1,0,0,2,0,2,0,4,2,1,1,0,2,0,0,0,2,0,2,2,0,0,0
"E01006531",1458,1427,1411,1372,7,14,18,0,0,0,0,0,1,10,5,5,3,0,0,2,0,1,0,2,0,2,0,0,0,0,0,18,3,4,0,3,1,11,0,1,1,6,3,0,10,3,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0
"E01006532",1557,1466,1432,1387,8,10,27,0,0,0,0,0,0,14,20,17,5,1,1,2,0,1,0,12,0,6,0,6,3,0,3,20,7,0,0,0,0,13,4,0,3,1,5,0,63,7,1,6,12,6,6,0,40,0,22,14,3,1,4,1,3,0,4,2,2,0,1,0,1,1,0,4,0,4,4,0,0,0
"E01006533",1408,1361,1339,1306,6,13,14,0,0,0,0,0,0,8,14,8,8,1,3,3,1,0,0,0,0,0,0,0,6,0,6,2,0,1,1,0,0,1,1,0,0,0,0,0,41,2,1,1,9,7,2,0,26,0,20,2,3,1,4,0,4,0,3,2,1,1,1,0,0,0,0,1,0,1,1,0,0,0
"E01006534",1542,1441,1399,1379,7,5,8,0,0,0,0,0,0,9,33,27,18,0,3,0,0,4,11,9,0,1,0,8,6,1,5,13,6,1,0,0,1,6,0,0,1,3,2,0,75,11,2,9,29,24,5,0,28,0,16,12,0,0,7,0,7,0,12,6,5,1,0,3,3,2,1,1,0,1,1,0,0,0
"E01006535",1639,1597,1563,1544,8,6,5,0,0,0,1,0,2,8,23,21,10,2,4,0,1,2,1,11,0,8,0,3,2,0,2,13,1,2,0,1,1,10,1,0,7,0,2,0,22,8,5,3,6,5,1,0,7,0,4,2,1,0,1,0,1,0,6,2,2,0,0,2,2,0,2,1,0,1,1,0,0,0
"E01006536",1848,1799,1760,1725,5,17,13,0,0,0,0,0,0,12,27,20,15,0,8,1,0,2,4,5,0,2,1,2,7,0,7,12,4,3,1,2,0,5,0,0,4,1,0,0,27,6,0,6,10,10,0,0,8,2,1,0,5,0,3,0,3,0,9,3,2,1,0,3,3,0,3,1,0,1,1,0,0,0
"E01006537",2257,2180,2010,1958,18,11,23,0,0,0,0,0,0,14,156,151,13,0,4,1,5,0,3,138,33,62,10,33,5,4,1,23,4,8,0,6,2,11,2,0,6,3,0,0,46,2,2,0,18,7,11,0,25,0,16,9,0,0,1,0,1,0,6,3,2,1,0,3,0,0,0,2,0,2,2,0,0,0
"E01006538",1318,1303,1284,1264,5,9,6,0,0,0,2,0,0,3,14,9,7,0,6,0,0,0,1,2,0,0,0,2,5,2,3,4,1,1,0,0,1,2,0,0,1,0,1,0,8,1,1,0,3,2,1,0,3,0,3,0,0,0,1,0,1,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"E01006539",1437,1359,1323,1275,1,18,29,0,0,0,0,0,1,6,29,25,11,0,5,3,0,1,2,14,0,6,1,7,4,0,4,11,1,6,1,2,3,4,0,0,1,0,3,0,54,7,4,3,14,9,5,0,24,1,18,3,2,0,9,4,5,0,9,8,5,3,0,0,1,0,1,4,0,4,1,3,0,0
"E01006540",1509,1394,1298,1266,5,11,16,0,0,0,0,1,0,7,88,82,5,1,2,2,0,0,0,77,8,29,0,40,6,4,2,47,9,24,6,4,14,14,0,3,0,9,2,0,63,43,4,39,9,9,0,0,8,1,2,4,1,0,3,0,3,0,5,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0
"E01006541",1593,1577,1563,1541,4,5,13,0,0,0,0,0,0,2,12,10,8,0,7,0,0,1,0,2,0,2,0,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,2,0,0,0,2,0,1,1,0,0,3,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0
"E01006542",1397,1367,1320,1299,5,6,10,0,0,0,0,0,1,3,43,39,1,0,0,0,0,1,0,38,0,30,2,6,4,1,3,10,0,6,2,4,0,4,0,0,1,1,2,0,12,7,0,7,0,0,0,0,4,1,2,1,0,0,1,0,1,0,5,3,2,1,0,2,0,0,0,3,0,3,0,3,0,0
"E01006543",1247,1242,1237,1224,3,2,8,0,0,0,0,0,0,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006544",1658,1637,1615,1597,4,8,6,0,0,0,0,0,1,9,12,12,7,0,2,0,0,0,5,5,0,0,0,5,0,0,0,5,1,0,0,0,0,4,0,0,4,0,0,0,15,1,0,1,11,11,0,0,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"E01006545",1512,1485,1469,1449,2,10,8,0,0,0,0,0,1,7,8,8,3,0,1,1,0,0,1,5,0,5,0,0,0,0,0,4,0,4,1,1,2,0,0,0,0,0,0,0,16,0,0,0,6,6,0,0,9,0,4,0,5,0,1,0,1,0,7,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0
"E01006546",1319,1282,1260,1243,5,6,6,0,0,0,0,0,0,7,15,14,3,0,0,1,0,0,2,11,3,6,0,2,1,0,1,13,0,8,0,5,3,5,0,0,0,3,2,0,21,5,0,5,7,4,3,0,8,0,1,1,6,0,1,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"E01006547",1490,1407,1352,1336,2,11,3,0,0,0,0,0,1,13,41,38,15,3,6,2,0,1,3,23,1,18,0,4,3,0,3,22,3,13,3,3,7,6,0,0,0,1,5,0,59,21,3,18,14,12,2,0,11,0,1,3,7,0,13,12,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
"E01006548",1675,1580,1526,1487,13,14,12,0,0,0,0,0,0,13,41,38,12,0,3,1,1,2,5,26,2,14,0,10,3,0,3,51,9,28,4,14,10,12,4,0,1,1,6,2,36,4,0,4,9,9,0,0,12,0,5,5,2,0,11,9,2,0,7,2,1,1,0,3,2,0,2,1,0,1,1,0,0,0
"E01006549",1662,1387,1261,1176,45,18,22,0,0,0,0,0,0,18,108,97,49,9,14,6,5,3,12,48,7,30,0,11,11,4,7,122,25,39,4,22,13,57,4,32,5,6,10,1,120,66,6,60,8,4,3,1,32,0,13,12,3,4,14,0,14,0,29,11,6,5,1,9,8,2,6,4,0,4,2,2,0,0
"E01006550",1595,1512,1447,1296,80,12,59,0,0,0,2,0,0,21,42,35,21,4,10,1,0,1,5,14,3,9,0,2,7,1,6,16,1,5,2,3,0,10,0,3,1,3,3,0,53,11,0,11,10,6,2,2,28,5,14,9,0,0,4,1,3,0,13,6,5,1,0,4,3,2,1,1,0,1,1,0,0,0
"E01006551",1581,1456,1389,1311,29,12,37,0,0,0,0,0,2,18,47,35,30,3,8,1,7,3,8,5,0,2,0,3,12,0,12,42,6,11,1,7,3,25,1,4,3,5,12,0,63,16,2,14,25,18,6,1,16,0,3,10,0,3,6,0,6,0,19,10,7,3,0,2,7,2,5,1,0,1,1,0,0,0
"E01006552",2029,1406,1253,1217,17,8,11,0,0,0,0,0,1,9,143,123,51,5,10,2,4,13,17,72,6,55,0,11,20,5,15,198,43,31,4,10,17,124,5,81,3,10,25,0,408,272,22,250,15,9,6,0,94,5,36,27,12,14,27,15,12,0,16,4,3,1,0,5,7,6,1,1,0,1,0,1,0,0
"E01006553",1880,1763,1697,1540,84,28,45,0,0,2,2,0,1,19,42,42,31,3,12,4,0,2,10,11,0,4,0,7,0,0,0,23,3,11,4,6,1,9,0,5,0,2,2,0,69,9,0,9,9,3,5,1,43,2,25,8,6,2,8,6,2,0,14,10,9,1,0,2,2,0,2,11,0,11,7,4,0,0
"E01006554",1692,1561,1458,1325,63,30,40,0,0,0,3,0,1,13,86,76,31,4,16,1,1,6,3,45,0,32,0,13,10,2,8,30,2,6,0,3,3,22,1,2,5,10,4,0,78,27,2,25,7,4,1,2,37,23,10,0,4,0,4,2,2,3,16,5,3,2,0,6,5,1,4,7,0,5,4,1,2,0
"E01006556",2011,1417,1230,1169,36,12,13,0,0,0,0,0,0,33,154,147,36,10,8,0,1,1,16,111,5,48,7,51,7,4,3,213,38,70,7,29,34,103,0,56,3,24,20,2,338,204,37,167,34,32,2,0,89,23,15,24,18,9,11,0,11,0,41,8,7,1,3,6,24,13,11,2,0,1,1,0,1,0
"E01006557",2054,1863,1780,1598,97,26,58,0,1,0,0,0,1,32,50,46,30,7,12,2,1,0,8,16,0,5,0,11,4,0,4,44,1,22,1,14,7,20,2,5,7,2,4,1,118,34,6,28,10,3,7,0,65,18,14,31,2,0,9,6,3,0,22,8,5,3,0,8,6,5,1,7,0,7,6,1,0,0
"E01006558",1357,1315,1288,1272,4,9,3,0,0,0,1,0,0,7,19,19,6,0,2,0,0,1,3,13,0,10,0,3,0,0,0,6,0,2,0,2,0,4,0,0,1,3,0,0,31,4,1,3,11,11,0,0,6,2,1,0,3,0,10,4,6,0,5,1,1,0,0,1,3,0,3,0,0,0,0,0,0,0
"E01006560",1860,1776,1751,1725,7,12,7,0,0,0,0,0,0,10,15,13,3,0,2,0,0,1,0,10,0,8,0,2,2,2,0,38,5,10,0,6,4,23,0,4,5,9,5,0,37,6,0,6,0,0,0,0,18,1,11,6,0,0,13,10,3,0,8,7,4,3,0,1,0,0,0,1,0,1,1,0,0,0
"E01006562",1514,1450,1402,1375,8,12,7,0,0,0,0,0,0,9,39,31,12,0,9,1,0,1,1,19,0,12,1,6,8,8,0,25,1,16,2,5,9,8,0,0,5,1,2,0,35,7,0,7,19,17,1,1,5,0,0,1,4,0,4,1,3,0,3,1,0,1,0,0,2,1,1,1,0,1,1,0,0,0
"E01006563",1744,1656,1603,1582,8,6,7,0,0,0,1,0,0,6,46,43,13,8,4,0,0,1,0,30,0,14,6,10,3,3,0,32,3,17,0,9,8,12,0,2,0,6,4,0,45,9,1,8,6,2,3,1,21,1,10,2,8,0,9,4,5,0,10,6,4,2,0,0,4,1,3,0,0,0,0,0,0,1
"E01006564",1721,1660,1635,1613,8,7,6,0,1,0,0,0,1,5,19,18,4,1,0,0,2,1,0,14,0,13,0,1,1,0,1,13,4,2,0,0,2,7,0,0,0,5,2,0,47,6,1,5,10,8,2,0,21,0,21,0,0,0,10,8,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"E01006565",1549,1497,1486,1458,9,6,13,0,0,0,0,0,0,7,4,3,1,0,0,1,0,0,0,2,0,1,1,0,1,1,0,5,2,0,0,0,0,3,0,0,3,0,0,0,44,6,0,6,2,0,2,0,36,0,33,0,1,2,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0
"E01006566",1506,1449,1417,1394,6,11,6,0,0,0,0,0,0,22,10,10,9,0,6,2,0,0,1,1,0,0,0,1,0,0,0,26,0,10,3,6,1,16,0,0,5,11,0,0,29,4,1,3,12,6,5,1,10,0,5,3,2,0,3,1,2,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"E01006567",1655,1600,1568,1539,8,6,15,0,0,0,0,0,0,12,20,17,9,0,4,1,0,2,2,8,0,0,0,8,3,0,3,13,0,1,0,1,0,11,0,4,4,1,2,1,38,9,0,9,4,2,1,1,24,1,19,3,0,1,1,0,1,0,3,3,2,1,0,0,0,0,0,1,0,1,1,0,0,0
"E01006568",1617,1579,1537,1508,5,13,11,0,0,0,0,0,0,16,26,26,10,2,3,0,2,0,3,16,0,4,0,12,0,0,0,23,1,7,4,2,1,15,0,0,2,10,3,0,8,0,0,0,4,1,3,0,4,0,1,3,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,5,0,5,5,0,0,0
"E01006569",1429,1418,1393,1374,1,9,9,0,0,0,0,0,1,13,11,9,8,0,5,0,0,1,2,1,0,1,0,0,2,1,1,7,0,5,0,2,3,2,1,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
"E01006570",1479,1445,1412,1385,1,16,10,0,0,0,0,0,2,14,17,16,8,0,1,3,0,2,2,8,0,4,0,4,1,1,0,3,0,2,0,2,0,1,0,0,1,0,0,0,27,3,1,2,4,1,3,0,16,0,16,0,0,0,4,0,4,0,4,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0
"E01006571",1470,1446,1426,1417,1,4,4,0,0,0,0,0,1,10,9,8,3,0,1,0,0,1,1,5,0,2,0,3,1,0,1,11,1,1,0,1,0,3,0,0,0,2,1,6,11,4,0,4,3,3,0,0,2,0,2,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
"E01006572",1207,1184,1146,1136,2,4,4,0,0,0,0,0,0,12,26,23,7,0,4,1,0,0,2,16,0,8,0,8,3,0,3,11,0,5,1,0,4,6,0,0,5,1,0,0,11,2,1,1,0,0,0,0,2,0,2,0,0,0,7,2,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"E01006573",1501,1446,1420,1399,5,5,11,0,0,1,0,0,0,12,13,4,3,1,1,0,0,0,1,1,0,1,0,0,9,9,0,9,0,0,0,0,0,9,5,0,0,2,2,0,41,4,1,3,9,2,7,0,28,0,26,0,1,1,0,0,0,0,4,2,1,1,0,2,0,0,0,1,0,1,0,1,0,0
"E01006574",1388,1355,1331,1316,2,6,7,0,0,0,0,0,0,9,15,15,3,1,1,0,0,1,0,12,0,7,2,3,0,0,0,11,2,3,0,2,1,6,0,0,2,2,2,0,19,6,0,6,3,0,3,0,4,0,4,0,0,0,6,5,1,0,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"E01006575",1294,1253,1232,1200,9,9,14,0,0,0,0,0,0,12,9,8,3,0,1,0,0,2,0,5,0,3,0,2,1,1,0,5,2,1,0,1,0,2,0,0,1,0,1,0,27,4,1,3,7,6,1,0,16,4,2,5,3,2,0,0,0,0,5,4,4,0,0,1,0,0,0,4,0,4,3,1,0,0
"E01006576",1693,1666,1643,1611,8,13,11,0,0,0,1,0,2,9,11,10,9,1,1,2,1,3,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,23,7,0,7,8,7,1,0,7,0,4,3,0,0,1,0,1,0,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"E01006577",1503,1470,1451,1414,11,11,15,0,0,0,0,0,1,11,7,6,4,0,1,1,0,2,0,2,0,0,0,2,1,0,1,11,0,9,5,3,1,2,1,0,0,1,0,0,19,5,4,1,4,2,1,1,7,0,3,4,0,0,3,0,3,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"E01006578",1380,1341,1333,1312,8,2,11,0,0,0,0,0,0,2,6,2,2,1,0,0,0,0,1,0,0,0,0,0,4,0,4,4,0,4,0,0,4,0,0,0,0,0,0,0,30,2,1,1,7,5,2,0,17,0,12,1,4,0,4,2,2,0,3,1,1,0,0,1,1,1,0,2,0,2,1,1,0,0
"E01006579",1643,1597,1576,1553,2,5,16,0,0,0,0,0,1,9,11,7,5,0,0,1,0,0,4,2,0,0,0,2,4,4,0,10,5,1,0,1,0,4,2,0,0,0,2,0,33,11,2,9,2,1,1,0,16,4,1,11,0,0,4,1,3,0,1,1,0,1,0,0,0,0,0,2,0,2,2,0,0,0
"E01006580",1335,1281,1255,1235,5,9,6,0,0,0,0,0,0,6,20,20,15,1,5,4,0,3,2,5,0,0,0,5,0,0,0,6,1,0,0,0,0,5,0,0,4,0,1,0,42,3,0,3,22,16,6,0,13,0,11,0,2,0,4,0,4,0,5,3,2,1,0,0,2,0,2,1,0,1,1,0,0,0
"E01006581",1559,1512,1484,1439,13,9,23,0,0,0,0,0,0,9,19,16,13,2,5,3,0,0,3,3,0,2,1,0,3,0,3,6,1,3,0,3,0,2,1,0,0,0,1,0,27,3,0,3,11,5,4,2,11,0,8,3,0,0,2,0,2,0,8,7,5,2,0,1,0,0,0,6,0,6,6,0,0,0
"E01006582",1642,1587,1560,1515,10,15,20,0,0,0,0,0,0,10,17,16,6,0,1,2,0,1,2,10,0,1,5,4,1,0,1,4,1,1,0,1,0,2,0,0,0,2,0,0,38,8,1,7,7,6,1,0,18,0,6,10,0,2,5,0,5,0,11,5,5,0,1,0,5,1,4,2,0,2,1,1,0,0
"E01006583",1758,1712,1669,1539,78,9,43,0,0,1,5,0,1,23,13,12,8,0,2,0,0,1,5,4,0,0,0,4,1,0,1,5,0,3,3,0,0,2,0,0,1,0,1,0,30,3,0,3,15,10,5,0,11,0,10,0,1,0,1,0,1,0,8,4,2,2,0,3,1,0,1,3,0,3,1,2,0,0
"E01006584",1393,1374,1362,1350,3,8,1,0,0,0,0,0,1,9,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,6,0,0,3,2,1,0,10,1,0,1,0,0,0,0,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0
"E01006585",1354,1287,1269,1251,5,2,11,0,0,1,0,0,0,5,12,12,8,1,5,0,0,1,1,4,0,1,0,3,0,0,0,25,1,6,0,0,6,18,7,0,2,4,5,0,41,2,1,1,21,16,2,3,17,0,7,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"E01006586",1899,1803,1758,1725,12,8,13,0,0,0,0,0,1,17,27,22,19,0,9,3,2,3,2,3,0,1,0,2,5,1,4,19,2,9,5,2,2,8,3,0,3,1,1,0,70,23,6,17,27,23,4,0,10,0,5,3,0,2,10,2,8,0,4,1,1,0,0,2,1,1,0,3,0,3,3,0,0,0
"E01006587",1624,1542,1500,1452,17,18,13,0,0,0,0,0,0,9,33,30,15,2,3,0,0,1,9,15,0,6,0,9,3,1,2,26,15,4,0,0,4,6,0,0,5,0,1,1,46,10,4,6,31,20,11,0,2,0,2,0,0,0,3,0,3,0,8,4,3,1,0,4,0,0,0,2,0,2,0,2,0,0
"E01006588",1569,1500,1408,1335,33,16,24,0,0,1,2,0,0,27,62,58,20,3,11,2,0,0,4,38,0,21,0,17,4,1,3,15,3,5,1,1,3,7,0,2,0,3,2,0,41,12,1,11,7,3,3,1,15,0,6,5,4,0,7,0,7,0,10,5,4,1,0,3,2,0,2,3,0,3,1,2,0,0
"E01006589",1518,1459,1436,1418,4,7,7,0,0,0,0,0,0,11,12,9,7,0,3,1,0,0,3,2,0,0,0,2,3,0,3,6,0,1,0,1,0,5,0,0,0,0,5,0,47,3,0,3,12,10,0,2,26,1,20,5,0,0,6,1,5,0,6,3,2,1,0,2,1,1,0,0,0,0,0,0,0,0
"E01006590",1642,1582,1506,1414,50,11,31,0,0,0,2,0,2,14,58,56,34,3,11,0,12,5,3,22,0,8,0,14,2,0,2,8,1,3,1,2,0,4,1,0,0,2,1,0,38,7,2,5,5,2,2,1,21,2,10,5,4,0,5,3,2,0,10,6,5,1,0,1,3,1,2,4,0,4,1,3,0,0
"E01006591",1633,1540,1487,1403,42,20,22,0,0,0,0,0,0,30,23,21,15,4,6,0,0,1,4,6,1,2,1,2,2,0,2,21,5,2,0,1,1,14,0,1,2,1,10,0,49,16,1,15,3,1,2,0,27,0,14,11,2,0,3,0,3,0,22,13,10,3,1,1,7,0,7,1,0,1,1,0,0,0
"E01006592",1565,1518,1451,1379,16,26,30,0,0,0,0,0,1,27,39,30,19,2,9,4,0,0,4,11,3,5,1,2,9,4,5,15,0,6,3,2,1,9,1,0,2,0,6,0,23,3,0,3,3,2,1,0,14,4,2,7,1,0,3,1,2,0,7,5,2,3,0,0,2,0,2,2,0,2,2,0,0,0
